pasada,grabacion,pattern,window_id,t_start,t_end,slice_path,label_path,mask_path,n_points
1,1_1_10_H_C_resampled,1_pattern_aligned_resampled,1,1724429168,1724432767,data\input\slices\1_1_10_H_C_resampled_1.csv,data\input\labels\1_pattern_aligned_resampled_1.csv,data\input\masks\1_1_10_H_C_resampled_1.csv,3600
1,1_1_10_H_C_resampled,1_pattern_aligned_resampled,2a,1724430968,1724434567,data\input\slices\1_1_10_H_C_resampled_2a.csv,data\input\labels\1_pattern_aligned_resampled_2a.csv,data\input\masks\1_1_10_H_C_resampled_2a.csv,3600
1,1_1_10_H_C_resampled,1_pattern_aligned_resampled,3,1724432768,1724436367,data\input\slices\1_1_10_H_C_resampled_3.csv,data\input\labels\1_pattern_aligned_resampled_3.csv,data\input\masks\1_1_10_H_C_resampled_3.csv,3600
1,1_1_10_H_C_resampled,1_pattern_aligned_resampled,4a,1724434568,1724436807,data\input\slices\1_1_10_H_C_resampled_4a.csv,data\input\labels\1_pattern_aligned_resampled_4a.csv,data\input\masks\1_1_10_H_C_resampled_4a.csv,3600
1,1_1_11_E_C_resampled,1_pattern_aligned_resampled,1,1724429111,1724432710,data\input\slices\1_1_11_E_C_resampled_1.csv,data\input\labels\1_pattern_aligned_resampled_1.csv,data\input\masks\1_1_11_E_C_resampled_1.csv,3600
1,1_1_11_E_C_resampled,1_pattern_aligned_resampled,2a,1724430911,1724434510,data\input\slices\1_1_11_E_C_resampled_2a.csv,data\input\labels\1_pattern_aligned_resampled_2a.csv,data\input\masks\1_1_11_E_C_resampled_2a.csv,3600
1,1_1_11_E_C_resampled,1_pattern_aligned_resampled,3,1724432711,1724436310,data\input\slices\1_1_11_E_C_resampled_3.csv,data\input\labels\1_pattern_aligned_resampled_3.csv,data\input\masks\1_1_11_E_C_resampled_3.csv,3600
1,1_1_11_E_C_resampled,1_pattern_aligned_resampled,4a,1724434511,1724436807,data\input\slices\1_1_11_E_C_resampled_4a.csv,data\input\labels\1_pattern_aligned_resampled_4a.csv,data\input\masks\1_1_11_E_C_resampled_4a.csv,3600
1,1_1_12_I_C_resampled,1_pattern_aligned_resampled,1,1724429520,1724433119,data\input\slices\1_1_12_I_C_resampled_1.csv,data\input\labels\1_pattern_aligned_resampled_1.csv,data\input\masks\1_1_12_I_C_resampled_1.csv,3600
1,1_1_12_I_C_resampled,1_pattern_aligned_resampled,2a,1724431320,1724434919,data\input\slices\1_1_12_I_C_resampled_2a.csv,data\input\labels\1_pattern_aligned_resampled_2a.csv,data\input\masks\1_1_12_I_C_resampled_2a.csv,3600
