time,dx,dy,dz
0,-0.22991905325507342,-0.718482923927314,-0.22490470541513355
1,-0.22991905323324216,-0.7184829239273764,-0.22490470541513355
2,-0.22991905323405074,-0.718482923927314,-0.22490470541596222
3,-0.22991905323324216,-0.7184829243610988,-0.22490470541513355
4,-0.2299190532337812,-0.718482923927314,-0.22490470541513355
5,-0.2832585656252796,-0.7337424802265436,-0.4433025750219406
6,-0.2832585656476499,-0.7337424806602036,-0.4433025750211119
7,-0.28325856562554913,-0.7337424802265436,-0.4433025750219406
8,-0.2832585656468413,-0.7337424806602661,-0.4433025750211119
9,-0.2832585656263577,-0.7337424802264189,-0.4433025750219406
10,-0.2832585656468413,-0.7337424802265436,-0.4433025750219406
11,-0.28325856562581864,-0.7337424806602661,-0.4433025750211119
12,-0.2832585656468413,-0.7337424802265436,-0.4433025750219406
13,-0.28325856562608814,-0.7337424802264813,-0.4433025750219406
14,-0.28325856562581864,-0.7337424806603285,-0.4433025750211119
15,-0.2832585656468413,-0.7337424802265436,-0.4433025750219406
16,-0.28325856562608814,-0.7337424802264813,-0.4433025750219406
17,-0.2832585656465718,-0.7337424806602036,-0.4433025750211119
18,-0.28325856562608814,-0.7337424802264813,-0.4433025750219406
19,-0.2832585656471108,-0.7337424806602036,-0.4433025750211119
20,-0.28325856562608814,-0.733742480226606,-0.4433025750219406
21,-0.2943206115910891,-0.7506083059978224,-0.7394125700094315
22,-0.29432061161184225,-0.7506083055642248,-0.7394125700094315
23,-0.2943206115910891,-0.7506083059979471,-0.7394125700086028
24,-0.29432061161184225,-0.7506083055642248,-0.7394125700094315
25,-0.29432061159081957,-0.7506083059979471,-0.7394125700094315
26,-0.29432061161184225,-0.7506083055640999,-0.7394125700094315
27,-0.2943206115910891,-0.7506083059979471,-0.7394125700094315
28,-0.29432061159055,-0.7506083055642248,-0.7394125700086028
29,-0.29432061161238127,-0.7506083059978224,-0.7394125700094315
30,-0.29432061159081957,-0.7506083055642248,-0.7394125700094315
31,-0.29432061161238127,-0.7506083059978224,-0.7394125700094315
32,-0.29432061159055,-0.7506083055642248,-0.7394125700086028
33,-0.2943206115910891,-0.7506083059979471,-0.7394125700094315
34,-0.29432061161184225,-0.7506083055640999,-0.7394125700094315
35,-0.2943206115910891,-0.7506083059979471,-0.7394125700094315
36,-0.29432061161211176,-0.7506083055642248,-0.7394125700094315
37,-0.2943206115910891,-0.7506083059979471,-0.7394125700086028
38,-0.29432061161184225,-0.7506083055642248,-0.7394125700094315
39,-0.2943206115910891,-0.7506083059978224,-0.7394125700094315
40,-0.5926797942221822,-0.5771312442046771,-0.7585937842593649
41,-0.5926797942440135,-0.5771312442046771,-0.7585937842593649
42,-0.5926797942221822,-0.5771312442048019,-0.7585937842593649
43,-0.5926797942221822,-0.5771312446383995,-0.7585937842601935
44,-0.5926797942227212,-0.5771312442046771,-0.7585937842593649
45,-0.5926797942434744,-0.5771312442046771,-0.7585937842593649
46,-0.5926797942227212,-0.5771312442046771,-0.7585937842593649
47,-0.5926797942221822,-0.5771312442046771,-0.7585937842593649
48,-0.5926797942221822,-0.5771312442048019,-0.7585937842593649
49,-0.5926797942440135,-0.5771312446383995,-0.7585937842601935
50,-0.5926797942221822,-0.5771312442046771,-0.7585937842593649
51,-0.5926797942224518,-0.5771312442046771,-0.7585937842593649
52,-0.5926797942224518,-0.5771312442048019,-0.7585937842593649
53,-0.592679794243744,-0.5771312442046771,-0.7585937842593649
54,-0.5926797942219126,-0.5771312442046771,-0.7585937842593649
55,-0.5926797942227212,-0.5771312446382747,-0.7585937842601935
56,-0.5926797942224518,-0.5771312442048019,-0.7585937842593649
57,-0.5926797942440135,-0.5771312442046771,-0.7585937842593649
58,-0.5926797942221822,-0.5771312442048019,-0.7585937842593649
59,-0.5556722222603536,-0.379998219932583,-0.30870712275422135
60,-0.5556722222816458,-0.3799982199324582,-0.30870712275504997
61,-0.5556722222603536,-0.37999821949886053,-0.30870712275422135
62,-0.5556722222603536,-0.3799982199324582,-0.30870712275422135
63,-0.5556722222816458,-0.3799982199327078,-0.30870712275422135
64,-0.5556722222603536,-0.3799982199324582,-0.30870712275504997
65,-0.5556722222816458,-0.379998219932583,-0.30870712275422135
66,-0.5556722222603536,-0.379998219932583,-0.30870712275422135
67,-0.5556722222603536,-0.37999821949886053,-0.30870712275422135
68,-0.5556722222816458,-0.379998219932583,-0.30870712275504997
69,-0.5556722222603536,-0.3799982199324582,-0.30870712275422135
70,-0.25323301230110046,-0.5887766949505141,-0.23830334772246228
71,-0.2532330122800778,-0.5887766953842366,-0.23830334772246228
72,-0.25323301230110046,-0.5887766953841118,-0.23830334772246228
73,-0.25323301230083095,-0.5887766949505141,-0.23830334772246228
74,-0.2532330123016395,-0.5887766949505141,-0.23830334772246228
75,-0.25323301230083095,-0.5887766953841118,-0.23830334772246228
76,-0.25323301227980827,-0.5887766953842366,-0.23830334772246228
77,-0.25323301230083095,-0.5887766949503893,-0.23830334772246228
78,-0.4493999607615269,-0.565887360501732,-0.010526428501188043
79,-0.4493999607612574,-0.5658873609354546,-0.010526428501188043
80,-0.44939996076071836,-0.565887360501732,-0.010526428501188043
81,-0.44939996078228006,-0.5658873605016073,-0.010526428501188043
82,-0.4493999607612574,-0.5658873609354546,-0.010526428501188043
83,-0.44939996076098787,-0.565887360501732,-0.010526428501188043
84,0.035012299725727454,-0.5506278042025025,-0.010526428501188043
85,0.035012299726266495,-0.5506278046361001,-0.010526428501188043
86,0.03501229974701966,-0.5506278042025025,-0.010526428501188043
87,0.035012299725727454,-0.5506278042026272,-0.010526428501188043
88,0.33526783309958424,-0.3696930648546062,-0.5311593867211252
89,0.33526783309958424,-0.3696930648544814,-0.5311593867211252
90,0.33526783309958424,-0.3696930648544814,-0.5311593867211252
91,0.3352678330785615,-0.3696930652883286,-0.5311593867219538
92,0.33526783309958424,-0.369693064854731,-0.5311593867211252
93,0.33526783309985375,-0.3696930648546062,-0.5311593867211252
94,0.33526783309985375,-0.3696930648546062,-0.5311593867211252
95,0.14310429174090883,-0.07758155762633981,-0.5051277388105012
96,0.14310429174144787,-0.07758155806006227,-0.5051277388096725
97,0.14310429174117836,-0.07758155806006227,-0.5051277388105012
98,0.14310429174090883,-0.07758155762633981,-0.5051277388105012
99,0.14310429174198694,-0.07758155762633981,-0.5051277388105012
100,0.14310429174090883,-0.07758155806006227,-0.5051277388096725
101,0.14310429176247058,-0.07758155806031189,-0.5051277388105012
102,0.14310429174144787,-0.07758155762633981,-0.5051277388105012
103,0.14310429174144787,-0.07758155805993745,-0.5051277388096725
104,0.14310429174117836,-0.07758155762646461,-0.5051277388105012
105,0.14310429174144787,-0.07758155806006227,-0.5051277388105012
106,0.14310429174090883,-0.07758155762633981,-0.5051277388105012
107,0.14310429174144787,-0.07758155762633981,-0.5051277388096725
108,0.14310429174117836,-0.07758155806006227,-0.5051277388105012
109,-0.25323301230137,-0.1793119333880934,-0.5875612905283057
110,-0.25323301230110046,-0.17931193338796858,-0.5875612905283057
111,-0.25323301230137,-0.1793119333880934,-0.5875612905283057
112,-0.25323301230110046,-0.17931193382169106,-0.5875612905291344
113,-0.25323301230137,-0.1793119333880934,-0.5875612905283057
114,-0.25323301227980827,-0.1793119333880934,-0.5875612905283057
115,-0.25323301230083095,-0.17931193338796858,-0.5875612905283057
116,-0.25323301230110046,-0.1793119333880934,-0.5875612905283057
117,-0.25323301230137,-0.17931193382169106,-0.5875612905291344
118,-0.25323301230110046,-0.17931193338796858,-0.5875612905283057
119,-0.25323301230137,-0.17931193338821821,-0.5875612905283057
120,-0.25323301230110046,-0.17931193338796858,-0.5875612905283057
121,-0.3333011545212818,-0.25560971531771437,-1.346817687932277
122,-0.3333011545215513,-0.2556097148839919,-1.3468176879331057
123,-0.333301154542574,-0.25560971531771437,-1.346817687932277
124,-0.3333011545215513,-0.2556097148839919,-1.3468176879331057
125,-0.3333011545215513,-0.25560971531771437,-1.346817687932277
126,-0.333301154542574,-0.2556097148839919,-1.346817687932277
127,-0.3333011545215513,-0.25560971531771437,-1.3468176879331057
128,-0.3333011545215513,-0.25560971531771437,-1.346817687932277
129,-0.3333011545215513,-0.25560971488386713,-1.3468176879331057
130,-0.3333011545210123,-0.2556097153178392,-1.346817687932277
131,-0.33330115454284354,-0.2556097148839919,-1.3468176879331057
132,-0.3333011545215513,-0.25560971531771437,-1.346817687932277
133,-0.08508991361519057,-0.42855135337519257,-0.010526428501188043
134,-0.08508991361519057,-0.428551353808915,-0.010526428501188043
135,-0.08508991361519057,-0.42855135380903986,-0.010526428501188043
136,-0.08508991361519057,-0.42855135337531736,-0.010526428501188043
137,0.09506340639591694,-0.6370986236649016,-1.1038556407631388
138,0.09506340641774819,-0.637098623231304,-1.1038556407639675
139,0.09506340639618646,-0.6370986236649016,-1.1038556407631388
140,-0.18470410232944065,-0.6251303441636216,-0.7394125700094315
141,-0.18470410232944065,-0.6251303441637465,-0.7394125700094315
142,-0.18470410232917112,-0.6251303441634968,-0.7394125700086028
143,-0.18470410232944065,-0.6251303441634968,-0.7394125700094315
144,-0.18470410232971016,-0.625130343730024,-0.7394125700094315
145,-0.18470410232944065,-0.6251303441634968,-0.7394125700094315
146,-0.18470410232944065,-0.6251303441636216,-0.7394125700086028
147,-0.18470410232971016,-0.6251303441636216,-0.7394125700094315
148,-0.18470410235073284,-0.6251303441634968,-0.7394125700094315
149,-0.18470410232917112,-0.6251303441636216,-0.7394125700094315
150,-0.18470410232944065,-0.6251303441636216,-0.7394125700086028
151,-0.18470410232971016,-0.6251303441636216,-0.7394125700094315
152,-0.18470410232944065,-0.6251303437297743,-0.7394125700094315
153,-0.18470410232971016,-0.6251303441636216,-0.7394125700094315
154,-0.18470410232944065,-0.6251303441637465,-0.7394125700086028
155,-0.18470410232944065,-0.6251303441634968,-0.7394125700094315
156,-0.18470410232971016,-0.6251303441636216,-0.7394125700094315
157,-0.18948645289703445,-0.4367680379366946,0.12964398332690596
158,-0.18948645291805713,-0.43676803750297216,0.1296439833277346
159,-0.1894864528967649,-0.4367680379366946,0.12964398332690596
160,-0.1894864529191352,-0.4367680379366946,0.1296439833277346
161,-0.18948645289703445,-0.4367680375028473,0.12964398332690596
162,-0.18948645291805713,-0.4367680379366946,0.1296439833277346
163,-0.18948645289730398,-0.4367680379368194,0.12964398332690596
164,-0.18948645291832666,-0.4367680379366946,0.1296439833277346
165,-0.1894864528967649,-0.43676803750297216,0.12964398332690596
166,-0.18948645291859617,-0.4367680379366946,0.1296439833277346
167,-0.1894864528975735,-0.4367680379365698,0.12964398332690596
168,-0.18948645291805713,-0.43676803750297216,0.1296439833277346
169,-0.1894864528967649,-0.4367680379368194,0.12964398332690596
170,-0.20118871985516615,-0.4488974288744713,-0.16237770798231377
171,-0.2011887198333349,-0.44889742844087366,-0.16237770798148513
172,-0.2011887198548966,-0.4488974288744713,-0.16237770798231377
173,-0.20118871985516615,-0.4488974288744713,-0.16237770798231377
174,-0.2011887198333349,-0.44889742844087366,-0.16237770798148513
175,-0.2011887198546271,-0.44889742887459616,-0.16237770798231377
176,-0.20118871985435757,-0.4488974288744713,-0.16237770798231377
177,-0.20118871983387393,-0.44889742844087366,-0.16237770798148513
178,-0.2011887198548966,-0.44889742887472095,-0.16237770798231377
179,-0.20118871985516615,-0.4488974288744713,-0.16237770798231377
180,-0.20118871983279585,-0.44889742844087366,-0.16237770798148513
181,-0.20118871985516615,-0.4488974288744713,-0.16237770798231377
182,-0.40135907541599597,-0.3929457220104066,0.5968786894224862
183,-0.40135907543782723,-0.3929457224442539,0.5968786894216576
184,-0.40135907541572646,-0.3929457220104066,0.5968786894224862
