time,dx,dy,dz
0,-0.20481533584946374,-0.9032896250775758,-0.33299344067358877
1,-0.20481533585027883,-0.9032896250775914,-0.33299344067322506
2,-0.20481533580680653,-0.9032896250775914,-0.33299344067322506
3,-0.2655365448497963,-0.9957753432789752,-0.3686819931249688
4,-0.2855616243594271,-1.0262759526527125,-0.3804516221250932
5,-0.28556162436024224,-1.0262759526527125,-0.3804516221247295
6,-0.28556162435969884,-1.0262759526526968,-0.3804516221250932
7,-0.2855616243599705,-1.0262759526526968,-0.3804516221250932
8,-0.2855616243599705,-1.0262759530856322,-0.3804516221247295
9,-0.21339605033601905,-0.920640910274794,-0.3395650799363797
10,-0.18997808262219612,-0.8863619889544326,-0.3262972616105323
11,-0.1899780825798106,-0.886361989387368,-0.3262972616101686
12,-0.18997808257953888,-0.8863619893873758,-0.3262972616105323
13,-0.18997808262219612,-0.886361989387368,-0.3262972616101686
14,-0.18997808257926718,-0.8863619889544249,-0.3262972616105323
15,-0.18997808257926718,-0.8863619893873602,-0.3262972616101686
16,-0.3408614805762603,-0.7815322465099626,-0.3062440925426896
17,-0.3900886899484911,-0.747330499923457,-0.2997015466657695
18,-0.3900886899484911,-0.7473304999234648,-0.2997015466661332
19,-0.39008868999142005,-0.7473305003563923,-0.2997015466661332
20,-0.3900886899487628,-0.7473304999234726,-0.2997015466661332
21,-0.3900886899484911,-0.7473304999234648,-0.2997015466661332
22,-0.3900886899911483,-0.7473304999234648,-0.2997015466661332
23,-0.42643494730265613,-1.030975015572599,-0.39563666893045946
24,-0.4382294281841611,-1.123018599407095,-0.4267679337709024
25,-0.4382294281844328,-1.1230185998400302,-0.4267679337712661
26,-0.4382294281841611,-1.1230185998400302,-0.4267679337709024
27,-0.4382294281844328,-1.1230185994071027,-0.4267679337712661
28,-0.4312703936787519,-1.1422647063471836,-0.43238185926391015
29,-0.4289999394019216,-1.1485439397044797,-0.4342134582974157
30,-0.42899993944485054,-1.1485439397044874,-0.4342134582974157
31,-0.4289999394445788,-1.1485439397044797,-0.4342134582974157
32,-0.4289999394021933,-1.1485439397044719,-0.4342134582977794
33,-0.4429778692498651,-1.0729827258025109,-0.4109682580310849
34,-0.4474404800814718,-1.0488589610333834,-0.4035469671813132
35,-0.44744048012440074,-1.0488589610333678,-0.4035469671813132
36,-0.4474404800817435,-1.0488589610333678,-0.4035469671813132
37,-0.4474404800814718,-1.0488589606004481,-0.4035469671813132
38,-0.4198750197451796,-0.782830443282573,-0.31542675493109995
39,-0.41078428281785867,-0.6950976342416958,-0.28636583386997544
40,-0.4107842828167719,-0.6950976342417036,-0.28636583386997544
41,-0.41078428281785867,-0.6950976338087683,-0.28636583386997544
42,-0.41078428285997254,-0.6950976342417036,-0.28636583386997544
43,-0.41078428281731527,-0.6950976342417036,-0.28636583386997544
44,-0.410784282817587,-0.6950976342416958,-0.28636583386997544
45,-0.3120870004474724,-0.780315554648257,-0.3017579016039622
46,-0.2797121946767147,-0.8082688436517881,-0.3068068268763666
47,-0.27971219463378577,-0.8082688436517881,-0.3068068268763666
48,-0.27971219467644304,-0.8082688436517803,-0.3068068268763666
49,-0.2797121946767147,-0.8082688436517803,-0.3068068268763666
50,-0.2797121946767147,-0.8082688436517842,-0.3068068268763666
51,-0.2797121946335141,-0.808268843651792,-0.3068068268763666
52,-0.20060278758210462,-0.8161291916692212,-0.30336724495858264
53,-0.17479255659445295,-0.818693708496295,-0.3022450471444544
54,-0.17479255659445295,-0.8186937084962989,-0.3022450471440907
55,-0.1747925565520674,-0.8186937089292303,-0.3022450471444544
56,-0.17479255659445295,-0.8186937084962989,-0.3022450471444544
57,-0.17479255659472465,-0.8186937084962989,-0.3022450471444544
58,-0.17479255659499635,-0.8186937084962989,-0.3022450471444544
59,-0.6665118721724917,-0.918416523182393,-0.4036610971534337
60,-0.8812858260967991,-0.9619736150874195,-0.4479577626746514
61,-0.8812858260973424,-0.9619736146544843,-0.4479577626746514
62,-0.8812858260970707,-0.9619736150874195,-0.4479577626746514
63,-0.8812858260973424,-0.9619736146544843,-0.4479577626746514
64,-0.8115241325565186,-0.9655509114882548,-0.43522372343939725
65,-0.7875201089420871,-0.9667818095516338,-0.4308421185414643
