time,dx,dy,dz
0,-0.21500828589858134,-0.9534038462264499,-0.6883695157337383
1,-0.2150082858556524,-0.9534038466594008,-0.6883695157337383
2,-0.21500828589885304,-0.9534038466593853,-0.6883695157337383
3,-0.215008285855109,-0.9534038462264499,-0.6883695157337383
4,-0.21500828585592413,-0.9534038466593696,-0.688369515734102
5,-0.21500828589858134,-0.9534038466593853,-0.6883695157337383
6,-0.2150082858556524,-0.9534038462264655,-0.6883695157337383
7,-0.21500828589885304,-0.9534038466593853,-0.6883695157337383
8,-0.2150082858556524,-0.9534038466593774,-0.6883695157337383
9,-0.21500828589830964,-0.9534038462264577,-0.6883695157337383
10,-0.21500828585592413,-0.9534038466593774,-0.688369515734102
11,-0.21500828589858134,-0.9534038462264577,-0.6883695157337383
12,-0.2150082858553807,-0.953403846659393,-0.6883695157337383
13,-0.40019830553618446,-0.9552076844645115,-0.24428529265841784
14,-0.40019830553591274,-0.9552076844645115,-0.24428529265878152
15,-0.40019830553564106,-0.9552076844645193,-0.24428529265841784
16,-0.40019830553618446,-0.9552076844645115,-0.24428529265878152
17,-0.40019830553564106,-0.9552076844645193,-0.24428529265841784
18,-0.40019830553618446,-0.9552076844645271,-0.24428529265878152
19,-0.40019830553564106,-0.9552076844645115,-0.24428529265841784
20,-0.40019830553618446,-0.9552076844645193,-0.24428529265841784
21,-0.40019830553564106,-0.9552076844645115,-0.24428529265878152
22,-0.40019830557911334,-0.9552076844645193,-0.24428529265841784
23,-0.40019830553564106,-0.9552076844645115,-0.24428529265878152
24,-0.40019830553591274,-0.9552076844645193,-0.24428529265841784
25,-0.40019830553591274,-0.9552076844645115,-0.24428529265841784
26,-0.40019830553591274,-0.9552076844645271,-0.24428529265878152
27,-0.40019830553618446,-0.9552076844645115,-0.24428529265841784
28,-0.40019830553564106,-0.9552076844645193,-0.24428529265878152
29,-0.40019830553618446,-0.9552076844645115,-0.24428529265841784
30,-0.40019830553591274,-0.9552076844645115,-0.24428529265878152
31,-0.40019830553591274,-0.9552076844645193,-0.24428529265841784
32,-0.40019830553591274,-0.8942780465480329,-0.008562861452762171
33,-0.40019830553618446,-0.8942780461150975,-0.008562861452762171
34,-0.40019830553564106,-0.8942780465480407,-0.008562861452762171
35,-0.40019830553618446,-0.8942780465480329,-0.008562861452762171
36,-0.40019830557856995,-0.8942780461150975,-0.008562861452762171
37,-0.40019830553564106,-0.8942780465480329,-0.008562861452762171
