time,dx,dy,dz
0,-0.4031994946598898,-0.9016420879607749,-0.19517645282386076
1,-0.40319949466016153,-0.9016420879607749,-0.19517645282422447
2,-0.40319949466016153,-0.9016420879607906,-0.19517645282386076
3,-0.40319949470254707,-0.9016420879607749,-0.19517645282422447
4,-0.4031994946598898,-0.9016420879607594,-0.19517645282386076
5,-0.40319949466016153,-0.9016420879607749,-0.19517645282422447
6,-0.40319949466016153,-0.9016420879607749,-0.19517645282386076
7,-0.40319949470254707,-0.9016420879607749,-0.19517645282422447
8,-0.40319949466016153,-0.9016420879607672,-0.19517645282386076
9,-0.40319949466016153,-0.9016420879607749,-0.19517645282422447
10,-0.40319949465961813,-0.9016420879607827,-0.19517645282386076
11,-0.40319949470309047,-0.9016420879607749,-0.19517645282422447
12,-0.4031994946598898,-0.9016420879607594,-0.19517645282386076
13,-0.4031994946598898,-0.9016420879607749,-0.19517645282422447
14,-0.40319949466016153,-0.9016420879607672,-0.19517645282386076
15,-0.40319949470281874,-0.9016420879607906,-0.19517645282386076
16,-0.4031994946598898,-0.9016420879607672,-0.19517645282422447
17,-0.40319949466016153,-0.9016420879607749,-0.19517645282386076
18,-0.4031994946598898,-0.9016420879607672,-0.19517645282422447
19,-0.40319949470309047,-0.9016420879607749,-0.19517645282386076
20,-0.4031994946598898,-0.9016420879607749,-0.19517645282422447
21,-0.4031994946598898,-0.9016420879607672,-0.19517645282386076
22,-0.40319949466016153,-0.9016420879607749,-0.19517645282422447
23,-0.40319949470254707,-0.9016420879607827,-0.19517645282386076
24,-0.40319949466016153,-0.9016420879607672,-0.19517645282422447
25,-0.40319949466016153,-0.9016420879607749,-0.19517645282386076
26,-0.40319949465961813,-0.9016420879607672,-0.19517645282422447
27,-0.40319949470281874,-0.9016420879607827,-0.19517645282386076
28,-0.40319949466016153,-0.9016420879607749,-0.19517645282422447
29,-0.4031994946598898,-0.9016420879607672,-0.19517645282386076
30,-0.40319949470281874,-0.9016420879607672,-0.19517645282386076
31,-0.40319949466016153,-0.9016420883937103,-0.19517645282422447
32,-0.40319949466016153,-0.9016420879607749,-0.19517645282386076
33,-0.4031994946598898,-0.9016420879607749,-0.19517645282422447
34,-0.40319949470281874,-0.9016420879607672,-0.19517645282386076
35,-0.40319949466016153,-0.9016420879607672,-0.19517645282422447
36,-0.4031994946598898,-0.9016420879607827,-0.19517645282386076
37,-0.4031994946598898,-0.9016420879607749,-0.19517645282422447
38,-0.40319949470309047,-0.9016420879607672,-0.19517645282386076
39,-0.40319949465961813,-0.9016420879607749,-0.19517645282422447
40,-0.40319949466016153,-0.9016420879607749,-0.19517645282386076
41,-0.40319949466016153,-0.9016420879607749,-0.19517645282422447
42,-0.40319949470254707,-0.9016420879607672,-0.19517645282386076
43,-0.40319949466016153,-0.9016420879607749,-0.19517645282422447
44,-0.40319949466016153,-0.901642087960771,-0.19517645282386076
45,-0.40319949465961813,-0.9016420879607749,-0.19517645282422447
46,-0.40319949470281874,-0.9016420879607788,-0.19517645282386076
47,-0.40319949466016153,-0.901642087960771,-0.19517645282386076
48,-0.40319949466016153,-0.901642087960771,-0.19517645282422447
49,-0.40319949465961813,-0.9016420879607749,-0.19517645282386076
50,-0.40319949470309047,-0.9016420879607749,-0.19517645282422447
51,-0.4031994946598898,-0.9016420879607672,-0.19517645282386076
52,-0.4031994946598898,-0.9016420879607788,-0.19517645282422447
53,-0.4031994946604332,-0.901642087960771,-0.19517645282386076
54,-0.40319949470254707,-0.9016420879607749,-0.19517645282422447
55,-0.4031994946598898,-0.901642087960771,-0.19517645282386076
56,-0.4031994946604332,-0.9016420879607749,-0.19517645282422447
57,-0.4031994946598898,-0.901642087960771,-0.19517645282386076
58,-0.40319949470281874,-0.9016420879607749,-0.19517645282422447
59,-0.4031994946598898,-0.9016420879607749,-0.19517645282386076
60,-0.40319949466016153,-0.9016420879607749,-0.19517645282422447
61,-0.4031994946598898,-0.9016420879607672,-0.19517645282386076
62,-0.40319949470281874,-0.9016420879607749,-0.19517645282422447
63,-0.4031994946598898,-0.901642087960773,-0.19517645282386076
64,-0.5241970907688358,-0.5450723080052253,-0.24181297782869662
65,-0.524197090811493,-0.5450723080052233,-0.24181297782833291
66,-0.524197090768564,-0.5450723080052253,-0.24181297782869662
67,-0.524197090768564,-0.5450723080052233,-0.24181297782869662
68,-0.5241970907691075,-0.5450723084381528,-0.24181297782833291
69,-0.5241970908112213,-0.5450723080052253,-0.24181297782869662
70,-0.5241970907688358,-0.5450723080052233,-0.24181297782869662
71,-0.524197090768564,-0.5450723080052233,-0.24181297782833291
72,-0.524197090768564,-0.5450723080052233,-0.24181297782869662
73,-0.524197090811493,-0.5450723080052253,-0.24181297782833291
74,-0.5241970907688358,-0.5450723080052233,-0.24181297782869662
75,-0.5241970907688358,-0.5450723080052253,-0.24181297782869662
76,-0.524197090768564,-0.5450723080052233,-0.24181297782833291
77,-0.524197090811493,-0.5450723080052233,-0.24181297782869662
78,-0.5241970907688358,-0.5450723084381567,-0.24181297782869662
79,-0.5241970907682924,-0.5450723080052243,-0.24181297782833291
80,-0.5241970908117647,-0.5450723080052224,-0.24181297782869662
