time,dx,dy,dz
0,-0.22751319089452662,-0.8990110880666722,-0.41758938621340025
1,-0.22751319093664044,-0.8990110884996075,-0.4175893862137639
2,-0.22751319089452662,-0.8990110880666722,-0.41758938621340025
3,-0.2275131908942549,-0.8990110880666877,-0.41758938621340025
4,-0.28895084681721694,-0.8952660044491042,-0.42017912584866074
5,-0.2889508467745597,-0.8952660044491197,-0.42017912584902445
6,-0.28895084681721694,-0.8952660044491042,-0.42017912584866074
7,-0.2889508468169452,-0.8952660044491197,-0.42017912584902445
8,-0.2889508468174886,-0.8952660044491042,-0.42017912584866074
9,-0.288950846774288,-0.8952660044491197,-0.42017912584866074
10,-0.28895084681721694,-0.895266004449112,-0.42017912584902445
11,-0.2889508468174886,-0.895266004449112,-0.42017912584866074
12,-0.28895084681721694,-0.8952660044491042,-0.42017912584902445
13,-0.288950846774288,-0.895266004449112,-0.42017912584866074
14,-0.2889508468174886,-0.8952660044491197,-0.42017912584866074
15,-0.2889508468174886,-0.895266004449112,-0.42017912584902445
16,-0.2889508468166735,-0.8952660044491197,-0.42017912584866074
17,-0.2889508467745597,-0.895266004449112,-0.42017912584902445
18,-0.2889508468174886,-0.8952660044491042,-0.42017912584866074
19,-0.47145462859372034,-1.0534998176633612,-0.19051111303971968
20,-0.47145462859372034,-1.0534998172304337,-0.19051111303971968
21,-0.47145462859426374,-1.0534998176633534,-0.19051111303971968
22,-0.47145462859372034,-1.0534998176633612,-0.19051111303971968
23,-0.4714546285934486,-1.0534998172304337,-0.19051111303971968
24,-0.47145462859426374,-1.0534998176633612,-0.19051111303971968
25,-0.47145462859372034,-1.0534998176633457,-0.19051111303971968
26,-0.47145462859372034,-1.0534998176633692,-0.19051111303971968
27,-0.4714546285507914,-1.053499817230426,-0.1905111130400834
28,-0.47145462859426374,-1.0534998176633612,-0.19051111303971968
29,-0.47145462859372034,-1.0534998176633612,-0.19051111303971968
30,-0.47145462859372034,-1.0534998172304337,-0.19051111303971968
31,-0.471454628593992,-1.0534998176633534,-0.19051111303971968
32,-0.47145462859372034,-1.0534998176633612,-0.19051111303971968
33,-0.47145462859372034,-1.053499817230426,-0.19051111303971968
34,-0.471454628593992,-1.0534998176633612,-0.19051111303971968
35,-0.4009571444681543,-0.916886103024358,0.030283233077600107
36,-0.40095714442495367,-0.9168861034572777,0.030283233077600107
37,-0.40095714442522534,-0.916886103024358,0.030283233077600107
38,-0.4009571444681543,-0.916886103024358,0.030283233077600107
39,-0.4009571444676109,-0.9168861030243424,0.030283233077600107
40,-0.40095714442522534,-0.9168861034572933,0.030283233077600107
41,-0.40095714442522534,-0.916886103024358,0.03028323307723641
42,-0.4009571444681543,-0.9168861030243424,0.030283233077600107
43,-0.4009571444678826,-0.9168861034572933,0.030283233077600107
44,-0.40095714442495367,-0.9168861030243501,0.030283233077600107
45,-0.40095714442522534,-0.9168861030243541,0.030283233077600107
46,-0.4009571444681543,-0.9168861030243619,0.030283233077600107
47,-0.4009571444678826,-0.9168861034572816,0.030283233077600107
48,-0.40095714442522534,-0.9168861030243541,0.030283233077600107
49,-0.5127431480010608,-0.8067834820985597,0.0290734931094762
50,-0.5127431480010608,-0.806783482531491,0.0290734931094762
51,-0.512743148043718,-0.8067834820985597,0.0290734931094762
52,-0.5127431480010608,-0.8067834820985674,0.0290734931094762
53,-0.5127431480010608,-0.806783482531495,0.029073493109839896
54,-0.5127431480013326,-0.8067834820985597,0.0290734931094762
55,-0.512743148043718,-0.8067834820985597,0.0290734931094762
56,-0.5127431480010608,-0.806783482531491,0.0290734931094762
57,-0.5127431480013326,-0.8067834820985635,0.0290734931094762
58,-0.5127431480007891,-0.806783482531491,0.0290734931094762
59,-0.5127431480434463,-0.8067834820985635,0.0290734931094762
60,-0.5127431480013326,-0.8067834820985635,0.0290734931094762
61,-0.5127431480010608,-0.806783482531491,0.029073493109839896
62,-0.5127431480007891,-0.8067834820985635,0.0290734931094762
63,-0.5127431480442615,-0.8067834820985597,0.0290734931094762
64,-0.5127431480010608,-0.806783482531491,0.0290734931094762
65,-0.5127431480010608,-0.8067834820985617,0.0290734931094762
66,-0.6628569452578217,-0.8119481481483268,-0.3665562816342612
