time,dx,dy,dz
0,-1.8589458555026126,-2.054262460851027,0.04944841256632648
1,-1.8589458554563054,-2.0542624612995795,0.04944841256642361
2,-1.311248872818247,-2.029005102030544,-0.6340026511725834
3,-1.3112488728178033,-2.029005102479613,-0.6340026511724863
4,-1.3112488728179512,-2.029005102030544,-0.6340026511725834
5,-1.3112488728179512,-2.029005102479871,-0.6340026511724863
6,-1.3112488728179512,-2.0290051020310607,-0.6340026511725834
7,-1.3428467756579707,-2.205806615117515,0.32282883806194873
8,-1.3428467756581186,-2.2058066151180316,0.32282883806194873
9,-1.3428467757047218,-2.2058066146697377,0.3228288380620458
10,-1.3428467756579707,-2.205806615118548,0.32282883806194873
11,-1.3428467756578226,-2.2058066151180316,0.32282883806194873
12,-0.977715453899413,-1.8122127708490379,-0.18975945974228225
13,-0.977715453899413,-1.8122127712968155,-0.18975945974218514
14,-0.977715453899413,-1.8122127708490379,-0.18975945974228225
15,-0.977715453899117,-1.8122127708490379,-0.18975945974228225
16,-0.977715453899117,-1.812212771297332,-0.18975945974218514
17,-0.977715453899413,-1.8122127708490379,-0.18975945974228225
18,-1.179590944302459,-1.8964039676641264,0.4936916039967247
19,-1.179590944302163,-1.89640396766361,0.4936916039967247
20,-1.179590944302459,-1.8964039672153161,0.49369160399662754
21,-1.179590944302311,-1.8964039676641264,0.4936916039967247
22,-1.179590944302459,-1.89640396766361,0.4936916039967247
23,-1.179590944302311,-1.89640396766361,0.4936916039967247
24,-1.4797710213290252,-2.1805492558500297,-0.01889669380750623
25,-1.479771021329321,-2.1805492562972906,-0.01889669380750623
26,-1.4797710213294688,-2.180549255849513,-0.01889669380750623
27,-1.479771021329173,-2.180549256297807,-0.01889669380750623
28,-1.479771021329173,-2.180549255849513,-0.01889669380750623
29,-1.1005961872023364,-2.2942073716615172,0.1177935189402563
30,-1.100596187155733,-2.2942073712132234,0.1177935189402563
31,-1.1005961872020404,-2.2942073716620337,0.11779351894035343
32,-1.100596187155733,-2.294207371212707,0.1177935189402563
33,-1.1005961872023364,-2.2942073716620337,0.1177935189402563
34,-1.1953898957223947,-2.256321332758481,0.1177935189402563
35,-1.1953898957223947,-2.2563213332072913,0.11779351894035343
36,-1.1953898957220987,-2.256321332758481,0.1177935189402563
37,-1.1953898957225426,-2.2563213332072913,0.11779351894035343
38,-1.1953898957226905,-2.256321332758481,0.1177935189402563
39,-1.188368139561483,-1.9174517667554378,0.03805756150402103
40,-1.1883681395148797,-1.9174517667554378,0.038057561504118154
41,-1.1883681395147316,-1.9174517667559543,0.038057561504118154
42,-1.1883681395619268,-1.9174517667554378,0.03805756150402103
43,-1.1883681395616308,-1.9174517667549213,0.03805756150402103
44,-1.1883681395147316,-1.9174517667554378,0.038057561504118154
45,-1.4165752156492821,-2.054262461300096,0.39117394443587855
46,-1.41657521564943,-2.054262461300096,0.39117394443587855
47,-1.416575215602235,-2.0542624608502527,0.3911739444357814
48,-1.416575215649134,-2.0542624612995795,0.39117394443587855
49,-1.4165752156492821,-2.054262461300096,0.39117394443587855
50,-1.7413314393083525,-1.5912108799381017,0.20892032743879704
51,-1.7413314393086483,-1.5912108799386182,0.20892032743879704
52,-1.7413314393086483,-1.5912108799381017,0.20892032743879704
53,-1.7413314393553996,-1.5912108799381017,0.20892032743889416
54,-1.7413314393086483,-1.5912108799386182,0.20892032743879704
55,-1.7413314393086483,-1.5912108799381017,0.20892032743879704
56,-1.925652539239658,-0.9176813072121183,0.6076001146198763
57,-1.925652539286409,-0.9176813076614452,0.6076001146198763
58,-1.925652539239658,-0.9176813072121183,0.6076001146197793
59,-1.925652539239954,-0.9176813072121183,0.6076001146198763
60,-1.9256525392861132,-0.9176813076609287,0.6076001146198763
61,-1.9256525392402497,-0.9176813072121183,0.6076001146198763
62,-1.7852174155115972,-0.9898451900687648,0.5181005705587661
63,-1.785217415464846,-0.9898451900682483,0.5181005705588633
64,-1.7852174155113012,-0.9898451900687648,0.5181005705587661
65,-1.785217415464846,-0.9898451905170588,0.5181005705588633
66,-1.7852174155115972,-0.9898451900677319,0.5181005705587661
67,-1.785217415465142,-0.9898451900687648,0.5181005705588633
68,-1.7852174155115972,-0.9898451900682483,0.5181005705587661
69,-2.118750834430135,-0.9492530062981539,0.6076001146198763
70,-2.118750834383384,-0.9492530058498599,0.6076001146198763
71,-2.118750834430727,-0.9492530058498599,0.6076001146197793
72,-2.118750834430135,-0.9492530062986704,0.6076001146198763
73,-2.11875083438368,-0.9492530062981539,0.6076001146198763
74,-2.118750834430135,-0.9492530058498599,0.6076001146198763
75,-2.448773375245064,-1.2333982944835404,0.32282883806194873
76,-2.4487733752453598,-1.2333982944835404,0.32282883806194873
77,-2.4487733751986087,-1.2333982949323508,0.3228288380620458
78,-2.448773375245064,-1.2333982944835404,0.32282883806194873
79,-2.4487733752453598,-1.2333982944835404,0.32282883806194873
80,-2.1538596153739125,-1.725916794394156,0.254483731688116
81,-2.153859615327457,-1.7259167943936395,0.25448373168801885
82,-2.1538596153739125,-1.72591679484245,0.254483731688116
83,-2.153859615327457,-1.7259167943936395,0.25448373168801885
84,-2.1538596153739125,-1.725916794394156,0.254483731688116
85,-2.3118491295738615,-1.523857922934738,0.4595190508098083
86,-2.3118491295741572,-1.523857922486444,0.4595190508097112
87,-2.3118491296209087,-1.523857922934738,0.4595190508098083
88,-2.3118491295738615,-1.5238579224859274,0.4595190508097112
89,-2.3118491295741572,-1.523857922934738,0.4595190508098083
90,-2.2986833367083315,-1.991119064025129,-0.10432807677489424
91,-2.2986833367086272,-1.9911190635763185,-0.10432807677489424
92,-2.2986833367550825,-1.991119063575802,-0.10432807677489424
93,-2.2986833367086272,-1.9911190640246126,-0.10432807677489424
94,-2.174924883902955,-1.6754020767537068,-1.4541439276592558
95,-2.1749248839026594,-1.67540207630438,-1.4541439276593529
96,-2.174924883949706,-1.6754020767537068,-1.4541439276592558
97,-2.1749248839026594,-1.6754020763048962,-1.4541439276593529
98,-2.174924883902955,-1.6754020767531903,-1.4541439276592558
99,-2.1538596153739125,-1.801688871303124,-0.29227711930312844
100,-2.153859615327457,-1.801688871303124,-0.2922771193030313
101,-2.1538596153739125,-1.8016888717519344,-0.29227711930312844
102,-2.153859615327457,-1.8016888713026076,-0.2922771193030313
103,-2.1538596153739125,-1.801688871303124,-0.29227711930312844
104,-2.4303412652710183,-2.180549256297807,-0.9586419064485802
105,-2.4303412652239715,-2.180549255849513,-0.9586419064485802
106,-2.4303412652239715,-2.1805492558489967,-0.958641906448483
107,-2.4303412652710183,-2.1805492562983235,-0.9586419064485802
108,-1.9748048325514178,-1.9532330251215764,-0.770692863920346
109,-1.974804832598465,-1.9532330255698702,-0.770692863920346
110,-1.9748048325514178,-1.9532330251215764,-0.770692863920346
111,-1.9748048325987608,-1.9532330255703867,-0.770692863920346
112,-1.9748048325514178,-1.9532330251215764,-0.770692863920346
113,-1.8694784897203829,-1.763802832848382,-0.770692863920346
114,-1.86947848976743,-1.763802832848382,-0.770692863920346
115,-1.8694784897203829,-1.7638028332966758,-0.770692863920346
116,-1.8694784897671342,-1.7638028328488984,-0.770692863920346
117,-1.8694784897203829,-1.763802832848382,-0.770692863920346
