time,dx,dy,dz
0,-1.4886406081176364,-1.8515389221613883,0.01707441481039247
1,-1.4886406080708852,-1.8515389217120612,0.017074414810295344
2,-1.4886406081176364,-1.85153892216113,0.017074414810295344
3,-1.4886406080708852,-1.8515389221608718,0.01707441481039247
4,-1.4886406081173404,-1.8515389221608718,0.017074414810295344
5,-1.4886406080708852,-1.8515389221613883,0.01707441481039247
6,-1.4886406080708852,-1.8515389217120612,0.017074414810295344
7,-1.4886406081173404,-1.85153892216113,0.017074414810295344
8,-1.4886406080710333,-1.8515389221608718,0.01707441481039247
9,-1.4886406081173404,-1.8515389221608718,0.017074414810295344
10,-1.4886406080707373,-1.8515389217125777,0.017074414810295344
11,-1.4886406080708852,-1.8515389221608718,0.01707441481039247
12,-1.4886406081174886,-1.85153892216113,0.017074414810295344
13,-1.4886406080708852,-1.8515389221608718,0.01707441481039247
14,-1.4886406081176364,-1.8515389221608718,0.017074414810295344
15,-1.4886406080705894,-1.8515389217120612,0.017074414810295344
16,-1.4886406081176364,-1.8515389221613883,0.01707441481039247
17,-1.4886406080708852,-1.8515389221608718,0.017074414810295344
18,-1.489493452957575,-1.9741189182251233,-0.005753404120215769
19,-1.4894934530050659,-1.974118918224865,-0.005753404120215769
20,-1.489493452957723,-1.9741189182251233,-0.005753404120215769
21,-1.489493452957871,-1.974118918224865,-0.005753404120215769
22,-1.489493453004622,-1.9741189186739339,-0.005753404120215769
23,-1.489493452957723,-1.974118918224865,-0.005753404120215769
24,-1.489493452957871,-1.974118918224865,-0.005753404120215769
25,-1.4894934529583148,-1.9741189182251233,-0.005753404120215769
26,-1.489493453004474,-1.9741189182251233,-0.005753404120215769
27,-1.489493452957871,-1.974118918224865,-0.005753404120215769
28,-1.489493452957871,-1.9741189182251233,-0.005753404120215769
29,-1.489493453004474,-1.9741189182251233,-0.005753404120215769
30,-1.4894934529580188,-1.974118918224865,-0.005753404120215769
31,-1.4894934529580188,-1.9741189186736756,-0.005753404120215769
32,-1.489493453004474,-1.974118918224865,-0.005753404120215769
33,-1.4894934529580188,-1.9741189182253815,-0.005753404120215769
34,-1.489493452957723,-1.9741189182253815,-0.005753404120215769
35,-1.489493453004622,-1.974118918224865,-0.005753404120215769
36,-1.489493452957871,-1.974118918224865,-0.005753404120215769
37,-1.4894934529580188,-1.974118918224865,-0.005753404120215769
38,-1.489493452957723,-1.9741189182253815,-0.005753404120215769
39,-1.489493453004918,-1.9741189186736756,-0.005753404120215769
40,-1.489493452957723,-1.9741189182246068,-0.005753404120215769
41,-1.489493452957871,-1.9741189182251233,-0.005753404120215769
