time,dx,dy,dz
0,-0.25504262046029574,-0.9635068991969683,-0.502569754299873
1,-0.25504262050645515,-0.9635068996456335,-0.5025697542994845
2,-0.25504262046029574,-0.9635068996456335,-0.502569754299873
3,-0.2550426205061592,-0.9635068991969683,-0.5025697542994845
4,-0.255042620459704,-0.9635068996456173,-0.502569754299873
5,-0.255042620506751,-0.9635068991969845,-0.5025697542994845
6,-0.25504262045999987,-0.9635068996456254,-0.502569754299873
7,-0.340205566032581,-0.8896818411169294,-0.46997439587503526
8,-0.3402055660319892,-0.8896818411169375,-0.4699743958754238
9,-0.340205565985534,-0.8896818411169294,-0.46997439587503526
10,-0.34020556603228513,-0.8896818411169294,-0.4699743958754238
11,-0.34020556603228513,-0.8896818411169456,-0.46997439587503526
12,-0.34020556603228513,-0.8896818411169294,-0.4699743958754238
13,-0.34020556603228513,-0.8896818411169294,-0.46997439587503526
14,-0.340205565985534,-0.8896818411169294,-0.4699743958754238
15,-0.34020556603228513,-0.8896818411169294,-0.46997439587503526
16,-0.3402055660319892,-0.8896818411169294,-0.4699743958754238
17,-0.34020556603228513,-0.8896818411169375,-0.46997439587503526
18,-0.34020556603228513,-0.8896818411169294,-0.4699743958754238
19,-0.340205565985534,-0.8896818411169294,-0.46997439587503526
20,-0.34020556603228513,-0.8896818411169294,-0.4699743958754238
21,-0.34020556603228513,-0.8896818411169456,-0.46997439587503526
22,-0.43955284045457504,-0.9502874436284495,-0.2560944159288435
23,-0.43955284045457504,-0.9502874431797683,-0.25609441592845505
24,-0.43955284045427917,-0.9502874436284495,-0.2560944159288435
25,-0.43955284045457504,-0.9502874436284495,-0.25609441592845505
26,-0.4395528404081198,-0.9502874436284495,-0.2560944159288435
27,-0.43955284045427917,-0.9502874431797763,-0.25609441592845505
28,-0.43955284045427917,-0.9502874436284495,-0.2560944159288435
29,-0.43955284045457504,-0.9502874436284495,-0.25609441592845505
30,-0.43955284045457504,-0.9502874431797844,-0.2560944159288435
31,-0.43955284045457504,-0.9502874436284495,-0.25609441592845505
32,-0.43955284045427917,-0.9502874436284415,-0.2560944159288435
33,-0.43955284045457504,-0.9502874431797844,-0.25609441592845505
34,-0.439552840407528,-0.9502874436284415,-0.2560944159288435
35,-0.43955284045457504,-0.9502874436284576,-0.25609441592845505
36,-0.43955284045457504,-0.9502874436284334,-0.2560944159288435
37,-0.43955284045457504,-0.9502874431797925,-0.25609441592845505
38,-0.43955284045427917,-0.9502874436284495,-0.2560944159288435
39,-0.42753446697880515,-0.8903118017413751,0.22031117850129678
40,-0.42753446693146224,-0.890311801741367,0.22031117850090828
41,-0.4275344669785093,-0.8903118017413751,0.22031117850129678
42,-0.4275344669782134,-0.8903118017413751,0.22031117850090828
43,-0.4275344669317581,-0.8903118017413751,0.22031117850129678
44,-0.4275344669782134,-0.8903118017413751,0.22031117850090828
45,-0.4275344669785093,-0.8903118017413751,0.22031117850129678
46,-0.4275344669317581,-0.8903118017413791,0.22031117850129678
47,-0.4275344669782134,-0.8903118017413711,0.22031117850090828
48,-0.42753446693146224,-0.8903118017413791,0.22031117850129678
49,-0.4275344669785093,-0.890311801741367,0.22031117850090828
50,-0.4275344669782134,-0.8903118017413791,0.22031117850129678
51,-0.4275344669317581,-0.8903118017413751,0.22031117850090828
52,-0.4275344669782134,-0.8903118017413751,0.22031117850129678
53,-0.5832202079216976,-0.8075781653059079,-0.011010719995170804
54,-0.583220207967561,-0.8075781653059119,-0.011010719995170804
55,-0.5832202079214017,-0.8075781653059079,-0.011010719995170804
56,-0.583220207967857,-0.8075781653059079,-0.011010719995170804
57,-0.5832202079211058,-0.8075781653059079,-0.011010719995170804
58,-0.583220207967857,-0.8075781653059079,-0.011010719995170804
59,-0.5832202079211058,-0.8075781648572508,-0.011010719994782307
60,-0.583220207967857,-0.8075781653059079,-0.011010719995170804
61,-0.5832202079211058,-0.8075781653059079,-0.011010719995170804
62,-0.583220207967857,-0.8075781653059079,-0.011010719995170804
63,-0.5832202079211058,-0.8075781653059079,-0.011010719995170804
64,-0.583220207967857,-0.8075781653059119,-0.011010719995170804
65,-0.5832202079214017,-0.8075781653059079,-0.011010719995170804
66,-0.6572411912267716,-0.831463207508321,-0.33784052355244737
67,-0.6572411912270675,-0.8314632079569843,-0.33784052355205885
68,-0.6572411912270675,-0.831463207508319,-0.33784052355244737
69,-0.6572411912738186,-0.8314632079569801,-0.33784052355244737
70,-0.6572411912264757,-0.831463207508323,-0.33784052355244737
71,-0.6572411912270675,-0.8314632079569801,-0.33784052355205885
72,-0.6572411912267716,-0.831463207508321,-0.33784052355244737
73,-0.6572411912270675,-0.8314632079569821,-0.33784052355244737
74,-0.6572411912270675,-0.831463207508321,-0.33784052355244737
75,-0.6572411912270675,-0.8314632079569801,-0.33784052355205885
76,-0.6572411912267716,-0.831463207508322,-0.33784052355244737
77,-0.6572411912738186,-0.8314632079569811,-0.33784052355244737
78,-0.6572411912267716,-0.831463207508323,-0.33784052355244737
79,-0.6572411912270675,-0.8314632079569811,-0.33784052355205885
80,-0.6572411912270675,-0.83146320750832,-0.33784052355244737
81,-0.6851545569878918,-0.7159076332871325,-0.44605360864434923
82,-0.6851545569411407,-0.7159076332871329,-0.44605360864434923
83,-0.6851545569878918,-0.7159076332871315,-0.44605360864434923
84,-0.6851545569878918,-0.7159076328384714,-0.44605360864434923
85,-0.6851545569411407,-0.7159076332871325,-0.44605360864434923
86,-0.6851545569878918,-0.715907633287132,-0.44605360864434923
87,-0.4166735213592543,-0.7803002176006332,-0.31790653419321857
88,-0.41667352135866254,-0.7803002176006333,-0.3179065341936071
89,-0.4166735213589584,-0.7803002176006332,-0.31790653419321857
90,-0.4166735213592543,-0.780300217600633,-0.31790653419321857
91,-0.6362539169350264,-0.705826188688398,-0.2825135326784478
92,-0.6362539169823694,-0.7058261882397379,-0.28251353267805934
93,-0.6362539169353223,-0.705826188688398,-0.28251353267805934
94,-0.6362539169823694,-0.7058261882397379,-0.2825135326784478
95,-0.6362539169353223,-0.7058261886883991,-0.2825135326784478
96,-0.6362539169820735,-0.7058261882397369,-0.28251353267805934
97,-0.6362539169356183,-0.705826188688398,-0.28251353267805934
98,-0.6362539169353223,-0.7058261886883991,-0.2825135326784478
99,-0.6362539169820735,-0.7058261882397369,-0.2825135326784478
100,-0.6362539169356183,-0.7058261886883991,-0.28251353267805934
101,-0.6362539169820735,-0.7058261882397369,-0.28251353267805934
102,-0.6362539169353223,-0.705826188688398,-0.2825135326784478
103,-0.6362539169817776,-0.705826188239739,-0.2825135326784478
104,-0.6362539169359142,-0.705826188688396,-0.28251353267805934
105,-0.6315317013867588,-0.6767170820816871,-0.17755497646121296
106,-0.6315317013403036,-0.6767170825303502,-0.17755497646121296
107,-0.6315317013867588,-0.6767170820816891,-0.17755497646121296
108,-0.6315317013870547,-0.6767170820816891,-0.17755497646121296
109,-0.6315317013870547,-0.6767170825303502,-0.17755497646121296
110,-0.6315317013400077,-0.6767170820816871,-0.17755497646121296
111,-0.6315317013870547,-0.6767170820816891,-0.17755497646082447
112,-0.6315317013867588,-0.6767170825303502,-0.17755497646121296
113,-0.6315317013400077,-0.6767170820816871,-0.17755497646121296
114,-0.6315317013870547,-0.6767170825303523,-0.17755497646121296
115,-0.6315317013870547,-0.6767170820816831,-0.17755497646121296
116,-0.6315317013867588,-0.6767170820816912,-0.17755497646121296
117,-0.6315317013405994,-0.6767170825303482,-0.17755497646121296
118,-0.631531701386463,-0.6767170820816912,-0.17755497646121296
119,-0.028753069689071608,-0.007225920683156019,0.12690619979031434
120,-0.028753069642024558,-0.0072259211318211735,0.12690619978992584
121,-0.028753069688775716,-0.007225920683160054,0.12690619979031434
122,-0.02875306964232045,-0.007225920683160054,0.12690619978992584
123,-0.028753069688775716,-0.007225920683160054,0.12690619979031434
124,-0.028753069688775716,-0.0072259211318211735,0.12690619978992584
125,-0.028753069642616345,-0.007225920683156019,0.12690619979031434
126,-0.028753069688775716,-0.007225920683164089,0.12690619978992584
127,-0.028753069642024558,-0.007225920683156019,0.12690619979031434
128,-0.028753069688775716,-0.0072259211318211735,0.12690619978992584
129,-0.028753069688775716,-0.007225920683160054,0.12690619979031434
130,-0.028753069642616345,-0.007225920683156019,0.12690619978992584
131,-0.028753069688775716,-0.007225920683164089,0.12690619979031434
132,-0.028753069642024558,-0.0072259211318171385,0.12690619978992584
133,-0.028753069688775716,-0.007225920683160054,0.12690619979031434
134,-0.6161055342426084,0.021530950386845903,-0.4973124384247237
135,-0.6161055341961532,0.02153095083551509,-0.4973124384247237
136,-0.6161055341955614,0.021530950386853973,-0.4973124384247237
137,-0.6161055342423125,0.021530950386849938,-0.4973124384247237
138,-0.8386774551028217,-0.32778148118461253,-0.2837339810063022
139,-0.8386774551031175,-0.3277814811846085,-0.2837339810066907
140,-0.8386774550560705,-0.32778148118461253,-0.2837339810063022
141,-0.8386774551025258,-0.32778148118461253,-0.2837339810063022
