time,dx,dy,dz
0,0.005330412384904826,0.02946965415333804,-0.01889669380750623
1,-0.029925166445710066,0.09767938867126377,-0.01889669380750623
2,-0.4319641066765276,0.46059114167610743,-0.01889669380750623
3,-0.5945865993725264,0.6073869075767186,-0.01889669380750623
4,-0.5945865993725273,0.6073869075767176,-0.01889669380750623
5,-0.5945865993258249,0.6073869075767176,-0.01889669380750623
6,-0.5945865993725268,0.6073869075767176,-0.01889669380750623
7,-0.594586599325825,0.6073869075767176,-0.01889669380750623
8,-0.5945865993725269,0.6073869071280555,-0.01889669380750623
9,-0.594586599325825,0.6073869075767206,-0.01889669380750623
10,-0.6964329899597946,0.2796625035565871,-0.01889669380750623
11,-0.732964847401783,0.16210918446481362,-0.01889669380750623
12,-0.7329648474017841,0.16210918446480957,-0.01889669380750623
13,-0.732964847448485,0.16210918401615249,-0.01889669380750623
14,-0.7329648474017836,0.1621091844648116,-0.01889669380750623
15,-0.732964847448485,0.1621091844648116,-0.01889669380750623
16,-0.732964847401783,0.16210918446481362,-0.01889669380750623
17,-0.7329648474017841,0.1621091844648116,-0.01889669380750623
18,-0.7329648474484856,0.1621091844648116,-0.01889669380750623
19,-0.9487564773827708,-0.19834047542016622,-0.01889669380750623
20,-1.045253747530207,-0.35952563472340554,-0.01889669380750623
21,-1.0452537475769073,-0.35952563472340754,-0.01889669380750623
22,-1.0452537475302104,-0.35952563472340754,-0.01889669380750623
23,-1.0452537475302035,-0.35952563472340754,-0.01889669380750623
24,-1.0452537475302082,-0.35952563472340754,-0.01889669380750623
25,-0.9237969394536446,-0.14748412768762625,-0.01889669380750623
26,-0.8679445386640852,-0.04997598938294422,-0.01889669380750623
27,-0.8679445386640852,-0.04997598938294725,-0.01889669380750623
28,-0.8679445387107877,-0.04997598938294725,-0.01889669380750623
29,-0.8679445386640852,-0.04997598938294725,-0.01889669380750623
30,-0.8679445386640828,-0.04997598938294624,-0.01889669380750623
31,-0.8679445386640874,-0.04997598938294725,-0.01889669380750623
32,-0.8679445386640828,-0.049975989382945236,-0.01889669380750623
33,-0.7012380542324691,-0.13110444167068863,-0.01889669380750623
34,-0.64174849470601,-0.1600553006696513,-0.01889669380750623
35,-0.6417484946593005,-0.1600553006696523,-0.01889669380750623
36,-0.64174849470601,-0.1600553006696513,-0.01889669380750623
37,-0.6417484946593005,-0.1600553006696513,-0.01889669380750623
38,-0.64174849470601,-0.16005530066965026,-0.01889669380750623
39,-0.6417484946593005,-0.1600553006696533,-0.01889669380750623
40,-0.64174849470601,-0.16005530022098916,-0.01889669380750623
41,-0.6417484946593052,-0.1600553006696523,-0.01889669380750623
42,-0.6417484947060008,-0.16005530066965026,-0.01889669380750623
43,-0.3098013191570167,-0.4736689525402974,-0.01889669380750623
44,-0.194380333606641,-0.5827152083722217,-0.01889669380750623
45,-0.1943803336066456,-0.5827152083722207,-0.01889669380750623
46,-0.19438033365334592,-0.5827152088208812,-0.01889669380750623
47,-0.19438033360663637,-0.5827152083722207,-0.01889669380750623
48,-0.1943803336066456,-0.5827152083722201,-0.01889669380750623
49,-0.194380333606641,-0.5827152088208822,-0.01889669380750623
50,-0.19438033365334592,-0.5827152083722209,-0.01889669380750623
51,-0.194380333606641,-0.5827152083722207,-0.01889669380750623
52,-0.19438033360663637,-0.5827152083722207,-0.01889669380750623
53,-0.14130731171951488,-0.7631042466058282,-0.01889669380750623
54,-0.12236809229188278,-0.8274764536420439,-0.01889669380750623
55,-0.12236809224517324,-0.8274764540907045,-0.01889669380750623
56,-0.12236809224518248,-0.8274764540907048,-0.01889669380750623
57,-0.12236809224517324,-0.8274764536420434,-0.01889669380750623
58,-0.12236809224518248,-0.827476454090705,-0.01889669380750623
59,-0.12236809224517324,-0.8274764536420439,-0.01889669380750623
60,0.06359498153723879,-1.0966764836866727,-0.01889669380750623
61,0.1299562955449677,-1.1927410804678222,-0.01889669380750623
62,0.1299562955449677,-1.1927410800191631,-0.01889669380750623
63,0.12995629554496307,-1.1927410804678242,-0.01889669380750623
64,0.1299562955449677,-1.1927410804678233,-0.01889669380750623
65,0.045958450308160446,-0.9825617294124558,0.029869288618047767
66,0.005330412384904826,-0.8809022814625749,0.05345639584453518
67,0.005330412384904826,-0.8809022810139138,0.05345639584453518
68,0.005330412384904826,-0.8809022810139138,0.053456395844632305
69,0.005330412384904826,-0.8809022810139117,0.05345639584453518
70,0.005330412384904826,-0.8809022814625749,0.053456395844632305
71,0.005330412384904826,-0.8809022810139117,0.05345639584453518
72,-0.5880909768137358,-0.5420464157664989,0.07060045170023554
73,-0.7987636108441821,-0.4217479923452841,0.07668682383327063
74,-0.7987636108908871,-0.4217479923452841,0.07668682383327063
75,-0.7987636108908871,-0.42174799234528815,0.07668682383327063
76,-0.7987636108908779,-0.421747991896623,0.07668682383327063
77,-0.7987636108908963,-0.42174799234529214,0.07668682383327063
78,-0.7987636108908871,-0.4217479923452841,0.07668682383327063
79,-0.6574990578038535,-0.6956560635859173,0.0890577908200096
80,-0.6081231883238296,-0.7913945126626203,0.09338178602856712
81,-0.6081231883238204,-0.7913945126626203,0.09338178602866423
82,-0.6081231883238204,-0.7913945122139592,0.09338178602866423
83,-0.6081231883238204,-0.7913945126626163,0.09338178602856712
84,-0.6081231883238251,-0.7913945126626203,0.09338178602866423
85,-0.6447789870813051,-0.7194007265465451,0.08884118922535086
86,-0.657591202787516,-0.694236906778155,0.0872541250255441
87,-0.6575912027875206,-0.6942369063294859,0.0872541250255441
88,-0.657591202787516,-0.6942369067781631,0.0872541250255441
89,-0.6575912028342209,-0.694236906778147,0.0872541250255441
90,-0.657591202787516,-0.694236906778151,0.0872541250255441
91,-0.657591202787516,-0.6942369063294899,0.08725412502564123
92,-1.7277604791225845,-0.858557604481389,0.1839553131294252
93,-2.0638583202329404,-0.9101642364926769,0.2143253314697287
94,-2.063858320186245,-0.9101642360440239,0.2143253314696316
95,-1.5552043587922681,-0.6275868101557825,0.15438840888572639
96,-1.3736901229047411,-0.5267484613144089,0.1329997920070924
