time,dx,dy,dz
0,-0.25852299220281105,-0.9207315542923615,-0.5679357150110952
1,-0.2585229921563558,-0.9207315547410267,-0.5679357150110952
2,-0.258522992203107,-0.9207315542923615,-0.5679357150110952
3,-0.2585229921563558,-0.9207315542923454,-0.5679357150114838
4,-0.25852299220281105,-0.9207315542923696,-0.5679357150110952
5,-0.2585229921563558,-0.9207315547410186,-0.5679357150110952
6,-0.258522992203107,-0.9207315542923776,-0.5679357150110952
7,-0.2585229921563558,-0.9207315542923615,-0.5679357150110952
8,-0.258522992203107,-0.9207315542923615,-0.5679357150110952
9,-0.2585229921560599,-0.9207315547410186,-0.5679357150110952
10,-0.258522992203107,-0.9207315542923696,-0.5679357150110952
11,-0.2585229921563558,-0.9207315542923454,-0.5679357150114838
12,-0.258522992203107,-0.9207315542923776,-0.5679357150110952
13,-0.2585229921563558,-0.9207315547410186,-0.5679357150110952
14,-0.258522992203107,-0.9207315542923696,-0.5679357150110952
15,-0.41860129928334844,-0.9579344339600208,-0.3264496724901419
16,-0.41860129928334844,-0.957934433960045,-0.32644967248975343
17,-0.4186012993303955,-0.9579344339600208,-0.3264496724901419
18,-0.41860129928394024,-0.9579344339600289,-0.3264496724901419
19,-0.41860129928334844,-0.957934433960037,-0.32644967248975343
20,-0.41860129928364437,-0.9579344339600208,-0.3264496724901419
21,-0.41860129928334844,-0.957934433960045,-0.3264496724901419
22,-0.41860129928394024,-0.9579344339600208,-0.3264496724901419
23,-0.4186012993300996,-0.9579344335113718,-0.32644967248975343
24,-0.41860129928334844,-0.9579344339600289,-0.3264496724901419
25,-0.41860129928364437,-0.957934433960037,-0.3264496724901419
26,-0.41860129928394024,-0.9579344339600289,-0.32644967248975343
27,-0.41860129928334844,-0.9579344339600289,-0.3264496724901419
28,-0.4186012993303955,-0.957934433960037,-0.3264496724901419
29,-0.41860129928334844,-0.9579344339600289,-0.32644967248975343
30,-0.41860129928394024,-0.9579344339600289,-0.3264496724901419
31,-0.4437997510113823,-0.8886738321526324,-0.01889669380750623
32,-0.4437997510116782,-0.8886738317039592,-0.01889669380750623
33,-0.4437997510113823,-0.8886738321526243,-0.01889669380750623
34,-0.4437997509655188,-0.8886738317039753,-0.01889669380750623
35,-0.4437997510113823,-0.8886738321526243,-0.01889669380750623
36,-0.4437997510113823,-0.8886738317039592,-0.01889669380750623
37,-0.4437997510116782,-0.8886738321526324,-0.01889669380750623
38,-0.44379975101197405,-0.8886738321526324,-0.01889669380750623
39,-0.4437997510113823,-0.8886738317039672,-0.01889669380750623
40,-0.4437997510116782,-0.8886738321526243,-0.01889669380750623
41,-0.4437997509652229,-0.8886738317039672,-0.01889669380750623
42,-0.4437997510116782,-0.8886738321526243,-0.01889669380750623
43,-0.4437997510116782,-0.8886738317039713,-0.01889669380750623
44,-0.4437997510116782,-0.8886738321526243,-0.01889669380750623
45,-0.4437997510116782,-0.8886738321526283,-0.01889669380750623
46,-0.4437997510116782,-0.8886738317039632,-0.01889669380750623
47,-0.4437997510116782,-0.8886738321526283,-0.01889669380750623
48,-0.443799750964927,-0.8886738317039672,-0.01889669380750623
49,-0.4437997510116782,-0.8886738321526283,-0.01889669380750623
50,-0.4437997510116782,-0.8886738317039632,-0.01889669380750623
51,-0.4437997510116782,-0.8886738321526283,-0.01889669380750623
52,-0.5924164757081858,-0.828926948062358,-0.01889669380750623
53,-0.5924164757084817,-0.8289269476136888,-0.01889669380750623
54,-0.5924164757084817,-0.828926948062358,-0.01889669380750623
55,-0.5924164757084817,-0.828926948062354,-0.01889669380750623
56,-0.5924164756617305,-0.8289269476136929,-0.01889669380750623
