time,dx,dy,dz
0,-0.18088057994201528,-0.9132778448002775,-0.42896733205089105
1,-0.24686795800056574,-0.8232300104044834,-0.5656575447985565
2,-0.24686795800056574,-0.8232300104044672,-0.5656575447989449
3,-0.24686795800026984,-0.8232300099558021,-0.5656575447985565
4,-0.24686795800086164,-0.8232300104044672,-0.5656575447985565
5,-0.2468679580476128,-0.8232300104044672,-0.5656575447989449
6,-0.24686795800056574,-0.8232300104044672,-0.5656575447985565
7,-0.24686795800056574,-0.8232300099558182,-0.5656575447985565
8,-0.24686795800086164,-0.8232300104044672,-0.5656575447989449
9,-0.24686795800026984,-0.8232300104044672,-0.5656575447985565
10,-0.25225466488191184,-0.9596618445326153,-0.38340392780166915
11,-0.2522546648351607,-0.9596618440839582,-0.38340392780166915
12,-0.2522546648816159,-0.9596618445326234,-0.38340392780166915
13,-0.2522546648822077,-0.9596618440839744,-0.38340392780166915
14,-0.25225466483486475,-0.9596618445326153,-0.3834039278012807
15,-0.25225466488191184,-0.9596618440839502,-0.38340392780166915
16,-0.2522546648816159,-0.9596618445326315,-0.38340392780166915
17,-0.25225466483545655,-0.9596618440839582,-0.38340392780166915
18,-0.2522546648816159,-0.9596618445326153,-0.38340392780166915
19,-0.35882638043463744,-0.9556194392264347,-0.22393201292900436
20,-0.35882638043404563,-0.9556194387778018,-0.22393201292939285
21,-0.35882638043463744,-0.9556194392264508,-0.22393201292900436
22,-0.35882638048109267,-0.9556194392264427,-0.22393201292900436
23,-0.3588263804343415,-0.9556194392264347,-0.22393201292939285
24,-0.35882638043404563,-0.9556194392264589,-0.22393201292900436
25,-0.3588263804343415,-0.9556194387777776,-0.22393201292939285
26,-0.35882638043463744,-0.9556194392264589,-0.22393201292900436
27,-0.39447933343615454,-0.8740555342411028,-0.2581045661163092
28,-0.394479333482018,-0.8740555337924457,-0.2581045661159207
29,-0.39447933343585867,-0.8740555342411109,-0.2581045661163092
30,-0.39447933343585867,-0.8740555337924457,-0.2581045661159207
31,-0.39447933343615454,-0.874055534241119,-0.2581045661163092
32,-0.39447933348231395,-0.8740555337924457,-0.2581045661159207
33,-0.39447933343585867,-0.8740555342411109,-0.2581045661163092
34,-0.48462008034968007,-1.0237611625961094,-0.2922771193032256
35,-0.48462008034968007,-1.0237611625961094,-0.29227711930283706
36,-0.48462008034968007,-1.0237611630447665,-0.2922771193032256
37,-0.48462008034968007,-1.0237611625961094,-0.2922771193032256
38,-0.48462008034997595,-1.0237611625961174,-0.29227711930283706
39,-0.48462008034968007,-1.0237611625961094,-0.2922771193032256
40,-0.45670706513407394,-0.85263413662768,0.25448373168821314
41,-0.45670706518052917,-0.852634136179039,0.2544837316878246
42,-0.45670706518052917,-0.85263413662768,0.25448373168821314
43,-0.456707065133778,-0.8526341366276962,0.25448373168821314
44,-0.45670706513318626,-0.8526341361790309,0.2544837316878246
45,-0.45670706518052917,-0.852634136627688,0.25448373168821314
46,-0.3856643807889908,-0.8196169048613515,0.22031117850129678
47,-0.385664380788399,-0.8196169053100247,0.22031117850090828
48,-0.385664380788399,-0.8196169048613555,0.22031117850129678
49,-0.38566438083515014,-0.8196169053100206,0.22031117850090828
50,-0.3856643807889908,-0.8196169048613555,0.22031117850129678
51,-0.38566438078780724,-0.8196169053100166,0.22031117850090828
52,-0.3856643807889908,-0.8196169048613595,0.22031117850129678
53,-0.5367741527766237,-0.8720402072501688,-0.01889669380750623
54,-0.5367741527304644,-0.8720402072501688,-0.01889669380750623
55,-0.5367741527298725,-0.872040207250173,-0.01889669380750623
56,-0.5367741527769196,-0.8720402072501648,-0.01889669380750623
57,-0.5367741527766237,-0.8720402072501688,-0.01889669380750623
58,-0.5367741527301685,-0.8720402072501688,-0.01889669380750623
59,-0.46992874297362935,-0.8641009776531997,-0.01889669380750623
60,-0.46992874297362935,-0.8641009772045345,-0.01889669380750623
61,-0.4699287429733334,-0.8641009776531997,-0.01889669380750623
62,-0.46992874297392523,-0.8641009776531956,-0.01889669380750623
63,-0.4699287429733334,-0.8641009772045386,-0.01889669380750623
64,-0.46992874297362935,-0.8641009776531956,-0.01889669380750623
65,-0.6234516410879674,-0.8658647831431363,-0.2979725448343783
66,-0.6234516410888551,-0.8658647826944712,-0.29797254483398977
67,-0.6234516410885591,-0.8658647831431343,-0.2979725448343783
68,-0.6234516410885591,-0.8658647831431383,-0.2979725448343783
69,-0.6234516410885591,-0.8658647826944712,-0.29797254483398977
70,-0.6234516410885591,-0.8658647831431383,-0.2979725448343783
71,-0.5485261710332285,-0.7723620401132913,-0.2922771193032256
72,-0.5485261710335244,-0.7723620401132913,-0.29227711930283706
73,-0.5485261710335244,-0.7723620401132913,-0.2922771193032256
74,-0.5485261709867733,-0.7723620401132933,-0.2922771193032256
75,-0.5485261710338203,-0.7723620401132953,-0.29227711930283706
76,-0.5485261710335244,-0.7723620401132913,-0.2922771193032256
77,-0.6230318635653092,-0.657058738451326,-0.487548851799946
78,-0.6230318635179662,-0.6570587388999881,-0.487548851799946
79,-0.6230318635653092,-0.657058738451326,-0.487548851799946
80,-0.6230318635653092,-0.657058738451327,-0.487548851799946
81,-0.6230318635650133,-0.657058738451326,-0.487548851799946
82,-0.6230318635182621,-0.6570587388999861,-0.487548851799946
83,-0.6230318635650133,-0.657058738451327,-0.487548851799946
84,-0.5537734527964507,-0.642692713547693,-0.487548851799946
85,-0.5537734528434978,-0.642692713547692,-0.487548851799946
86,-0.5537734527964507,-0.642692713547692,-0.487548851799946
87,-0.5537734527964507,-0.6426927139963541,-0.487548851799946
88,-0.5537734527961548,-0.642692713547692,-0.487548851799946
89,-0.5537734528437936,-0.6426927135476924,-0.487548851799946
90,-0.5537734527964507,-0.6426927135476922,-0.487548851799946
91,-0.6324762947085955,-0.8135686693678962,-0.487548851799946
92,-0.6324762947556426,-0.8135686698165568,-0.487548851799946
93,-0.6324762947085955,-0.8135686693678962,-0.487548851799946
94,-0.6324762947088914,-0.8135686698165568,-0.4875488517995575
95,-0.6324762947088914,-0.813568669367896,-0.487548851799946
96,-0.6324762947556426,-0.8135686698165566,-0.487548851799946
97,-0.6324762947088914,-0.8135686693678965,-0.487548851799946
98,-0.8843247878954028,-0.992761513238677,-0.01889669380750623
99,-0.8843247879418581,-0.9927615127900169,-0.01889669380750623
100,-0.8843247878951069,-0.992761513238678,-0.01889669380750623
101,-0.8843247878954028,-0.9927615127900159,-0.01889669380750623
102,-0.8843247878954028,-0.992761513238678,-0.01889669380750623
103,-0.884324787942154,-0.9927615127900169,-0.01889669380750623
104,-0.8843247878951069,-0.992761513238678,-0.01889669380750623
105,-0.7816965043830275,-0.811300919516357,-0.487548851799946
106,-0.7816965044288909,-0.811300919516357,-0.487548851799946
107,-0.7816965043827315,-0.811300919516355,-0.487548851799946
108,-0.7816965044294827,-0.8113009199650161,-0.487548851799946
109,-0.7816965043827315,-0.8113009195163591,-0.487548851799946
110,-0.7816965044294827,-0.811300919516355,-0.487548851799946
111,-0.7816965043824357,-0.811300919516357,-0.487548851799946
112,-0.283262769649481,-0.21843662811477338,-0.01889669380750623
113,-0.28326276964918506,-0.21843662811476935,-0.01889669380750623
114,-0.283262769649481,-0.21843662856343046,-0.01889669380750623
115,-0.283262769649481,-0.21843662811476935,-0.01889669380750623
116,-0.2832627696024339,-0.21843662811477338,-0.01889669380750623
117,-0.28326276964977687,-0.21843662811476935,-0.01889669380750623
118,-0.2832627696488892,-0.21843662811476935,-0.01889669380750623
119,-0.28326276964918506,-0.21843662856343046,-0.01889669380750623
120,-0.28326276964977687,-0.21843662811477338,-0.01889669380750623
121,-0.283262769649481,-0.2184366281147653,-0.01889669380750623
122,-0.28326276964918506,-0.21843662811477338,-0.01889669380750623
123,-0.28326276964918506,-0.21843662811476935,-0.01889669380750623
124,-0.28326276960272984,-0.2184366285634345,-0.01889669380750623
125,-0.283262769649481,-0.2184366281147653,-0.01889669380750623
126,-0.28326276964918506,-0.21843662811477338,-0.01889669380750623
127,-0.283262769649481,-0.21843662811476935,-0.01889669380750623
128,-0.283262769649481,-0.21843662811477338,-0.01889669380750623
129,-0.28326276964918506,-0.21843662856343046,-0.01889669380750623
130,-0.283262769649481,-0.21843662811476935,-0.01889669380750623
131,-0.28326276964918506,-0.21843662811476935,-0.01889669380750623
132,-0.28326276960272984,-0.21843662811476935,-0.01889669380750623
133,-0.28326276964918506,-0.21843662811477338,-0.01889669380750623
134,-0.28326276964977687,-0.21843662856343046,-0.01889669380750623
135,-0.2832627696488892,-0.21843662811476935,-0.01889669380750623
136,-0.28326276964977687,-0.21843662811476935,-0.01889669380750623
137,-0.9422503319370337,-0.3342083514176309,-0.01889669380750623
138,-0.9422503319843766,-0.334208351866292,-0.01889669380750623
139,-0.9422503319373295,-0.3342083514176349,-0.01889669380750623
140,-0.9422503319373295,-0.33420835186629605,-0.01889669380750623
141,-0.9422503319376254,-0.33420835141762684,-0.01889669380750623
142,-0.9422503319837848,-0.334208351866292,-0.01889669380750623
143,-0.9422503319373295,-0.3342083514176309,-0.01889669380750623
144,-0.7714648495181897,-0.3211664210664656,0.5962092635573766
145,-0.7714648494708467,-0.32116642106646154,0.5962092635577652
146,-0.7714648495178937,-0.32116642106646154,0.5962092635577652
147,-0.7714648495175979,-0.3211664210664575,0.5962092635573766
148,-0.7714648495178937,-0.3211664210664656,0.5962092635573766
149,-0.7714648495178937,-0.3211664210664656,0.5962092635577652
150,-0.7714648494708467,-0.32116642106646154,0.5962092635577652
151,-0.7714648495181897,-0.3211664210664656,0.5962092635573766
152,-0.7565901333291732,-0.3674773671515463,0.8012445826792632
153,-0.756590133329765,-0.3674773676002074,0.8012445826792632
154,-0.756590133329765,-0.36747736760021543,0.8012445826792632
155,-0.756590133282718,-0.3674773671515463,0.8012445826788748
156,-0.7565901333294691,-0.3674773671515584,0.8012445826792632
157,-0.7565901333300609,-0.3674773676002074,0.8012445826792632
158,-0.756590133329765,-0.3674773676002074,0.8012445826792632
159,-0.7565901333291732,-0.3674773671515543,0.8012445826792632
160,-0.7747709262147446,-0.3026417266854682,0.39117394443587855
161,-0.774770926260904,-0.30264172713414145,0.39117394443587855
162,-0.7747709262147446,-0.3026417266854763,0.39117394443587855
