time,dx,dy,dz
0,-0.326616517138335,-0.9335223018814407,-0.48421295970311135
1,-0.39566501406593896,-0.8909167154266951,-0.5115510022527998
2,-0.39566501406593896,-0.890916715426679,-0.5115510022524113
3,-0.39566501406593896,-0.890916715426679,-0.5115510022527998
4,-0.39566501406653076,-0.8909167158753442,-0.5115510022527998
5,-0.3956650140656431,-0.890916715426671,-0.5115510022524113
6,-0.39566501406653076,-0.8909167154266872,-0.5115510022527998
7,-0.3956650141126901,-0.890916715426679,-0.5115510022527998
8,-0.39566501406593896,-0.8909167154266872,-0.5115510022524113
9,-0.39566501406593896,-0.890916715426679,-0.5115510022527998
10,-0.39566501406653076,-0.890916715426671,-0.5115510022527998
11,-0.39566501406593896,-0.890916715426679,-0.5115510022524113
12,-0.39566501406593896,-0.8909167158753523,-0.5115510022527998
13,-0.39566501406593896,-0.890916715426671,-0.5115510022524113
14,-0.39566501406653076,-0.890916715426679,-0.5115510022527998
15,-0.3956650140656431,-0.8909167154266872,-0.5115510022527998
16,-0.39566501406653076,-0.890916715426679,-0.5115510022524113
17,-0.39566501406593896,-0.890916715426679,-0.5115510022527998
18,-0.3956650141126901,-0.8909167154266872,-0.5115510022527998
19,-0.39566501406593896,-0.8909167158753362,-0.5115510022524113
20,-0.39566501406593896,-0.890916715426671,-0.5115510022527998
21,-0.39566501406623483,-0.8909167154266872,-0.5115510022527998
22,-0.39566501406623483,-0.890916715426679,-0.5115510022524113
23,-0.39566501406593896,-0.8909167154266872,-0.5115510022527998
24,-0.39566501406593896,-0.890916715426679,-0.5115510022527998
25,-0.39566501406653076,-0.890916715426679,-0.5115510022524113
26,-0.39566501406593896,-0.890916715426679,-0.5115510022527998
27,-0.39566501406593896,-0.8909167158753442,-0.5115510022527998
28,-0.39566501406623483,-0.890916715426679,-0.5115510022524113
29,-0.39566501406623483,-0.8909167154266872,-0.5115510022527998
30,-0.3956650140656431,-0.890916715426671,-0.5115510022524113
31,-0.395665014112986,-0.8909167154266872,-0.5115510022527998
32,-0.39566501406593896,-0.890916715426679,-0.5115510022527998
33,-0.39566501406623483,-0.890916715426671,-0.5115510022524113
34,-0.39566501406593896,-0.8909167158753523,-0.5115510022527998
35,-0.39566501406653076,-0.890916715426679,-0.5115510022527998
36,-0.3956650140656431,-0.8909167154266872,-0.5115510022524113
37,-0.39566501406623483,-0.890916715426671,-0.5115510022527998
38,-0.39566501406593896,-0.890916715426679,-0.5115510022527998
39,-0.39566501406653076,-0.890916715426679,-0.5115510022524113
40,-0.3956650140656431,-0.8909167154266951,-0.5115510022527998
41,-0.39566501406623483,-0.890916715426671,-0.5115510022527998
42,-0.3956650141126901,-0.8909167158753362,-0.5115510022524113
43,-0.39566501406593896,-0.8909167154266872,-0.5115510022527998
44,-0.39566501406623483,-0.890916715426679,-0.5115510022527998
45,-0.39566501406593896,-0.890916715426683,-0.5115510022524113
46,-0.39566501406623483,-0.890916715426675,-0.5115510022527998
47,-0.39566501406623483,-0.890916715426683,-0.5115510022527998
48,-0.39566501406593896,-0.890916715426683,-0.5115510022524113
49,-0.39566501406593896,-0.8909167158753402,-0.5115510022527998
50,-0.39566501406593896,-0.890916715426679,-0.5115510022527998
51,-0.39566501406623483,-0.890916715426683,-0.5115510022524113
52,-0.39566501406623483,-0.890916715426683,-0.5115510022527998
53,-0.39566501406593896,-0.890916715426675,-0.5115510022524113
54,-0.39566501406653076,-0.890916715426679,-0.5115510022527998
55,-0.39566501411239424,-0.8909167154266872,-0.5115510022527998
56,-0.39566501406623483,-0.890916715426675,-0.5115510022524113
57,-0.39566501406623483,-0.8909167158753402,-0.5115510022527998
58,-0.39566501406593896,-0.890916715426683,-0.5115510022527998
59,-0.39566501406593896,-0.890916715426679,-0.5115510022524113
60,-0.39566501406593896,-0.890916715426683,-0.5115510022527998
61,-0.6155918106274906,-0.7319617369122579,-0.5115510022527998
62,-0.6155918106745377,-0.7319617369122539,-0.5115510022524113
63,-0.6155918106274906,-0.7319617364635927,-0.5115510022527998
64,-0.6155918106742417,-0.7319617369122579,-0.5115510022527998
65,-0.6155918106277866,-0.7319617369122579,-0.5115510022524113
66,-0.6155918106742417,-0.7319617369122539,-0.5115510022527998
67,-0.6155918106274906,-0.7319617364635967,-0.5115510022527998
68,-0.6155918106274906,-0.7319617369122559,-0.5115510022524113
69,-0.6155918106745377,-0.7319617369122579,-0.5115510022527998
70,-0.6155918106271947,-0.7319617369122539,-0.5115510022524113
71,-0.6155918106742417,-0.7319617364635967,-0.5115510022527998
72,-0.6155918106274906,-0.7319617369122579,-0.5115510022527998
73,-0.6155918106277866,-0.7319617369122539,-0.5115510022524113
74,-0.6155918106742417,-0.7319617369122559,-0.5115510022527998
75,-0.6155918106274906,-0.7319617364635967,-0.5115510022527998
76,-0.6155918106745377,-0.7319617369122559,-0.5115510022524113
77,-0.6155918106271947,-0.7319617369122569,-0.5115510022527998
78,-0.6155918106277866,-0.7319617369122559,-0.5115510022527998
79,-0.6155918106742417,-0.7319617369122559,-0.5115510022524113
80,-0.6155918106274906,-0.7319617364635957,-0.5115510022527998
81,-0.6155918106745377,-0.7319617369122569,-0.5115510022527998
82,-0.6155918106274906,-0.7319617369122549,-0.5115510022524113
83,-0.6155918106739459,-0.7319617369122569,-0.5115510022527998
84,-0.6155918106277866,-0.7319617364635953,-0.5115510022527998
85,-0.6155918106277866,-0.7319617369122564,-0.5115510022524113
86,-0.6155918106742417,-0.7319617369122561,-0.5115510022527998
87,-0.6155918106271947,-0.7319617369122561,-0.5115510022527998
88,-0.6155918106745377,-0.7319617364635955,-0.5115510022524113
89,-0.6155918106274906,-0.7319617369122561,-0.5115510022527998
90,-0.6155918106742417,-0.7319617369122561,-0.5115510022527998
91,-0.6155918106274906,-0.7319617369122564,-0.5115510022524113
92,-0.6155918106277866,-0.7319617369122561,-0.5115510022527998
93,-0.6155918106742417,-0.7319617364635957,-0.5115510022524113
94,-0.6155918106274906,-0.7319617369122559,-0.5115510022527998
95,-0.6155918106742417,-0.7319617369122564,-0.5115510022527998
96,-0.6155918106274906,-0.7319617369122559,-0.5115510022524113
97,-0.6155918106277866,-0.7319617364635947,-0.5115510022527998
98,-0.6155918106742417,-0.7319617369122569,-0.5115510022527998
99,-0.6155918106274906,-0.7319617369122569,-0.5115510022524113
100,-0.6155918106739459,-0.7319617369122559,-0.5115510022527998
101,-0.6155918106280824,-0.7319617364635947,-0.5115510022527998
102,-0.6155918106271947,-0.7319617369122579,-0.5115510022524113
103,-0.6155918106742417,-0.7319617369122559,-0.5115510022527998
104,-0.6155918106277866,-0.7319617369122559,-0.5115510022527998
105,-0.6155918106742417,-0.7319617369122559,-0.5115510022524113
106,-0.6155918106274906,-0.7319617364635967,-0.5115510022527998
107,-0.6155918106742417,-0.7319617369122559,-0.5115510022527998
108,-0.6155918106274906,-0.7319617369122559,-0.5115510022524113
109,-0.6155918106277866,-0.7319617369122559,-0.5115510022527998
110,-0.6155918106742417,-0.7319617364635927,-0.5115510022524113
111,-0.6155918106277866,-0.7319617369122579,-0.5115510022527998
112,-0.6155918106742417,-0.7319617369122579,-0.5115510022527998
113,-0.6155918106271947,-0.7319617369122559,-0.5115510022524113
114,-0.6155918106742417,-0.7319617364635927,-0.5115510022527998
115,-0.6155918106277866,-0.7319617369122579,-0.5115510022527998
116,-0.6155918106274906,-0.7319617369122539,-0.5115510022524113
117,-0.6155918106742417,-0.7319617369122579,-0.5115510022527998
118,-0.6155918106277866,-0.7319617364636009,-0.5115510022527998
119,-0.6155918106739459,-0.7319617369122499,-0.5115510022524113
120,-0.6155918106277866,-0.7319617369122579,-0.5115510022527998
121,-0.6213948188180194,-0.2619771160472851,0.3091598167872016
122,-0.6213948187715641,-0.2619771155986239,0.3091598167872016
123,-0.6213948188180194,-0.2619771155986239,0.3091598167872016
124,-0.6213948188183153,-0.26197711604728907,0.3091598167872016
125,-0.6213948187712682,-0.261977116047281,0.3091598167872016
126,-0.6213948188183153,-0.2619771155986239,0.3091598167872016
127,-0.6213948188180194,-0.2619771155986239,0.3091598167872016
128,-0.6213948187715641,-0.2619771160472851,0.3091598167872016
129,-0.6213948188180194,-0.26197711604728907,0.3091598167872016
130,-0.6213948188183153,-0.2619771155986199,0.3091598167872016
131,-0.6213948187712682,-0.26197711559862796,0.3091598167872016
132,-0.6213948188183153,-0.2619771160472851,0.3091598167872016
133,-0.6213948188180194,-0.2619771160472851,0.3091598167872016
134,-0.6213948187715641,-0.2619771155986239,0.3091598167872016
135,-0.6213948188180194,-0.26197711559862796,0.3091598167868131
136,-0.6213948188183153,-0.2619771160472851,0.3091598167872016
137,-0.6213948187712682,-0.26197711604727697,0.3091598167872016
138,-0.6213948188177235,-0.26197711559862796,0.3091598167872016
139,-0.6213948188183153,-0.2619771155986239,0.3091598167872016
140,-0.6213948187715641,-0.2619771160472851,0.3091598167872016
141,-0.6213948188180194,-0.2619771160472851,0.3091598167872016
142,-0.6213948188180194,-0.26197711559862796,0.3091598167872016
143,-0.6213948187715641,-0.2619771160472851,0.3091598167872016
144,-0.6213948188180194,-0.2619771155986199,0.3091598167872016
145,-0.6213948188183153,-0.26197711604728907,0.3091598167872016
146,-0.6213948187715641,-0.2619771155986199,0.3091598167872016
147,-0.6213948188180194,-0.26197711559862796,0.3091598167872016
148,-0.6213948188180194,-0.2619771160472851,0.3091598167872016
149,-0.6213948187715641,-0.261977116047281,0.3091598167872016
150,-0.6213948188180194,-0.26197711559862796,0.3091598167872016
151,-0.6213948188183153,-0.2619771160472851,0.3091598167872016
152,-0.6213948187715641,-0.2619771155986239,0.3091598167872016
153,-0.6213948188177235,-0.2619771160472851,0.3091598167872016
154,-0.6213948188180194,-0.26197711559862796,0.3091598167872016
155,-0.6213948187715641,-0.2619771155986199,0.3091598167872016
156,-0.6213948188180194,-0.26197711604728907,0.3091598167872016
157,-0.6213948188183153,-0.261977116047281,0.3091598167872016
158,-0.6213948187712682,-0.2619771155986239,0.3091598167872016
159,-0.6213948188183153,-0.26197711559862796,0.3091598167872016
160,-0.6213948188180194,-0.2619771160472851,0.3091598167872016
161,-0.6213948187715641,-0.2619771160472851,0.3091598167872016
162,-0.6213948188180194,-0.2619771155986199,0.3091598167872016
163,-0.6213948188183153,-0.2619771155986239,0.3091598167872016
164,-0.6213948187712682,-0.2619771160472851,0.3091598167872016
165,-0.6213948188183153,-0.2619771160472931,0.3091598167872016
166,-0.6213948188180194,-0.2619771155986199,0.3091598167868131
167,-0.6213948187715641,-0.26197711559862796,0.3091598167872016
168,-0.6213948188180194,-0.2619771160472851,0.3091598167872016
169,-0.6213948188180194,-0.26197711604727697,0.3091598167872016
170,-0.6213948187715641,-0.26197711559862796,0.3091598167872016
171,-0.6213948188180194,-0.26197711559862796,0.3091598167872016
172,-0.6213948188183153,-0.2619771160472851,0.3091598167872016
173,-0.6213948187712682,-0.2619771160472851,0.3091598167872016
174,-0.6213948188183153,-0.26197711559862796,0.3091598167872016
175,-0.6213948188180194,-0.2619771155986199,0.3091598167872016
176,-0.6213948187715641,-0.2619771160472851,0.3091598167872016
177,-0.6213948188180194,-0.2619771160472851,0.3091598167872016
178,-0.6213948188183153,-0.2619771155986199,0.3091598167872016
179,-0.6213948187712682,-0.26197711559862796,0.3091598167872016
180,-0.6213948188183153,-0.2619771160472851,0.3091598167872016
181,-0.43070346808583604,-0.5363994786654375,0.2823913167907449
182,-0.4307034681325872,-0.5363994786654214,0.2823913167907449
183,-0.4307034680861319,-0.5363994786654375,0.2823913167907449
184,-0.4307034681325872,-0.5363994786654375,0.2823913167907449
185,-0.4307034680855401,-0.5363994786654294,0.2823913167907449
186,-0.43070346813288307,-0.5363994791140946,0.2823913167907449
187,-0.4307034680861319,-0.5363994786654294,0.2823913167907449
188,-0.4307034681325872,-0.5363994786654294,0.2823913167907449
189,-0.43070346808583604,-0.5363994786654375,0.2823913167907449
190,-0.4307034681325872,-0.5363994786654294,0.2823913167907449
191,-0.4307034680861319,-0.5363994786654375,0.2823913167907449
192,-0.43070346813288307,-0.5363994786654294,0.2823913167907449
193,-0.4307034680855401,-0.5363994786654375,0.2823913167907449
194,-0.43070346813288307,-0.5363994786654294,0.2823913167907449
195,-0.4307034680861319,-0.5363994786654294,0.2823913167907449
196,-0.4307034681325872,-0.5363994786654375,0.2823913167907449
197,-0.43070346808583604,-0.5363994786654375,0.2823913167907449
198,-0.43070346813288307,-0.5363994786654214,0.2823913167907449
