time,dx,dy,dz
0,-0.42966172828013627,-0.9153428968702929,-0.21823658739785162
1,-0.42966172828043214,-0.9153428968702929,-0.21823658739824012
2,-0.42966172828043214,-0.9153428968703091,-0.21823658739785162
3,-0.4296617283265915,-0.9153428968702929,-0.21823658739824012
4,-0.42966172828013627,-0.9153428968702768,-0.21823658739785162
5,-0.42966172828043214,-0.9153428968702929,-0.21823658739824012
6,-0.42966172828043214,-0.9153428968702929,-0.21823658739785162
7,-0.4296617283265915,-0.9153428968702929,-0.21823658739824012
8,-0.42966172828043214,-0.9153428968702849,-0.21823658739785162
9,-0.42966172828043214,-0.9153428968702929,-0.21823658739824012
10,-0.42966172827984034,-0.915342896870301,-0.21823658739785162
11,-0.4296617283271833,-0.9153428968702929,-0.21823658739824012
12,-0.42966172828013627,-0.9153428968702768,-0.21823658739785162
13,-0.42966172828013627,-0.9153428968702929,-0.21823658739824012
14,-0.42966172828043214,-0.9153428968702849,-0.21823658739785162
15,-0.4296617283268874,-0.9153428968703091,-0.21823658739785162
16,-0.42966172828013627,-0.9153428968702849,-0.21823658739824012
17,-0.42966172828043214,-0.9153428968702929,-0.21823658739785162
18,-0.42966172828013627,-0.9153428968702849,-0.21823658739824012
19,-0.4296617283271833,-0.9153428968702929,-0.21823658739785162
20,-0.42966172828013627,-0.9153428968702929,-0.21823658739824012
21,-0.42966172828013627,-0.9153428968702849,-0.21823658739785162
22,-0.42966172828043214,-0.9153428968702929,-0.21823658739824012
23,-0.4296617283265915,-0.915342896870301,-0.21823658739785162
24,-0.42966172828043214,-0.9153428968702849,-0.21823658739824012
25,-0.42966172828043214,-0.9153428968702929,-0.21823658739785162
26,-0.42966172827984034,-0.9153428968702849,-0.21823658739824012
27,-0.4296617283268874,-0.915342896870301,-0.21823658739785162
28,-0.42966172828043214,-0.9153428968702929,-0.21823658739824012
29,-0.42966172828013627,-0.9153428968702849,-0.21823658739785162
30,-0.4296617283268874,-0.9153428968702849,-0.21823658739785162
31,-0.42966172828043214,-0.9153428973189581,-0.21823658739824012
32,-0.42966172828043214,-0.9153428968702929,-0.21823658739785162
33,-0.42966172828013627,-0.9153428968702929,-0.21823658739824012
34,-0.4296617283268874,-0.9153428968702849,-0.21823658739785162
35,-0.42966172828043214,-0.9153428968702849,-0.21823658739824012
36,-0.42966172828013627,-0.915342896870301,-0.21823658739785162
37,-0.42966172828013627,-0.9153428968702929,-0.21823658739824012
38,-0.4296617283271833,-0.9153428968702849,-0.21823658739785162
39,-0.42966172827984034,-0.9153428968702929,-0.21823658739824012
40,-0.42966172828043214,-0.9153428968702929,-0.21823658739785162
41,-0.42966172828043214,-0.9153428968702929,-0.21823658739824012
42,-0.4296617283265915,-0.9153428968702849,-0.21823658739785162
43,-0.42966172828043214,-0.9153428968702929,-0.21823658739824012
44,-0.42966172828043214,-0.9153428968702889,-0.21823658739785162
45,-0.42966172827984034,-0.9153428968702929,-0.21823658739824012
46,-0.4296617283268874,-0.915342896870297,-0.21823658739785162
47,-0.42966172828043214,-0.9153428968702889,-0.21823658739785162
48,-0.42966172828043214,-0.9153428968702889,-0.21823658739824012
49,-0.42966172827984034,-0.9153428968702929,-0.21823658739785162
50,-0.4296617283271833,-0.9153428968702929,-0.21823658739824012
51,-0.42966172828013627,-0.9153428968702849,-0.21823658739785162
52,-0.42966172828013627,-0.915342896870297,-0.21823658739824012
53,-0.429661728280728,-0.9153428968702889,-0.21823658739785162
54,-0.4296617283265915,-0.9153428968702929,-0.21823658739824012
55,-0.42966172828013627,-0.9153428968702889,-0.21823658739785162
56,-0.429661728280728,-0.9153428968702929,-0.21823658739824012
57,-0.42966172828013627,-0.9153428968702889,-0.21823658739785162
58,-0.4296617283268874,-0.9153428968702929,-0.21823658739824012
59,-0.42966172828013627,-0.9153428968702929,-0.21823658739785162
60,-0.42966172828043214,-0.9153428968702929,-0.21823658739824012
61,-0.42966172828013627,-0.9153428968702849,-0.21823658739785162
62,-0.4296617283268874,-0.9153428968702929,-0.21823658739824012
63,-0.42966172828013627,-0.9153428968702909,-0.21823658739785162
64,-0.5614324915248422,-0.5458178505736231,-0.2680535372972856
65,-0.5614324915712975,-0.5458178505736211,-0.26805353729689707
66,-0.5614324915245463,-0.5458178505736231,-0.2680535372972856
67,-0.5614324915245463,-0.5458178505736211,-0.2680535372972856
68,-0.5614324915251381,-0.5458178510222802,-0.26805353729689707
69,-0.5614324915710016,-0.5458178505736231,-0.2680535372972856
70,-0.5614324915248422,-0.5458178505736211,-0.2680535372972856
71,-0.5614324915245463,-0.5458178505736211,-0.26805353729689707
72,-0.5614324915245463,-0.5458178505736211,-0.2680535372972856
73,-0.5614324915712975,-0.5458178505736231,-0.26805353729689707
74,-0.5614324915248422,-0.5458178505736211,-0.2680535372972856
75,-0.5614324915248422,-0.5458178505736231,-0.2680535372972856
76,-0.5614324915245463,-0.5458178505736211,-0.26805353729689707
77,-0.5614324915712975,-0.5458178505736211,-0.2680535372972856
78,-0.5614324915248422,-0.5458178510222842,-0.2680535372972856
79,-0.5614324915242505,-0.5458178505736221,-0.26805353729689707
80,-0.5614324915715934,-0.5458178505736201,-0.2680535372972856
81,-0.5614324915245463,-0.5458178505736221,-0.2680535372972856
