time,dx,dy,dz
0,-0.3125093028535537,-0.6944528846484743,-0.428443442037825
1,-0.3125093028540971,-0.6944528850814252,-0.42844344203855234
2,-0.3125093028543688,-0.6944528846484743,-0.428443442037825
3,-0.3125093028540971,-0.6944528846484743,-0.428443442037825
4,-0.31250930287528983,-0.694452884648412,-0.42844344203855234
5,-0.3125093028540971,-0.6944528846484743,-0.428443442037825
6,-0.3125093028540971,-0.694452884648412,-0.42844344203855234
7,-0.31250930287528983,-0.6944528846485367,-0.428443442037825
8,-0.3125093028540971,-0.6944528846484743,-0.42844344203855234
9,-0.3125093028540971,-0.6944528846484743,-0.428443442037825
10,-0.24306988238087388,-0.7963756249529534,-0.36610822979402674
11,-0.24306988238114557,-0.796375624953078,-0.3661082297947541
12,-0.24306988238087388,-0.7963756245199403,-0.36610822979402674
13,-0.24306988238087388,-0.7963756249529534,-0.3661082297947541
14,-0.2430698823596811,-0.796375624953078,-0.36610822979402674
15,-0.24306988238060218,-0.7963756249529534,-0.36610822979402674
16,-0.24306988238141727,-0.7963756245201272,-0.3661082297947541
17,-0.24306988238060218,-0.7963756249529534,-0.36610822979402674
18,-0.24306988238060218,-0.7963756249529534,-0.3661082297947541
19,-0.24306988238141727,-0.796375624953078,-0.36610822979402674
20,-0.24306988238087388,-0.7963756245200025,-0.3661082297947541
21,-0.24306988238060218,-0.7963756249529534,-0.36610822979402674
22,-0.2430698823596811,-0.7963756249529534,-0.36610822979402674
23,-0.24306988238087388,-0.796375624953078,-0.3661082297947541
24,-0.24306988238114557,-0.7963756245201272,-0.36610822979402674
25,-0.24306988238087388,-0.7963756249528289,-0.3661082297947541
26,-0.24306988238087388,-0.7963756249529534,-0.36610822979402674
27,-0.37183549492133444,-0.7007997219315082,-0.32847187523178834
28,-0.37183549492214957,-0.7007997219313836,-0.32847187523251575
29,-0.37183549492133444,-0.7007997223643345,-0.32847187523178834
30,-0.37183549492160617,-0.7007997219315082,-0.32847187523251575
31,-0.37183549492187784,-0.7007997219313836,-0.32847187523178834
32,-0.37183549492160617,-0.7007997219313836,-0.32847187523178834
33,-0.37183549492214957,-0.7007997219315082,-0.32847187523251575
34,-0.37183549492133444,-0.7007997223644591,-0.32847187523178834
35,-0.37183549492160617,-0.7007997219313836,-0.32847187523251575
36,-0.37183549492214957,-0.7007997219313836,-0.32847187523178834
37,-0.37183549492133444,-0.7007997219313836,-0.32847187523178834
38,-0.37183549492160617,-0.7007997219315082,-0.32847187523251575
39,-0.37183549492160617,-0.7007997223643345,-0.32847187523178834
40,-0.37183549492187784,-0.7007997219313836,-0.32847187523251575
41,-0.37183549492187784,-0.7007997219315082,-0.32847187523178834
42,-0.6010686724124091,-0.5261347592980794,0.14072801164411672
43,-0.6010686724129526,-0.5261347597309057,0.14072801164411672
44,-0.6010686724132243,-0.5261347592980794,0.14072801164411672
45,-0.6010686724124091,-0.5261347597310303,0.1407280116448441
46,-0.6010686724126809,-0.5261347592980794,0.14072801164411672
47,-0.6010686724129526,-0.5261347597310303,0.14072801164411672
48,-0.6010686724126809,-0.5261347592980794,0.14072801164411672
49,-0.6010686724346888,-0.5261347597310303,0.14072801164411672
50,-0.6010686724126809,-0.5261347592979548,0.14072801164411672
51,-0.6010686724126809,-0.5261347597310303,0.14072801164411672
52,-0.6010686724129526,-0.5261347592982041,0.14072801164411672
53,-0.6010686724126809,-0.5261347597310303,0.1407280116448441
54,-0.6010686724126809,-0.5261347592979548,0.14072801164411672
55,-0.6010686724132243,-0.5261347597310303,0.14072801164411672
56,-0.6010686724126809,-0.5261347592980794,0.14072801164411672
57,-0.6201469778406038,-0.41092235283560724,-0.241223962382963
58,-0.6201469778408756,-0.4109223532685581,-0.2412239623836904
59,-0.6201469778403321,-0.4109223528354826,-0.241223962382963
60,-0.6201469778406038,-0.41092235283560724,-0.241223962382963
61,-0.6201469778408756,-0.4109223532685581,-0.241223962382963
62,-0.6201469778408756,-0.4109223528354826,-0.2412239623836904
63,-0.6201469778406038,-0.4109223532685581,-0.241223962382963
64,-0.6201469778408756,-0.41092235283560724,-0.241223962382963
65,-0.6201469778403321,-0.4109223528357318,-0.241223962382963
66,-0.6201469778406038,-0.4109223532684335,-0.2412239623836904
67,-0.6201469778403321,-0.41092235283560724,-0.241223962382963
68,-0.32663458668657763,-0.629715144362152,0.044755307510408855
69,-0.3266345866857625,-0.629715144362152,0.044755307510408855
70,-0.3266345866852191,-0.6297151439293257,0.044755307510408855
71,-0.3266345866860342,-0.6297151443622766,0.044755307510408855
72,-0.3266345866860342,-0.629715144362152,0.044755307510408855
73,-0.32663458666402634,-0.6297151439292011,0.044755307511136246
74,-0.3266345866860342,-0.6297151443622766,0.044755307510408855
75,-0.3266345866860342,-0.629715144362152,0.044755307510408855
76,-0.3266345866854908,-0.629715144362152,0.044755307510408855
77,-0.3266345866860342,-0.6297151443622766,0.044755307510408855
78,-0.3266345866857625,-0.6297151439292011,0.044755307510408855
79,-0.3266345866857625,-0.6297151443622766,0.044755307510408855
