time,dx,dy,dz
0,1.1877869179308405,0.3084446060230381,-0.3101913601589869
1,1.0403594711912871,0.29604368380790164,-0.45643548074394436
2,0.9553720547037716,0.15814772634089772,-2.6957985771989463
3,0.6518469465773802,-0.07677258572559309,-1.704080634483056
4,0.34427573829718144,-0.4189473402276027,-1.608107930349348
5,0.11561555393418066,-0.5185337872398688,-1.400167071392799
6,0.11561555393445236,-0.5185337868069491,-1.400167071392799
7,0.1574349121593681,-0.7483532737120457,-2.2745850423895315
8,0.1574349121593681,-0.7483532732791572,-2.274585042389713
9,0.1574349121590964,-0.7483532737120147,-2.2745850423895315
10,0.15743491211671087,-0.7483532737120769,-2.2745850423895315
11,0.1574349121590964,-0.748353273279126,-2.274585042389713
12,0.1574349121593681,-0.7483532737120769,-2.2745850423895315
13,0.46568288462097024,-0.7049449681099419,-0.07254466420874925
14,0.7165990340128502,-0.6232261381284478,-3.655525618536934
15,0.29233630140568945,-0.5321546076046013,-1.3255216348441776
16,0.2923363013616737,-0.5321546080374898,-1.3255216348443595
17,0.29233630140568945,-0.5321546076045701,-1.3255216348443595
18,0.29233630140514605,-0.5321546076045701,-1.3255216348441776
19,0.2923363013622171,-0.5321546080374898,-1.3255216348441776
20,0.2923363014054177,-0.5321546076046013,-1.3255216348443595
21,0.21881283533996865,-0.7968695132044283,-2.2159350565300433
22,0.7894481500384003,-0.6589796496758483,-2.791771281332836
23,1.3438845793174068,-0.46490656602209385,-2.5038531689315304
24,1.691931274025189,-0.34745250284495743,0.2793552509487251
25,1.7566785332219375,-0.39851763251576156,-1.5441261275935425
26,1.58266242824868,-0.42915914754724666,-1.2242171138141527
27,1.3277001786595204,-0.5006600780024452,-0.36046277661005466
28,0.809679723801904,-0.7225340008936757,-1.0073898933636813
29,0.8096797238442895,-0.7225340008936757,-1.0073898933638632
30,0.8096797238016323,-0.7225340008936446,-1.0073898933636813
31,0.8096797238442895,-0.7225340008936757,-1.0073898933636813
32,0.8096797238016323,-0.7225340008936446,-1.0073898933638632
33,0.8096797238442895,-0.7225340008937069,-1.0073898933636813
34,0.8096797238016323,-0.7225340008936446,-1.0073898933636813
35,0.8096797238442895,-0.7225340008937069,-1.0073898933638632
36,0.809679723801904,-0.7225340008936446,-1.0073898933636813
37,1.383200588399162,-0.5889392894063903,-1.0277015767783093
38,1.383200588356233,-0.58893928983931,-1.0277015767783093
39,1.3832005883997054,-0.5889392894063903,-1.0277015767783093
40,1.3832005883997054,-0.5889392898392477,-1.0277015767783093
41,1.3832005883988903,-0.5889392894063903,-1.0277015767783093
42,1.3832005883565046,-0.5889392898393411,-1.0277015767783093
43,1.3832005883994336,-0.588939289406328,-1.0277015767783093
44,1.582657599966486,-0.15848532350046673,1.7189458129556157
45,1.55838099900017,0.08154089287525677,-2.503853168931349
46,1.3357923790103357,0.2807198795394537,0.4713006592161408
47,1.1698636460619554,0.26029626490010355,-0.32847187523215204
48,0.7095159446025225,0.09686622019543766,0.16738709612588407
49,0.7095159446027942,0.09686621976248679,0.16738709612588407
50,0.7095159445595935,0.09686622019537537,0.16738709612588407
51,0.7095159446030659,0.09686622019546881,0.16738709612588407
52,0.6720822756715394,0.05089937784377168,-1.51213522621564
53,1.1577205173183396,0.2143309460330591,-0.968289902790568
54,1.562427099197178,0.27050197914719415,-2.631816774443323
55,1.4855318829322344,0.2296547498685873,-2.247925957907946
56,1.1051115586694142,0.23986046454872223,-1.2242171138141527
57,0.9432337541570353,0.5360759928231653,-3.3676075061356285
58,1.2467588623266272,0.7607844980030253,-0.4564354807437625
59,1.4221284955768339,0.6450242786878391,-1.0535989731318236
60,1.422128495533633,0.6450242786878703,-1.0535989731320055
61,1.4221284955768339,0.645024278687808,-1.0535989731318236
62,1.4005444664458055,0.17347153060940793,0.15139164543693276
63,1.5786114998121354,0.010046055492611507,-2.183944155152141
64,1.6231330864361835,-0.11252609727305589,1.4310277005543104
65,1.5948007287095585,0.004940151616391976,-1.4481534234598348
66,1.235291290629541,0.2058170447681135,-0.8243308465900063
67,1.235291290629541,0.20581704433519377,-0.8243308465900063
68,1.235291290586612,0.2058170447681135,-0.8243308465900063
69,1.235291290629541,0.20581704433522494,-0.8243308465900063
70,1.235291290629541,0.20581704476808235,-0.8243308465900063
71,1.2352912906292692,0.20581704476814464,-0.8243308465901882
72,1.2352912906298128,0.20581704433519377,-0.8243308465900063
73,1.2352912906292692,0.2058170447681135,-0.8243308465900063
74,1.2352912906292692,0.20581704433519377,-0.8243308465900063
75,1.2352912905868838,0.20581704476814464,-0.8243308465900063
76,1.235291290629541,0.20581704433516262,-0.8243308465900063
77,1.2352912906292692,0.2058170447681135,-0.8243308465900063
78,0.5486472510306312,0.36243261731426507,-0.31247642454320074
79,0.54864725107356,0.3624326173142962,-0.3124764245430189
80,0.6235194171332208,0.4747868696876729,-1.2562080151920554
81,0.7408804633034739,0.7710023983951603,-0.9362990014128473
82,0.7732540928161261,0.8527090430974806,-0.7443535931450679
83,0.7489726636108168,0.7914260130344792,-0.5843990862555548
84,0.9432337541999641,0.49011067352326343,-2.8237621827107384
85,1.1658175459084197,0.31646729844718946,-0.26449007247616496
86,1.2872295204714737,-0.08698439304526817,-1.5441261275935425
87,1.4337302130269503,0.024345023055749423,-1.9536096652310235
88,1.4337302129840213,0.024345023055718274,-1.9536096652310235
89,1.4337302130266785,0.024345022622798553,-1.9536096652310235
90,1.4337302129840213,0.024345023055718274,-1.9536096652310235
91,1.433730213026407,0.024345023055749423,-1.9536096652310235
92,1.1273699378403415,-0.041022120714453665,-1.3521807193257631
93,1.1273699377971407,-0.041022120714484814,-1.352180719325945
94,1.1658175459081481,0.020257862812255435,-2.471862267553628
95,1.2123581590833528,0.6688569068051664,-1.0535989731318236
96,1.2123581590406953,0.6688569063721844,-1.0535989731318236
97,1.212358159083081,0.6688569063721844,-1.0535989731320055
98,1.2123581590836243,0.6688569068051664,-1.0535989731318236
99,1.2123581590404238,0.6688569068051352,-1.0535989731318236
100,1.2123581590833528,0.6688569063722155,-1.0535989731318236
101,1.0160780419430488,-0.09720229343743425,-1.3841716207038477
102,0.6154223885431406,-0.39341172907239946,-1.928016944128556
103,0.11359491799864567,-0.6334440380877254,-0.5843990862555548
104,-0.12113683082093407,-0.6691914565625414,-1.7360715358611403
105,-0.1575565605300508,-0.7151567758625368,-1.8320442399948482
106,-0.3356284222217751,-0.7202626793058988,-0.9043081000347628
107,-0.45298946830644216,-0.7100508719862549,-3.015707590978518
108,-0.5258337560924556,-0.6589796496758172,-1.5761170289712634
109,-0.5263425362770489,-0.7898473726476495,-1.1002523709746892
110,-0.5263425362775922,-0.7898473726475872,-1.1002523709746892
111,-0.5263425362770489,-0.7898473722146363,-1.1002523709746892
112,-0.5263425362775922,-0.7898473726475872,-1.1002523709746892
113,-0.5263425362343916,-0.7898473726475872,-1.1002523709746892
114,-0.5263425362773205,-0.7898473722146363,-1.1002523709746892
115,-0.5263425362775922,-0.7898473726475872,-1.1002523709746892
116,-0.5263425362770489,-0.7898473726475872,-1.1002523709746892
117,-0.8455480931168137,-0.8530527324637324,-2.5038531689315304
118,-1.1612211582690148,-1.021578018384195,-0.5204172834995677
119,-0.8576912218601577,-0.9926405024799615,-1.6187715641419822
120,-0.8576912219030867,-0.9926405024799615,-1.6187715641419822
121,-0.8576912218601577,-0.9926405024799615,-1.6187715641419822
122,-0.3130308562469002,-0.41681937252314216,-0.10453556558647002
123,-0.3130308562463568,-0.4168193729559996,-0.10453556558665186
