time,dx,dy,dz
0,-0.2582271417291146,-0.9267810220834346,-0.47642979410504255
1,-0.25822714172884287,-0.9267810220834346,-0.47642979410504255
2,-0.25822714168618566,-0.9267810216504992,-0.47642979410504255
3,-0.2582271417291146,-0.9267810220834346,-0.47642979410504255
4,-0.2582271417285712,-0.9267810220834267,-0.47642979410504255
5,-0.25822714168591393,-0.9267810220834346,-0.47642979410504255
6,-0.2582271417291146,-0.9267810216505148,-0.4764297941046789
7,-0.25822714172884287,-0.9267810220834346,-0.47642979410504255
8,-0.25822714172884287,-0.9267810220834267,-0.47642979410504255
9,-0.25822714168618566,-0.9267810216505148,-0.47642979410504255
10,-0.2582271417291146,-0.9267810220834346,-0.47642979410504255
11,-0.25822714172884287,-0.9267810220834424,-0.47642979410504255
12,-0.25822714168618566,-0.9267810216504915,-0.47642979410504255
13,-0.25822714172884287,-0.9267810220834424,-0.47642979410504255
14,-0.38629525278645044,-0.9045268218557845,-0.35022568816914035
15,-0.3862952528299228,-0.904526822288712,-0.35022568816914035
16,-0.3862952527867221,-0.9045268218557845,-0.3502256881687767
17,-0.38629525278699384,-0.9045268218557845,-0.35022568816914035
18,-0.3862952528293794,-0.9045268222887275,-0.35022568816914035
19,-0.3862952527867221,-0.9045268218557688,-0.35022568816914035
20,-0.38629525282965105,-0.9045268218557923,-0.35022568816914035
21,-0.3862952527867221,-0.9045268222887197,-0.3502256881687767
22,-0.38629525278699384,-0.9045268218557766,-0.35022568816914035
23,-0.38629525282965105,-0.9045268218557845,-0.35022568816914035
24,-0.3862952527867221,-0.904526822288712,-0.35022568816914035
25,-0.3862952527867221,-0.9045268218557923,-0.35022568816914035
26,-0.38629525282965105,-0.9045268218557766,-0.3502256881687767
27,-0.38629525278699384,-0.9045268218557845,-0.35022568816914035
28,-0.3862952527867221,-0.9045268222887197,-0.35022568816914035
29,-0.38629525282965105,-0.9045268218557766,-0.35022568816914035
30,-0.3862952527867221,-0.9045268218557923,-0.35022568816914035
31,-0.3862952527867221,-0.904526822288712,-0.3502256881687767
32,-0.38629525282965105,-0.9045268218557845,-0.35022568816914035
33,-0.38629525278699384,-0.9045268218557845,-0.35022568816914035
34,-0.3862952528293794,-0.9045268222887197,-0.35022568816914035
35,-0.38629525278726556,-0.9045268218557766,-0.35022568816914035
36,-0.38629525278645044,-0.9045268218557923,-0.3502256881687767
37,-0.38629525282965105,-0.904526822288712,-0.35022568816914035
38,-0.3862952527867221,-0.9045268218557845,-0.35022568816914035
39,-0.47255064857104095,-0.8485789738241105,-0.0005651361081046689
40,-0.47255064857104095,-0.8485789738241027,-0.0005651361084683634
41,-0.472550648528112,-0.8485789742570459,-0.0005651361084683634
42,-0.47255064857104095,-0.8485789738241105,-0.0005651361081046689
43,-0.4725506485713126,-0.8485789738241105,-0.0005651361081046689
44,-0.4725506485707692,-0.8485789738241027,-0.0005651361084683634
45,-0.4725506485713126,-0.8485789738241105,-0.0005651361084683634
46,-0.472550648528112,-0.8485789742570459,-0.0005651361081046689
47,-0.47255064857104095,-0.8485789738241066,-0.0005651361081046689
48,-0.47255064857104095,-0.8485789738241066,-0.0005651361084683634
49,-0.47255064857104095,-0.8485789738241066,-0.0005651361084683634
50,-0.472550648528112,-0.8485789742570459,-0.0005651361081046689
51,-0.47255064857104095,-0.8485789738241105,-0.0005651361081046689
