pattern_idx,consensus_idx
93,445
94,448
99,471
100,476
101,487
102,491
103,503
104,506
105,518
106,521
107,528
109,649
112,686
452,4179
457,4214
462,4236
463,4241
464,4263
466,4549
467,4552
469,4557
474,4573
475,4584
476,4594
478,4603
480,4612
658,5444
659,5445
660,5446
661,5447	
662,5448
663,5449
664,5450
665,5451
1020,6713
1021,6714
1022,6715
1023,6716
1024,6717
1025,6718
1026,6719
1027,6720
1028,6721
1029,6722
1062,6864
1063,6865
1064,6928
1065,6932
1066,6935
1067,6941
1068,6945
1069,6952
1070,6956
1071,6962
1072,6965
1073,6972
1075,6977
1076,6980
1077,6981
1078,6982
1079,6983


