dh,dz,slope
0.999772,0.021345,0.021350
0.999772,0.021345,0.021350
0.999772,0.021345,0.021350
0.999772,0.021345,0.021350
0.999772,0.021345,0.021350
0.999414,0.000595,0.000595
0.999949,-0.010130,-0.010131
0.999949,-0.010130,-0.010131
0.999949,-0.010130,-0.010131
0.999949,-0.010130,-0.010131
0.999949,-0.010130,-0.010131
0.999949,-0.010130,-0.010131
0.953119,-0.004621,-0.004848
0.999999,-0.001663,-0.001663
0.999999,-0.001663,-0.001663
0.999999,-0.001663,-0.001663
0.999999,-0.001663,-0.001663
0.999999,-0.001663,-0.001663
0.942381,0.108210,0.114826
0.985289,0.170897,0.173449
0.985289,0.170897,0.173449
0.985289,0.170897,0.173449
0.985289,0.170897,0.173449
0.985289,0.170897,0.173449
0.945040,0.317687,0.336162
0.946484,0.322751,0.340999
0.946484,0.322751,0.340999
0.946484,0.322751,0.340999
0.946484,0.322751,0.340999
0.946484,0.322751,0.340999
0.984175,0.173532,0.176322
0.985763,0.168138,0.170566
0.985763,0.168138,0.170566
0.985763,0.168138,0.170566
0.985763,0.168138,0.170566
0.985763,0.168138,0.170566
0.952597,0.116378,0.122169
0.995589,0.093819,0.094235
0.995589,0.093819,0.094235
0.995589,0.093819,0.094235
0.995589,0.093819,0.094235
0.995928,0.078793,0.079115
0.998070,0.062096,0.062216
0.998070,0.062096,0.062216
0.998070,0.062096,0.062216
0.998070,0.062096,0.062216
0.997993,0.061840,0.061964
0.998234,0.059402,0.059507
0.998234,0.059402,0.059507
0.998234,0.059402,0.059507
0.998234,0.059402,0.059507
0.998234,0.059402,0.059507
0.998234,0.059402,0.059507
0.989123,0.110456,0.111671
0.993581,0.113126,0.113856
0.993581,0.113126,0.113856
0.993581,0.113126,0.113856
0.993581,0.113126,0.113856
0.992556,0.109494,0.110315
0.995602,0.093686,0.094099
0.995602,0.093686,0.094099
0.995602,0.093686,0.094099
0.995602,0.093686,0.094099
0.995602,0.093686,0.094099
0.970978,0.089364,0.092035
0.999179,0.040516,0.040550
0.999179,0.040516,0.040550
0.999179,0.040516,0.040550
0.999179,0.040516,0.040550
0.999179,0.040516,0.040550
0.999179,0.040516,0.040550
0.982521,0.060625,0.061703
0.997816,0.066050,0.066194
0.997816,0.066050,0.066194
0.997816,0.066050,0.066194
0.997816,0.066050,0.066194
0.990164,0.062108,0.062725
0.998584,0.053204,0.053279
0.998584,0.053204,0.053279
0.998584,0.053204,0.053279
0.998584,0.053204,0.053279
0.998584,0.053204,0.053279
0.988561,0.052906,0.053518
0.998614,0.052629,0.052702
0.998614,0.052629,0.052702
0.998614,0.052629,0.052702
0.998614,0.052629,0.052702
0.998614,0.052629,0.052702
0.945365,0.090014,0.095216
0.990420,0.138089,0.139424
0.990420,0.138089,0.139424
0.990420,0.138089,0.139424
0.990420,0.138089,0.139424
0.990420,0.138089,0.139424
0.990420,0.138089,0.139424
0.951313,0.143431,0.150772
0.987997,0.154474,0.156350
0.987997,0.154474,0.156350
0.987997,0.154474,0.156350
0.987997,0.154474,0.156350
0.987637,0.143333,0.145127
0.999969,0.007867,0.007867
0.999969,0.007867,0.007867
0.999969,0.007867,0.007867
0.999969,0.007867,0.007867
0.999969,0.007867,0.007867
0.999969,0.007867,0.007867
0.999969,0.007867,0.007867
0.996961,-0.002945,-0.002954
0.999987,-0.005156,-0.005156
0.999987,-0.005156,-0.005156
0.999987,-0.005156,-0.005156
0.999987,-0.005156,-0.005156
0.933021,-0.118436,-0.126938
0.988840,-0.148985,-0.150666
0.988840,-0.148985,-0.150666
0.988840,-0.148985,-0.150666
0.988840,-0.148985,-0.150666
0.988840,-0.148985,-0.150666
0.988567,-0.002469,-0.002498
0.999518,0.031047,0.031062
0.999518,0.031047,0.031062
0.999518,0.031047,0.031062
0.999518,0.031047,0.031062
0.982419,0.013050,0.013284
0.999996,-0.002810,-0.002810
0.999996,-0.002810,-0.002810
0.999996,-0.002810,-0.002810
0.999996,-0.002810,-0.002810
0.995459,0.003773,0.003790
0.999513,0.031200,0.031215
0.999513,0.031200,0.031215
0.999513,0.031200,0.031215
0.999513,0.031200,0.031215
0.999485,0.031371,0.031387
0.985227,0.171254,0.173821
0.985227,0.171254,0.173821
0.985227,0.171254,0.173821
0.985227,0.171254,0.173821
0.985227,0.171254,0.173821
0.983572,0.158783,0.161435
0.991125,0.132934,0.134124
0.991125,0.132934,0.134124
0.991125,0.132934,0.134124
0.991125,0.132934,0.134124
0.991125,0.132934,0.134124
0.979177,0.151354,0.154573
0.984253,0.176766,0.179594
0.984253,0.176766,0.179594
0.984253,0.176766,0.179594
0.984253,0.176766,0.179594
0.984253,0.176766,0.179594
0.984253,0.176766,0.179594
0.984359,0.172945,0.175693
0.992921,0.118779,0.119626
0.992921,0.118779,0.119626
0.992921,0.118779,0.119626
0.992921,0.118779,0.119626
0.992921,0.118779,0.119626
0.992921,0.118779,0.119626
0.996883,0.060958,0.061149
0.999834,0.018195,0.018198
0.999834,0.018195,0.018198
0.999834,0.018195,0.018198
0.999834,0.018195,0.018198
0.999834,0.018195,0.018198
0.999834,0.018195,0.018198
0.994072,-0.105858,-0.106489
0.994102,-0.108451,-0.109095
0.994102,-0.108451,-0.109095
0.994102,-0.108451,-0.109095
0.994102,-0.108451,-0.109095
0.986958,-0.147412,-0.149360
0.975237,-0.221163,-0.226779
0.975237,-0.221163,-0.226779
0.975237,-0.221163,-0.226779
0.975237,-0.221163,-0.226779
0.975237,-0.221163,-0.226779
0.975237,-0.221163,-0.226779
0.975332,-0.146335,-0.150036
0.994810,-0.101754,-0.102285
0.994810,-0.101754,-0.102285
0.994810,-0.101754,-0.102285
0.994810,-0.101754,-0.102285
0.994810,-0.101754,-0.102285
0.992829,-0.105037,-0.105796
0.993660,-0.112431,-0.113148
0.993660,-0.112431,-0.113148
0.993660,-0.112431,-0.113148
0.993660,-0.112431,-0.113148
0.993660,-0.112431,-0.113148
0.964356,-0.254676,-0.264089
0.958793,-0.284106,-0.296316
0.958793,-0.284106,-0.296316
0.958793,-0.284106,-0.296316
0.958793,-0.284106,-0.296316
0.964672,-0.236765,-0.245435
0.980232,-0.197850,-0.201840
0.980232,-0.197850,-0.201840
0.980232,-0.197850,-0.201840
0.980232,-0.197850,-0.201840
0.980232,-0.197850,-0.201840
0.948839,-0.090838,-0.095736
0.999401,-0.034596,-0.034616
0.999401,-0.034596,-0.034616
0.999401,-0.034596,-0.034616
0.999401,-0.034596,-0.034616
0.999401,-0.034596,-0.034616
0.984877,-0.014729,-0.014955
0.999945,0.010471,0.010471
0.999945,0.010471,0.010471
0.999945,0.010471,0.010471
0.999945,0.010471,0.010471
0.999945,0.010471,0.010471
0.983699,0.016298,0.016568
0.999765,0.021685,0.021690
0.999765,0.021685,0.021690
0.999765,0.021685,0.021690
0.999765,0.021685,0.021690
0.999765,0.021685,0.021690
0.999765,0.021685,0.021690
0.999609,0.010142,0.010146
1.000000,-0.000942,-0.000942
1.000000,-0.000942,-0.000942
1.000000,-0.000942,-0.000942
1.000000,-0.000942,-0.000942
0.991907,-0.001687,-0.001700
0.999989,-0.004600,-0.004600
0.999989,-0.004600,-0.004600
0.999989,-0.004600,-0.004600
0.999989,-0.004600,-0.004600
0.999989,-0.004600,-0.004600
0.996413,0.000863,0.000866
0.999997,0.002508,0.002508
0.999997,0.002508,0.002508
0.999997,0.002508,0.002508
0.999997,0.002508,0.002508
0.989287,-0.006866,-0.006941
0.998851,-0.047926,-0.047981
0.998851,-0.047926,-0.047981
0.998851,-0.047926,-0.047981
0.998851,-0.047926,-0.047981
0.998851,-0.047926,-0.047981
0.994634,-0.078241,-0.078663
0.995934,-0.090083,-0.090451
0.995934,-0.090083,-0.090451
0.995934,-0.090083,-0.090451
0.995934,-0.090083,-0.090451
0.995934,-0.090083,-0.090451
0.995934,-0.090083,-0.090451
0.999325,-0.015283,-0.015293
0.999938,-0.011145,-0.011146
0.999938,-0.011145,-0.011146
0.999938,-0.011145,-0.011146
0.999938,-0.011145,-0.011146
0.999938,-0.011145,-0.011146
0.987091,-0.005977,-0.006055
1.000000,-0.000543,-0.000543
1.000000,-0.000543,-0.000543
1.000000,-0.000543,-0.000543
1.000000,-0.000543,-0.000543
1.000000,-0.000543,-0.000543
0.998017,0.000743,0.000745
1.000000,0.000788,0.000788
1.000000,0.000788,0.000788
1.000000,0.000788,0.000788
1.000000,0.000788,0.000788
0.997221,0.021337,0.021396
0.999717,0.023800,0.023807
0.999717,0.023800,0.023807
0.999717,0.023800,0.023807
0.999717,0.023800,0.023807
0.999717,0.023800,0.023807
0.998876,0.019307,0.019328
0.999997,-0.002590,-0.002590
0.999997,-0.002590,-0.002590
0.999997,-0.002590,-0.002590
0.999997,-0.002590,-0.002590
0.999997,-0.002590,-0.002590
0.999997,-0.002590,-0.002590
0.998773,0.042785,0.042838
0.999069,0.043134,0.043174
0.999069,0.043134,0.043174
0.999069,0.043134,0.043174
0.999069,0.043134,0.043174
0.999069,0.043134,0.043174
0.991833,0.110610,0.111520
0.988300,0.152524,0.154329
0.988300,0.152524,0.154329
0.988300,0.152524,0.154329
0.988300,0.152524,0.154329
0.988300,0.152524,0.154329
0.988458,0.151165,0.152930
0.992301,0.123848,0.124809
0.992301,0.123848,0.124809
0.992301,0.123848,0.124809
0.992301,0.123848,0.124809
0.992301,0.123848,0.124809
0.992301,0.123848,0.124809
0.970849,0.215663,0.222138
0.968484,0.249076,0.257181
0.968484,0.249076,0.257181
0.968484,0.249076,0.257181
0.968484,0.249076,0.257181
0.968484,0.249076,0.257181
0.968484,0.249076,0.257181
0.921171,0.346744,0.376416
0.906864,0.421423,0.464703
0.906864,0.421423,0.464703
0.906864,0.421423,0.464703
0.906864,0.421423,0.464703
0.906864,0.421423,0.464703
0.906864,0.421423,0.464703
0.939948,0.333730,0.355051
0.956248,0.292557,0.305942
0.956248,0.292557,0.305942
0.956248,0.292557,0.305942
0.956248,0.292557,0.305942
0.956248,0.292557,0.305942
0.961082,0.266873,0.277679
0.977242,0.212128,0.217068
0.977242,0.212128,0.217068
0.977242,0.212128,0.217068
0.977242,0.212128,0.217068
0.977242,0.212128,0.217068
0.977242,0.212128,0.217068
0.979797,0.105761,0.107942
0.999516,0.031093,0.031108
0.999516,0.031093,0.031108
0.999516,0.031093,0.031108
0.999516,0.031093,0.031108
0.999516,0.031093,0.031108
0.998903,0.033359,0.033395
0.999331,0.036585,0.036610
0.999331,0.036585,0.036610
0.999331,0.036585,0.036610
0.999331,0.036585,0.036610
0.999331,0.036585,0.036610
0.988067,0.038099,0.038559
0.999126,0.041808,0.041844
0.999126,0.041808,0.041844
0.999126,0.041808,0.041844
0.999126,0.041808,0.041844
0.999126,0.041808,0.041844
0.999126,0.041808,0.041844
0.989210,0.029121,0.029439
0.999742,0.022710,0.022716
0.999742,0.022710,0.022716
0.999742,0.022710,0.022716
0.999742,0.022710,0.022716
0.997761,0.018763,0.018805
0.999994,0.003375,0.003375
0.999994,0.003375,0.003375
0.999994,0.003375,0.003375
0.999994,0.003375,0.003375
0.999994,0.003375,0.003375
0.999266,-0.012696,-0.012705
0.998518,-0.054427,-0.054508
0.998518,-0.054427,-0.054508
0.998518,-0.054427,-0.054508
0.998518,-0.054427,-0.054508
0.998518,-0.054427,-0.054508
0.991999,-0.119173,-0.120134
0.991310,-0.131544,-0.132697
0.991310,-0.131544,-0.132697
0.991310,-0.131544,-0.132697
0.991310,-0.131544,-0.132697
0.991310,-0.131544,-0.132697
0.991389,-0.117014,-0.118030
0.999999,-0.001554,-0.001554
0.999999,-0.001554,-0.001554
0.999999,-0.001554,-0.001554
0.999999,-0.001554,-0.001554
0.999999,-0.001554,-0.001554
0.999173,-0.008220,-0.008227
0.999964,-0.008460,-0.008460
0.999964,-0.008460,-0.008460
0.999964,-0.008460,-0.008460
0.999964,-0.008460,-0.008460
0.935899,0.018112,0.019352
0.996574,0.082704,0.082989
0.996574,0.082704,0.082989
0.996574,0.082704,0.082989
0.996574,0.082704,0.082989
0.996574,0.082704,0.082989
0.996574,0.082704,0.082989
0.981779,0.034839,0.035486
0.999895,0.014495,0.014497
0.999895,0.014495,0.014497
0.999895,0.014495,0.014497
0.999895,0.014495,0.014497
0.999895,0.014495,0.014497
0.999626,0.024701,0.024710
0.999380,0.035204,0.035226
0.999380,0.035204,0.035226
0.999380,0.035204,0.035226
0.999380,0.035204,0.035226
0.999380,0.035204,0.035226
0.999792,0.015398,0.015401
0.999951,0.009917,0.009918
0.999951,0.009917,0.009918
0.999951,0.009917,0.009918
0.999951,0.009917,0.009918
0.998868,0.025064,0.025092
0.997277,0.073744,0.073945
0.997277,0.073744,0.073945
0.997277,0.073744,0.073945
0.997277,0.073744,0.073945
0.997277,0.073744,0.073945
0.996695,0.079514,0.079777
0.996717,0.080960,0.081227
0.996717,0.080960,0.081227
0.996717,0.080960,0.081227
0.996717,0.080960,0.081227
0.929762,0.103494,0.111313
0.992301,0.123851,0.124812
0.992301,0.123851,0.124812
0.992301,0.123851,0.124812
0.992301,0.123851,0.124812
0.992301,0.123851,0.124812
0.955597,0.087603,0.091673
0.999347,0.036129,0.036153
0.999347,0.036129,0.036153
0.999347,0.036129,0.036153
0.999347,0.036129,0.036153
0.999347,0.036129,0.036153
0.999347,0.036129,0.036153
0.999347,0.036129,0.036153
0.999347,0.036129,0.036153
0.999347,0.036129,0.036153
0.999347,0.036129,0.036153
0.999347,0.036129,0.036153
0.999347,0.036129,0.036153
0.995105,0.040130,0.040328
0.998761,0.049754,0.049816
0.998761,0.049754,0.049816
0.998761,0.049754,0.049816
0.998761,0.049754,0.049816
0.998761,0.049754,0.049816
0.998761,0.049754,0.049816
0.528341,-0.420175,-0.795272
0.750269,-0.661132,-0.881192
0.750269,-0.661132,-0.881192
0.750269,-0.661132,-0.881192
0.750269,-0.661132,-0.881192
0.750269,-0.661132,-0.881192
0.750269,-0.661132,-0.881192
0.750269,-0.661132,-0.881192
0.768126,-0.623402,-0.811587
0.986593,-0.163198,-0.165416
0.986593,-0.163198,-0.165416
0.986593,-0.163198,-0.165416
0.986593,-0.163198,-0.165416
0.986593,-0.163198,-0.165416
0.991800,-0.087564,-0.088288
0.996436,-0.084355,-0.084656
0.996436,-0.084355,-0.084656
0.996436,-0.084355,-0.084656
0.996436,-0.084355,-0.084656
0.986179,-0.016344,-0.016573
0.999972,-0.007548,-0.007548
0.999972,-0.007548,-0.007548
0.999972,-0.007548,-0.007548
0.999972,-0.007548,-0.007548
0.981476,0.036736,0.037429
0.999010,0.044487,0.044531
0.999010,0.044487,0.044531
0.999010,0.044487,0.044531
0.999010,0.044487,0.044531
0.996563,0.062868,0.063084
0.995192,0.097948,0.098421
0.995192,0.097948,0.098421
0.995192,0.097948,0.098421
0.995192,0.097948,0.098421
0.994131,0.105171,0.105792
0.984903,0.173107,0.175760
0.984903,0.173107,0.175760
0.984903,0.173107,0.175760
0.984903,0.173107,0.175760
0.984903,0.173107,0.175760
0.984903,0.173107,0.175760
0.979882,0.172276,0.175813
0.993612,0.112854,0.113580
0.993612,0.112854,0.113580
0.993612,0.112854,0.113580
0.993612,0.112854,0.113580
0.993612,0.112854,0.113580
0.982031,0.172628,0.175786
0.973706,0.227808,0.233959
0.973706,0.227808,0.233959
0.973706,0.227808,0.233959
0.973706,0.227808,0.233959
0.973706,0.227808,0.233959
0.973706,0.227808,0.233959
0.975678,0.217113,0.222525
0.989562,0.144111,0.145631
0.989562,0.144111,0.145631
0.989562,0.144111,0.145631
0.989562,0.144111,0.145631
0.989562,0.144111,0.145631
0.989562,0.144111,0.145631
0.989562,0.144111,0.145631
0.989562,0.144111,0.145631
0.987235,0.147919,0.149832
0.988920,0.148453,0.150116
0.988920,0.148453,0.150116
0.988920,0.148453,0.150116
0.988920,0.148453,0.150116
0.988920,0.148453,0.150116
0.988920,0.148453,0.150116
0.981425,0.172531,0.175796
0.899442,0.437041,0.485902
0.899442,0.437041,0.485902
0.899442,0.437041,0.485902
0.899442,0.437041,0.485902
0.899442,0.437041,0.485902
0.899442,0.437041,0.485902
0.899442,0.437041,0.485902
0.899442,0.437041,0.485902
0.899442,0.437041,0.485902
0.942773,0.286633,0.304031
0.982364,0.186979,0.190335
0.982364,0.186979,0.190335
0.982364,0.186979,0.190335
0.982364,0.186979,0.190335
0.982364,0.186979,0.190335
0.982364,0.186979,0.190335
0.978431,0.185296,0.189380
0.983511,0.180847,0.183878
0.983511,0.180847,0.183878
0.983511,0.180847,0.183878
0.983511,0.180847,0.183878
0.983511,0.180847,0.183878
0.960268,0.213297,0.222122
0.972272,0.233853,0.240522
0.972272,0.233853,0.240522
0.972272,0.233853,0.240522
0.972272,0.233853,0.240522
0.972272,0.233853,0.240522
0.976918,0.179078,0.183308
0.992925,0.118744,0.119590
0.992925,0.118744,0.119590
0.992925,0.118744,0.119590
0.992925,0.118744,0.119590
0.992925,0.118744,0.119590
0.984467,0.112305,0.114076
0.999959,0.009076,0.009076
0.999959,0.009076,0.009076
0.999959,0.009076,0.009076
0.999959,0.009076,0.009076
0.999959,0.009076,0.009076
0.999959,0.009076,0.009076
0.999968,0.007168,0.007168
1.000000,0.000679,0.000679
1.000000,0.000679,0.000679
1.000000,0.000679,0.000679
1.000000,0.000679,0.000679
1.000000,0.000679,0.000679
1.000000,0.000679,0.000679
1.000000,0.000679,0.000679
0.999941,0.004126,0.004126
0.999989,0.004681,0.004681
0.999989,0.004681,0.004681
0.999989,0.004681,0.004681
0.999989,0.004681,0.004681
0.991069,-0.099699,-0.100597
0.990511,-0.137430,-0.138746
0.990511,-0.137430,-0.138746
0.990511,-0.137430,-0.138746
0.990511,-0.137430,-0.138746
0.990511,-0.137430,-0.138746
0.987764,-0.146050,-0.147859
0.936011,-0.351971,-0.376033
0.936011,-0.351971,-0.376033
0.936011,-0.351971,-0.376033
0.936011,-0.351971,-0.376033
0.936011,-0.351971,-0.376033
0.936011,-0.351971,-0.376033
0.927318,-0.373318,-0.402578
0.923296,-0.384089,-0.415997
0.923296,-0.384089,-0.415997
0.923296,-0.384089,-0.415997
0.923296,-0.384089,-0.415997
0.923296,-0.384089,-0.415997
0.923296,-0.384089,-0.415997
0.938023,-0.327353,-0.348981
0.974647,-0.223749,-0.229569
0.974647,-0.223749,-0.229569
0.974647,-0.223749,-0.229569
0.974647,-0.223749,-0.229569
0.974647,-0.223749,-0.229569
0.978027,-0.130134,-0.133058
0.997907,-0.064665,-0.064800
0.997907,-0.064665,-0.064800
0.997907,-0.064665,-0.064800
0.997907,-0.064665,-0.064800
0.997907,-0.064665,-0.064800
0.998121,-0.024578,-0.024624
0.999990,-0.004440,-0.004440
0.999990,-0.004440,-0.004440
0.999990,-0.004440,-0.004440
0.999990,-0.004440,-0.004440
0.999990,-0.004440,-0.004440
0.978011,0.016536,0.016907
0.999770,0.021454,0.021459
0.999770,0.021454,0.021459
0.999770,0.021454,0.021459
0.999770,0.021454,0.021459
0.998768,0.017637,0.017659
0.999993,0.003847,0.003847
0.999993,0.003847,0.003847
0.999993,0.003847,0.003847
0.999993,0.003847,0.003847
0.999993,0.003847,0.003847
0.999993,0.003847,0.003847
0.994801,0.058041,0.058344
0.998243,0.059252,0.059356
0.998243,0.059252,0.059356
0.998243,0.059252,0.059356
0.998243,0.059252,0.059356
0.996056,0.066213,0.066475
0.997710,0.067633,0.067788
0.997710,0.067633,0.067788
0.997710,0.067633,0.067788
0.997710,0.067633,0.067788
0.992778,0.065704,0.066182
0.998371,0.057064,0.057157
0.998371,0.057064,0.057157
0.998371,0.057064,0.057157
0.998371,0.057064,0.057157
0.998371,0.057064,0.057157
0.981515,0.151701,0.154558
0.981892,0.189442,0.192936
0.981892,0.189442,0.192936
0.981892,0.189442,0.192936
0.981892,0.189442,0.192936
0.981892,0.189442,0.192936
0.976908,0.181768,0.186064
0.985826,0.167771,0.170183
0.985826,0.167771,0.170183
0.985826,0.167771,0.170183
0.985826,0.167771,0.170183
0.985826,0.167771,0.170183
0.985002,0.171214,0.173820
0.959281,0.282453,0.294442
0.959281,0.282453,0.294442
0.959281,0.282453,0.294442
0.959281,0.282453,0.294442
0.959281,0.282453,0.294442
0.959281,0.282453,0.294442
0.843840,0.281833,0.333988
0.959819,0.280622,0.292369
0.959819,0.280622,0.292369
0.959819,0.280622,0.292369
0.959819,0.280622,0.292369
0.959819,0.280622,0.292369
0.959819,0.280622,0.292369
0.959819,0.280622,0.292369
0.959819,0.280622,0.292369
0.953862,0.275418,0.288739
0.989701,0.143151,0.144641
0.989701,0.143151,0.144641
0.989701,0.143151,0.144641
0.989701,0.143151,0.144641
0.989701,0.143151,0.144641
0.892700,0.049632,0.055598
0.999317,-0.036963,-0.036988
0.999317,-0.036963,-0.036988
0.999317,-0.036963,-0.036988
0.999317,-0.036963,-0.036988
0.996565,-0.072596,-0.072846
0.993433,-0.114413,-0.115170
0.993433,-0.114413,-0.115170
0.993433,-0.114413,-0.115170
0.993433,-0.114413,-0.115170
0.993433,-0.114413,-0.115170
0.975824,-0.178869,-0.183300
0.947894,-0.318585,-0.336098
0.947894,-0.318585,-0.336098
0.947894,-0.318585,-0.336098
0.947894,-0.318585,-0.336098
0.947894,-0.318585,-0.336098
0.955535,-0.271703,-0.284347
0.972293,-0.233764,-0.240425
0.972293,-0.233764,-0.240425
0.972293,-0.233764,-0.240425
0.972293,-0.233764,-0.240425
0.972293,-0.233764,-0.240425
0.972293,-0.233764,-0.240425
0.975073,-0.201270,-0.206415
0.981688,-0.190495,-0.194048
0.981688,-0.190495,-0.194048
0.981688,-0.190495,-0.194048
0.981688,-0.190495,-0.194048
0.981688,-0.190495,-0.194048
0.980103,-0.198251,-0.202275
0.980147,-0.198270,-0.202286
0.980147,-0.198270,-0.202286
0.980147,-0.198270,-0.202286
0.980147,-0.198270,-0.202286
0.980147,-0.198270,-0.202286
0.992221,-0.059068,-0.059531
0.999948,0.010178,0.010179
0.999948,0.010178,0.010179
0.999948,0.010178,0.010179
0.999948,0.010178,0.010179
0.985012,0.000416,0.000422
0.999973,-0.007292,-0.007292
0.999973,-0.007292,-0.007292
0.999973,-0.007292,-0.007292
0.999973,-0.007292,-0.007292
0.986318,0.023103,0.023423
0.996780,0.080182,0.080441
0.996780,0.080182,0.080441
0.996780,0.080182,0.080441
0.996780,0.080182,0.080441
0.996780,0.080182,0.080441
0.977049,0.101386,0.103767
0.988509,0.151159,0.152916
0.988509,0.151159,0.152916
0.988509,0.151159,0.152916
0.988509,0.151159,0.152916
0.988509,0.151159,0.152916
0.975135,0.190247,0.195098
0.972981,0.230884,0.237295
0.972981,0.230884,0.237295
0.972981,0.230884,0.237295
0.972981,0.230884,0.237295
0.972981,0.230884,0.237295
0.947171,0.307927,0.325101
0.948694,0.316196,0.333296
0.948694,0.316196,0.333296
0.948694,0.316196,0.333296
0.948694,0.316196,0.333296
0.948694,0.316196,0.333296
0.948694,0.316196,0.333296
0.936930,0.348226,0.371666
0.936282,0.351249,0.375153
0.936282,0.351249,0.375153
0.936282,0.351249,0.375153
0.936282,0.351249,0.375153
0.936282,0.351249,0.375153
0.940780,0.335368,0.356478
0.978519,0.206155,0.210680
0.978519,0.206155,0.210680
0.978519,0.206155,0.210680
0.978519,0.206155,0.210680
0.978519,0.206155,0.210680
0.978818,0.203922,0.208335
0.980201,0.198007,0.202006
0.980201,0.198007,0.202006
0.980201,0.198007,0.202006
0.980201,0.198007,0.202006
0.980201,0.198007,0.202006
0.980201,0.198007,0.202006
0.969352,0.232118,0.239457
0.972031,0.234854,0.241611
0.972031,0.234854,0.241611
0.972031,0.234854,0.241611
0.972031,0.234854,0.241611
0.972031,0.234854,0.241611
0.972031,0.234854,0.241611
0.902545,0.179399,0.198771
0.989211,0.146495,0.148093
0.989211,0.146495,0.148093
0.989211,0.146495,0.148093
0.989211,0.146495,0.148093
0.989211,0.146495,0.148093
0.989211,0.146495,0.148093
0.989211,0.146495,0.148093
0.989211,0.146495,0.148093
0.983766,0.053230,0.054108
0.999946,0.010410,0.010410
0.999946,0.010410,0.010410
0.999946,0.010410,0.010410
0.999946,0.010410,0.010410
0.998947,0.026996,0.027024
0.999044,0.043716,0.043758
0.999044,0.043716,0.043758
