dh,dz,slope
0.702214,-0.711966,-1.013887
0.702214,-0.711966,-1.013887
0.702214,-0.711966,-1.013887
0.702214,-0.711966,-1.013887
0.702214,-0.711966,-1.013887
0.702214,-0.711966,-1.013887
0.702214,-0.711966,-1.013887
0.702214,-0.711966,-1.013887
0.727329,-0.531437,-0.730668
0.998515,0.054485,0.054566
0.998515,0.054485,0.054566
0.998515,0.054485,0.054566
0.998515,0.054485,0.054566
0.998515,0.054485,0.054566
0.998515,0.054485,0.054566
0.998515,0.054485,0.054566
0.998515,0.054485,0.054566
0.994916,0.011048,0.011104
0.998869,-0.047552,-0.047606
0.998869,-0.047552,-0.047606
0.998869,-0.047552,-0.047606
0.998869,-0.047552,-0.047606
0.998869,-0.047552,-0.047606
0.998869,-0.047552,-0.047606
0.998869,-0.047552,-0.047606
0.998869,-0.047552,-0.047606
0.998869,-0.047552,-0.047606
0.995096,-0.031790,-0.031947
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.999874,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.973308,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.824989,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.989845,0.004564,0.004611
0.999121,0.041923,0.041960
0.999121,0.041923,0.041960
0.999121,0.041923,0.041960
0.999121,0.041923,0.041960
0.999121,0.041923,0.041960
0.999121,0.041923,0.041960
0.999121,0.041923,0.041960
0.999121,0.041923,0.041960
0.999121,0.041923,0.041960
0.999121,0.041923,0.041960
0.999121,0.041923,0.041960
0.998311,-0.018793,-0.018825
0.998740,-0.050176,-0.050239
0.998740,-0.050176,-0.050239
0.998740,-0.050176,-0.050239
0.998740,-0.050176,-0.050239
0.998740,-0.050176,-0.050239
