dh,dz,slope
0.416197,-0.909274,-2.184714
0.416197,-0.909274,-2.184714
0.416197,-0.909274,-2.184714
0.416197,-0.909274,-2.184714
0.291568,-0.494696,-1.696669
0.553364,0.832939,1.505225
0.553364,0.832939,1.505225
0.553364,0.832939,1.505225
0.553364,0.832939,1.505225
0.553364,0.832939,1.505225
0.553364,0.832939,1.505225
0.528996,0.839243,1.586481
0.521535,0.853230,1.635994
0.521535,0.853230,1.635994
0.521535,0.853230,1.635994
0.521535,0.853230,1.635994
0.521535,0.853230,1.635994
0.148818,-0.367731,-2.470999
0.279268,-0.960213,-3.438306
0.279268,-0.960213,-3.438306
0.279268,-0.960213,-3.438306
0.746744,-0.434891,-0.582382
0.985654,-0.168776,-0.171232
0.985654,-0.168776,-0.171232
0.985654,-0.168776,-0.171232
0.985654,-0.168776,-0.171232
0.985654,-0.168776,-0.171232
0.985654,-0.168776,-0.171232
0.985654,-0.168776,-0.171232
0.796490,-0.263112,-0.330338
0.400751,-0.859501,-2.144719
0.939464,-0.342647,-0.364726
0.939464,-0.342647,-0.364726
0.914404,-0.262018,-0.286544
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.999905,-0.013792,-0.013793
0.976112,-0.014868,-0.015232
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
0.999880,-0.015472,-0.015474
