dh,dz,slope
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.999179,0.029141,0.029165
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
0.999571,0.029280,0.029292
