dh,dz,slope
0.999801,0.019970,0.019973
0.999801,0.019970,0.019973
0.999801,0.019970,0.019973
0.999801,0.019970,0.019973
0.999801,0.019970,0.019973
0.997519,0.018555,0.018602
0.999828,0.018545,0.018548
0.999828,0.018545,0.018548
0.999828,0.018545,0.018548
0.999828,0.018545,0.018548
0.997769,0.035429,0.035508
0.998910,0.046686,0.046737
0.998910,0.046686,0.046737
0.998910,0.046686,0.046737
0.998910,0.046686,0.046737
0.998910,0.046686,0.046737
0.998999,0.044034,0.044078
0.999505,0.031451,0.031466
0.999505,0.031451,0.031466
0.999505,0.031451,0.031466
0.999505,0.031451,0.031466
0.999505,0.031451,0.031466
0.999505,0.031451,0.031466
0.997351,0.043606,0.043722
0.998924,0.046367,0.046417
0.998924,0.046367,0.046417
0.998924,0.046367,0.046417
0.998924,0.046367,0.046417
0.998924,0.046367,0.046417
0.998984,0.030378,0.030409
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.994168,-0.012611,-0.012685
0.999911,-0.013373,-0.013374
0.999911,-0.013373,-0.013374
0.999911,-0.013373,-0.013374
0.999911,-0.013373,-0.013374
0.999911,-0.013373,-0.013374
0.999911,-0.013373,-0.013374
0.946959,-0.007151,-0.007552
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.979862,-0.058917,-0.060128
0.995669,-0.092974,-0.093378
0.995669,-0.092974,-0.093378
0.995669,-0.092974,-0.093378
0.995669,-0.092974,-0.093378
0.995669,-0.092974,-0.093378
0.995669,-0.092974,-0.093378
0.995669,-0.092974,-0.093378
0.995669,-0.092974,-0.093378
0.995669,-0.092974,-0.093378
0.996098,-0.087847,-0.088191
0.996156,-0.087597,-0.087935
0.996156,-0.087597,-0.087935
0.996156,-0.087597,-0.087935
0.996156,-0.087597,-0.087935
0.996156,-0.087597,-0.087935
0.996156,-0.087597,-0.087935
0.996156,-0.087597,-0.087935
0.996156,-0.087597,-0.087935
0.997803,-0.045121,-0.045221
0.999357,-0.035850,-0.035873
0.999357,-0.035850,-0.035873
0.999357,-0.035850,-0.035873
0.999357,-0.035850,-0.035873
0.999357,-0.035850,-0.035873
0.999357,-0.035850,-0.035873
0.999357,-0.035850,-0.035873
0.998135,-0.024163,-0.024209
0.999950,-0.010027,-0.010027
0.999950,-0.010027,-0.010027
0.999950,-0.010027,-0.010027
0.999950,-0.010027,-0.010027
0.999950,-0.010027,-0.010027
0.999950,-0.010027,-0.010027
0.999950,-0.010027,-0.010027
0.999950,-0.010027,-0.010027
0.999950,-0.010027,-0.010027
0.986430,-0.012756,-0.012931
0.999876,-0.015722,-0.015724
0.999876,-0.015722,-0.015724
0.999876,-0.015722,-0.015724
0.999876,-0.015722,-0.015724
0.999876,-0.015722,-0.015724
0.999795,-0.018605,-0.018609
0.999200,-0.039998,-0.040030
0.999200,-0.039998,-0.040030
0.999200,-0.039998,-0.040030
0.999200,-0.039998,-0.040030
0.999200,-0.039998,-0.040030
0.999200,-0.039998,-0.040030
0.999200,-0.039998,-0.040030
0.999200,-0.039998,-0.040030
0.999200,-0.039998,-0.040030
0.999200,-0.039998,-0.040030
0.999200,-0.039998,-0.040030
0.999200,-0.039998,-0.040030
0.999570,-0.025188,-0.025199
0.999871,-0.016033,-0.016035
0.999871,-0.016033,-0.016035
0.999871,-0.016033,-0.016035
0.999871,-0.016033,-0.016035
0.999871,-0.016033,-0.016035
0.999871,-0.016033,-0.016035
0.999871,-0.016033,-0.016035
0.999871,-0.016033,-0.016035
0.999871,-0.016033,-0.016035
0.999871,-0.016033,-0.016035
0.999871,-0.016033,-0.016035
0.999654,-0.010997,-0.011000
0.999820,0.018997,0.019000
0.999820,0.018997,0.019000
0.999820,0.018997,0.019000
0.999820,0.018997,0.019000
0.999820,0.018997,0.019000
0.994376,0.100343,0.100910
0.993769,0.111462,0.112160
0.993769,0.111462,0.112160
0.993769,0.111462,0.112160
0.993769,0.111462,0.112160
0.992071,0.112155,0.113052
0.993611,0.112858,0.113584
0.993611,0.112858,0.113584
0.993611,0.112858,0.113584
0.993611,0.112858,0.113584
0.993611,0.112858,0.113584
0.993611,0.112858,0.113584
0.993611,0.112858,0.113584
0.993611,0.112858,0.113584
0.993611,0.112858,0.113584
0.993611,0.112858,0.113584
0.986619,0.157506,0.159642
0.986371,0.164537,0.166811
0.986371,0.164537,0.166811
0.986371,0.164537,0.166811
0.986371,0.164537,0.166811
0.988520,0.147690,0.149405
0.992557,0.121785,0.122698
0.992557,0.121785,0.122698
0.992557,0.121785,0.122698
0.992557,0.121785,0.122698
0.992557,0.121785,0.122698
0.992557,0.121785,0.122698
0.992557,0.121785,0.122698
0.992557,0.121785,0.122698
0.992557,0.121785,0.122698
0.992557,0.121785,0.122698
0.992557,0.121785,0.122698
0.992557,0.121785,0.122698
0.988860,0.103912,0.105083
0.998647,0.052002,0.052072
0.998647,0.052002,0.052072
0.998647,0.052002,0.052072
0.998647,0.052002,0.052072
0.998647,0.052002,0.052072
0.998921,0.030831,0.030864
0.999964,0.008538,0.008538
0.999964,0.008538,0.008538
0.999964,0.008538,0.008538
0.999964,0.008538,0.008538
0.999964,0.008538,0.008538
0.999964,0.008538,0.008538
0.999964,0.008538,0.008538
0.999964,0.008538,0.008538
0.999964,0.008538,0.008538
0.999964,0.008538,0.008538
0.999964,0.008538,0.008538
0.999992,0.001929,0.001929
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.998962,0.014527,0.014542
0.996893,0.078771,0.079017
0.996893,0.078771,0.079017
0.996893,0.078771,0.079017
0.996893,0.078771,0.079017
0.996893,0.078771,0.079017
0.996893,0.078771,0.079017
0.996750,0.051878,0.052047
0.998912,0.046638,0.046689
0.998912,0.046638,0.046689
0.998912,0.046638,0.046689
0.998912,0.046638,0.046689
0.998912,0.046638,0.046689
0.998455,0.054612,0.054696
0.997796,0.066352,0.066499
0.997796,0.066352,0.066499
0.997796,0.066352,0.066499
0.997796,0.066352,0.066499
0.997796,0.066352,0.066499
0.996899,0.075793,0.076028
0.995809,0.091456,0.091841
0.995809,0.091456,0.091841
0.995809,0.091456,0.091841
0.995809,0.091456,0.091841
0.995809,0.091456,0.091841
0.999063,0.022559,0.022581
0.999877,0.015658,0.015659
0.999877,0.015658,0.015659
0.999877,0.015658,0.015659
0.999877,0.015658,0.015659
0.999877,0.015658,0.015659
0.999877,0.015658,0.015659
0.999877,0.015658,0.015659
0.999877,0.015658,0.015659
0.999877,0.015658,0.015659
0.999877,0.015658,0.015659
0.999877,0.015658,0.015659
0.998956,0.013535,0.013549
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.999988,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.999627,0.018289,0.018296
0.999177,0.040554,0.040588
0.999177,0.040554,0.040588
0.999177,0.040554,0.040588
0.999177,0.040554,0.040588
0.999177,0.040554,0.040588
0.999177,0.040554,0.040588
0.999177,0.040554,0.040588
