dh,dz,slope
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.984311,0.141195,0.143445
0.983254,0.182242,0.185345
0.983723,0.176564,0.179485
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.999167,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.997375,-0.046749,-0.046871
0.995552,-0.094218,-0.094639
0.995552,-0.094218,-0.094639
0.995552,-0.094218,-0.094639
0.995552,-0.094218,-0.094639
0.993008,-0.041281,-0.041572
0.982666,0.185386,0.188656
0.982666,0.185386,0.188656
0.982666,0.185386,0.188656
0.982666,0.185386,0.188656
0.982666,0.185386,0.188656
0.990362,0.110963,0.112043
0.995778,0.091794,0.092183
0.995778,0.091794,0.092183
0.995778,0.091794,0.092183
0.995778,0.091794,0.092183
0.992716,0.053266,0.053657
0.999822,-0.018859,-0.018862
0.999822,-0.018859,-0.018862
0.999822,-0.018859,-0.018862
0.999822,-0.018859,-0.018862
0.999822,-0.018859,-0.018862
0.999822,-0.018859,-0.018862
0.999822,-0.018859,-0.018862
0.999822,-0.018859,-0.018862
0.999822,-0.018859,-0.018862
0.999822,-0.018859,-0.018862
0.999822,-0.018859,-0.018862
0.999822,-0.018859,-0.018862
0.999822,-0.018859,-0.018862
