dh,dz,slope
0.982323,0.187196,0.190564
0.974404,0.003493,0.003584
0.999950,-0.009995,-0.009996
0.999950,-0.009995,-0.009996
0.999950,-0.009995,-0.009996
0.999950,-0.009995,-0.009996
0.999950,-0.009995,-0.009996
0.999950,-0.009995,-0.009996
0.999950,-0.009995,-0.009996
0.999950,-0.009995,-0.009996
0.999950,-0.009995,-0.009996
0.998529,-0.003192,-0.003197
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.999996,-0.002654,-0.002654
0.981797,-0.000558,-0.000568
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.999982,0.005967,0.005967
0.986202,0.000893,0.000906
0.999985,-0.005453,-0.005453
0.999985,-0.005453,-0.005453
0.999985,-0.005453,-0.005453
0.999985,-0.005453,-0.005453
0.999985,-0.005453,-0.005453
0.999985,-0.005453,-0.005453
