dh,dz,slope
0.137543,-0.078217,-0.568668
0.223420,0.078217,0.350089
0.394187,0.149178,0.378444
0.098786,0.232704,2.355627
0.355487,-0.180173,-0.506833
0.991062,0.078436,0.079143
0.997182,-0.075016,-0.075228
0.996545,0.072759,0.073011
0.985220,0.022112,0.022444
0.995187,0.000000,0.000000
0.985066,0.012434,0.012622
0.996804,0.079890,0.080146
0.996233,-0.057870,-0.058088
0.990837,-0.034454,-0.034773
1.000000,0.000000,0.000000
0.999936,0.000000,0.000000
1.000000,0.000000,0.000000
0.986818,0.066661,0.067552
0.961734,0.003898,0.004053
0.950434,-0.254457,-0.267726
0.997497,0.070704,0.070881
0.997393,0.013193,0.013228
0.999504,0.000000,0.000000
1.000000,0.000000,0.000000
0.998635,0.037430,0.037481
0.997730,0.062570,0.062713
0.999993,0.000000,0.000000
1.000000,0.000000,0.000000
0.983759,0.164412,0.167127
0.993175,-0.019935,-0.020072
0.994261,-0.044478,-0.044734
0.998429,0.000000,0.000000
1.000000,0.000000,0.000000
0.989677,-0.130447,-0.131807
0.974067,-0.032047,-0.032900
0.996853,0.062493,0.062691
1.000000,0.000000,0.000000
0.994253,-0.031012,-0.031191
0.998182,-0.060277,-0.060386
0.972113,0.205903,0.211810
0.980938,0.011952,0.012184
0.979214,-0.093191,-0.095169
0.988207,0.066625,0.067420
0.999730,0.000000,0.000000
1.000000,0.000000,0.000000
0.996940,0.000000,0.000000
1.000000,0.000000,0.000000
0.986625,-0.135958,-0.137801
0.976455,-0.190416,-0.195007
0.970630,0.091205,0.093964
0.989794,-0.031821,-0.032149
0.994602,-0.093740,-0.094249
0.994383,-0.105842,-0.106440
0.997293,-0.000305,-0.000306
0.998827,0.048413,0.048470
0.996331,0.018465,0.018532
1.000000,0.000000,0.000000
0.997325,-0.047718,-0.047846
0.998012,-0.052282,-0.052386
0.998590,0.018461,0.018487
0.996804,0.079890,0.080146
0.999898,0.001649,0.001649
0.995550,-0.052129,-0.052362
0.995653,-0.007842,-0.007877
0.990830,0.135112,0.136362
0.996342,0.024860,0.024951
0.997514,-0.016902,-0.016945
0.993470,-0.114091,-0.114841
0.995882,-0.069006,-0.069291
1.000000,0.000000,0.000000
0.991203,0.000000,0.000000
0.998343,0.031470,0.031522
0.997514,0.068530,0.068701
1.000000,0.000000,0.000000
0.993515,-0.030570,-0.030770
0.997957,-0.063885,-0.064016
0.997807,0.047337,0.047441
0.996936,0.057262,0.057438
0.998517,0.054447,0.054528
0.998309,0.017064,0.017093
0.998623,-0.052468,-0.052540
0.989222,-0.078511,-0.079367
0.993803,-0.111160,-0.111853
0.995704,0.008834,0.008872
0.989745,0.072199,0.072947
0.997822,0.065970,0.066114
0.985804,-0.032871,-0.033344
0.998233,-0.053647,-0.053742
1.000000,0.000000,0.000000
0.998074,0.049863,0.049959
0.997229,0.050137,0.050277
0.997836,-0.010558,-0.010580
0.998709,-0.050796,-0.050862
0.997060,-0.011772,-0.011807
0.993668,0.112356,0.113072
0.994650,0.060770,0.061097
1.000000,0.000000,0.000000
0.999442,0.000000,0.000000
1.000000,0.000000,0.000000
0.999696,0.000000,0.000000
0.997636,-0.022947,-0.023001
0.991371,-0.131087,-0.132228
0.993537,0.002364,0.002380
0.997483,0.069971,0.070148
0.998207,0.059850,0.059957
0.992856,0.021848,0.022006
1.000000,0.000000,0.000000
0.998784,-0.045288,-0.045343
0.998928,-0.046284,-0.046334
0.998698,0.034073,0.034118
0.998649,0.051963,0.052033
0.995907,-0.040801,-0.040969
0.998654,-0.051862,-0.051932
0.988131,0.098199,0.099378
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.997322,-0.031814,-0.031900
0.999359,-0.035803,-0.035826
0.995650,-0.032383,-0.032524
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.896024,0.000000,0.000000
0.913348,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.967865,0.000000,0.000000
1.000000,0.000000,0.000000
0.995479,-0.047631,-0.047847
0.982872,-0.013854,-0.014095
0.982779,0.149983,0.152611
0.996447,-0.084217,-0.084517
0.992154,-0.004282,-0.004316
0.883165,0.018589,0.021048
0.986809,0.081411,0.082499
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.998075,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.999535,-0.013138,-0.013144
0.998972,-0.045331,-0.045378
0.998972,-0.045331,-0.045378
0.998972,-0.045331,-0.045378
0.998972,-0.045331,-0.045378
0.998690,0.039888,0.039940
0.998660,0.051747,0.051816
0.998660,0.051747,0.051816
0.998677,0.051081,0.051148
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.994922,-0.073886,-0.074263
0.996861,-0.079176,-0.079426
0.996219,-0.086415,-0.086743
0.995289,-0.096954,-0.097413
0.994648,-0.079855,-0.080285
0.998881,-0.047297,-0.047350
0.981868,-0.071386,-0.072704
0.988380,-0.152000,-0.153787
0.988720,-0.122597,-0.123995
0.999304,-0.037314,-0.037340
0.999304,-0.037314,-0.037340
0.997523,-0.060749,-0.060900
0.996956,-0.077972,-0.078210
0.996866,-0.078249,-0.078495
0.994755,-0.102285,-0.102825
0.994755,-0.102285,-0.102825
0.994562,-0.101472,-0.102027
0.995767,-0.091916,-0.092307
0.995767,-0.091916,-0.092307
0.966116,-0.251190,-0.259999
0.962465,-0.270080,-0.280612
0.950410,-0.310998,-0.327225
0.975448,-0.209798,-0.215079
0.977289,-0.192478,-0.196951
0.981717,-0.166730,-0.169835
0.998425,0.056095,0.056183
0.994829,-0.016335,-0.016420
0.988939,-0.148320,-0.149978
0.983815,-0.083193,-0.084561
0.998845,0.048040,0.048096
0.998630,0.036026,0.036076
1.000000,0.000000,0.000000
0.999502,0.018864,0.018873
0.998607,0.052765,0.052838
0.994424,-0.019229,-0.019337
0.994685,-0.102962,-0.103512
0.992793,-0.000820,-0.000826
0.995617,0.093523,0.093935
0.996497,0.057859,0.058062
1.000000,0.000000,0.000000
0.999535,0.000000,0.000000
1.000000,0.000000,0.000000
0.998817,-0.008924,-0.008934
0.994437,-0.105336,-0.105926
0.993758,-0.063360,-0.063758
0.992738,0.120295,0.121175
0.993410,0.029673,0.029870
0.998604,-0.052827,-0.052900
0.997300,0.017819,0.017868
0.998245,0.059226,0.059330
0.997817,-0.053333,-0.053449
0.998520,-0.043234,-0.043298
1.000000,0.000000,0.000000
0.996124,0.058522,0.058750
0.994983,0.100047,0.100552
0.993960,0.014932,0.015022
0.998977,-0.045229,-0.045275
0.998875,-0.009291,-0.009301
0.998717,0.050632,0.050697
0.994768,0.055047,0.055336
0.998096,0.061673,0.061791
0.997795,-0.038711,-0.038797
0.998158,-0.047623,-0.047711
1.000000,0.000000,0.000000
0.996572,0.000000,0.000000
0.999978,0.000000,0.000000
1.000000,0.000000,0.000000
0.996351,0.052800,0.052993
0.991502,0.130093,0.131208
0.998199,0.017108,0.017138
0.999824,0.000000,0.000000
0.998865,0.024463,0.024491
0.996345,0.075537,0.075814
