dh,dz,slope
0.997818,-0.066019,-0.066163
0.997818,-0.066019,-0.066163
0.997818,-0.066019,-0.066163
0.997818,-0.066019,-0.066163
0.997818,-0.066019,-0.066163
0.997818,-0.066019,-0.066163
0.997818,-0.066019,-0.066163
0.897061,-0.037869,-0.042214
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.991627,-0.004501,-0.004539
0.999716,-0.023813,-0.023820
0.999716,-0.023813,-0.023820
0.999716,-0.023813,-0.023820
0.999716,-0.023813,-0.023820
0.999716,-0.023813,-0.023820
0.999716,-0.023813,-0.023820
0.999716,-0.023813,-0.023820
0.999716,-0.023813,-0.023820
0.999716,-0.023813,-0.023820
0.999716,-0.023813,-0.023820
0.999716,-0.023813,-0.023820
0.999716,-0.023813,-0.023820
0.999716,-0.023813,-0.023820
0.999716,-0.023813,-0.023820
0.999716,-0.023813,-0.023820
0.999716,-0.023813,-0.023820
0.992283,0.026102,0.026305
0.994605,0.103736,0.104298
0.994605,0.103736,0.104298
0.994605,0.103736,0.104298
0.641991,0.048197,0.075074
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.998514,-0.001194,-0.001196
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.998653,-0.051891,-0.051961
0.997294,-0.049639,-0.049774
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.995471,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.995202,-0.003262,-0.003278
0.999404,-0.034508,-0.034528
0.999404,-0.034508,-0.034528
0.999404,-0.034508,-0.034528
0.999404,-0.034508,-0.034528
0.999404,-0.034508,-0.034528
0.999404,-0.034508,-0.034528
0.999404,-0.034508,-0.034528
0.999404,-0.034508,-0.034528
0.999404,-0.034508,-0.034528
0.999404,-0.034508,-0.034528
0.999404,-0.034508,-0.034528
0.999404,-0.034508,-0.034528
0.999404,-0.034508,-0.034528
0.999404,-0.034508,-0.034528
0.989205,-0.057227,-0.057851
0.997400,-0.072062,-0.072250
0.997400,-0.072062,-0.072250
0.997400,-0.072062,-0.072250
0.997400,-0.072062,-0.072250
0.997400,-0.072062,-0.072250
0.997400,-0.072062,-0.072250
0.977344,0.110937,0.113508
0.979282,0.202500,0.206784
0.979282,0.202500,0.206784
0.979282,0.202500,0.206784
0.979282,0.202500,0.206784
0.924053,-0.099501,-0.107679
0.977225,-0.212204,-0.217149
0.977225,-0.212204,-0.217149
0.977225,-0.212204,-0.217149
0.977225,-0.212204,-0.217149
0.977225,-0.212204,-0.217149
0.977225,-0.212204,-0.217149
0.982299,-0.130274,-0.132621
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.996122,-0.087984,-0.088326
0.998880,-0.027056,-0.027086
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.999887,-0.015065,-0.015066
0.979257,-0.005344,-0.005457
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.999837,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.603097,-0.067152,-0.111345
0.979957,-0.199208,-0.203282
0.979957,-0.199208,-0.203282
0.991255,0.030979,0.031252
0.996868,0.079079,0.079327
0.996868,0.079079,0.079327
0.996868,0.079079,0.079327
0.996868,0.079079,0.079327
0.996868,0.079079,0.079327
0.085475,0.039195,0.458545
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.997653,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.987949,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.999858,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.989878,-0.034311,-0.034662
0.997487,-0.070855,-0.071034
0.997487,-0.070855,-0.071034
0.997487,-0.070855,-0.071034
0.997487,-0.070855,-0.071034
0.997487,-0.070855,-0.071034
0.997487,-0.070855,-0.071034
0.997487,-0.070855,-0.071034
0.997487,-0.070855,-0.071034
0.997487,-0.070855,-0.071034
0.997487,-0.070855,-0.071034
0.997487,-0.070855,-0.071034
0.997487,-0.070855,-0.071034
0.997487,-0.070855,-0.071034
0.998419,-0.044571,-0.044642
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.961068,-0.005965,-0.006206
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.999797,-0.020132,-0.020136
0.975556,-0.010861,-0.011133
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.995364,-0.002943,-0.002957
0.998962,-0.045550,-0.045597
0.998962,-0.045550,-0.045597
0.998962,-0.045550,-0.045597
0.998962,-0.045550,-0.045597
0.998962,-0.045550,-0.045597
0.998962,-0.045550,-0.045597
0.998962,-0.045550,-0.045597
0.998962,-0.045550,-0.045597
0.961432,-0.032658,-0.033968
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.987052,-0.003651,-0.003699
0.996188,-0.087235,-0.087569
0.996188,-0.087235,-0.087569
0.996188,-0.087235,-0.087569
0.996188,-0.087235,-0.087569
0.996188,-0.087235,-0.087569
0.996188,-0.087235,-0.087569
0.996188,-0.087235,-0.087569
0.996188,-0.087235,-0.087569
0.996188,-0.087235,-0.087569
0.996188,-0.087235,-0.087569
0.996188,-0.087235,-0.087569
0.998062,-0.036763,-0.036834
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
