dh,dz,slope
0.998574,-0.053390,-0.053466
0.998574,-0.053390,-0.053466
0.998574,-0.053390,-0.053466
0.968755,-0.025277,-0.026092
0.998357,0.057293,0.057387
0.998357,0.057293,0.057387
0.998357,0.057293,0.057387
0.783863,0.013569,0.017311
0.977124,0.040364,0.041309
0.997182,0.075017,0.075229
0.997182,0.075017,0.075229
0.997182,0.075017,0.075229
0.997182,0.075017,0.075229
0.997182,0.075017,0.075229
0.997182,0.075017,0.075229
0.981103,0.006841,0.006973
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.999995,-0.003086,-0.003086
0.701974,-0.006466,-0.009212
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
0.999947,-0.010343,-0.010343
