dh,dz,slope
0.778918,-0.627125,-0.805122
0.778918,-0.627125,-0.805122
0.778918,-0.627125,-0.805122
0.778918,-0.627125,-0.805122
0.711830,-0.604251,-0.848869
0.820944,-0.571009,-0.695551
0.893884,-0.156238,-0.174786
0.983211,-0.041471,-0.042179
0.861391,-0.507943,-0.589677
0.737379,-0.234077,-0.317444
0.389774,0.920910,2.362669
0.496020,-0.141612,-0.285496
0.978559,-0.205965,-0.210478
0.978559,-0.205965,-0.210478
0.978559,-0.205965,-0.210478
0.978559,-0.205965,-0.210478
0.851754,-0.068223,-0.080097
0.984153,0.177321,0.180176
0.984153,0.177321,0.180176
0.984153,0.177321,0.180176
0.984153,0.177321,0.180176
0.984153,0.177321,0.180176
0.984153,0.177321,0.180176
0.984153,0.177321,0.180176
0.984153,0.177321,0.180176
0.984153,0.177321,0.180176
0.984153,0.177321,0.180176
0.984153,0.177321,0.180176
0.984153,0.177321,0.180176
0.984153,0.177321,0.180176
0.992979,0.081640,0.082217
0.998120,0.061291,0.061406
0.998120,0.061291,0.061406
0.998120,0.061291,0.061406
0.998120,0.061291,0.061406
0.998120,0.061291,0.061406
0.998120,0.061291,0.061406
0.998120,0.061291,0.061406
0.998120,0.061291,0.061406
0.998120,0.061291,0.061406
0.998120,0.061291,0.061406
0.998120,0.061291,0.061406
0.998120,0.061291,0.061406
0.998120,0.061291,0.061406
0.998120,0.061291,0.061406
0.968419,0.065796,0.067942
0.996015,0.089185,0.089542
0.996015,0.089185,0.089542
0.996015,0.089185,0.089542
0.996015,0.089185,0.089542
0.996015,0.089185,0.089542
0.996015,0.089185,0.089542
0.996015,0.089185,0.089542
0.996015,0.089185,0.089542
0.996015,0.089185,0.089542
0.996015,0.089185,0.089542
0.978240,0.075346,0.077022
0.998522,0.054358,0.054438
0.998522,0.054358,0.054438
0.998522,0.054358,0.054438
0.998522,0.054358,0.054438
0.998522,0.054358,0.054438
0.998522,0.054358,0.054438
0.998522,0.054358,0.054438
0.998522,0.054358,0.054438
0.998522,0.054358,0.054438
0.998522,0.054358,0.054438
0.998522,0.054358,0.054438
0.998522,0.054358,0.054438
0.998522,0.054358,0.054438
0.998522,0.054358,0.054438
0.998522,0.054358,0.054438
0.998522,0.054358,0.054438
0.998522,0.054358,0.054438
0.984792,-0.004791,-0.004865
0.999663,-0.025944,-0.025953
0.999663,-0.025944,-0.025953
0.999663,-0.025944,-0.025953
0.999663,-0.025944,-0.025953
0.999663,-0.025944,-0.025953
0.999663,-0.025944,-0.025953
0.999663,-0.025944,-0.025953
0.999663,-0.025944,-0.025953
0.999663,-0.025944,-0.025953
0.999663,-0.025944,-0.025953
0.999663,-0.025944,-0.025953
0.999663,-0.025944,-0.025953
0.999663,-0.025944,-0.025953
0.999663,-0.025944,-0.025953
0.999663,-0.025944,-0.025953
0.999663,-0.025944,-0.025953
0.999663,-0.025944,-0.025953
0.985408,0.059864,0.060750
0.941013,0.338370,0.359580
0.941013,0.338370,0.359580
0.941013,0.338370,0.359580
0.941013,0.338370,0.359580
0.941013,0.338370,0.359580
0.941013,0.338370,0.359580
0.941013,0.338370,0.359580
0.941013,0.338370,0.359580
0.941013,0.338370,0.359580
0.941013,0.338370,0.359580
0.941013,0.338370,0.359580
0.941013,0.338370,0.359580
0.941013,0.338370,0.359580
0.935553,0.340858,0.364338
0.887534,0.460743,0.519127
