dh,dz,slope
0.980709,-0.195473,-0.199318
0.998669,-0.043559,-0.043617
0.999201,-0.039957,-0.039989
0.999201,-0.039957,-0.039989
0.999201,-0.039957,-0.039989
0.999201,-0.039957,-0.039989
0.994147,-0.047660,-0.047941
0.998853,-0.047886,-0.047941
0.998853,-0.047886,-0.047941
0.998853,-0.047886,-0.047941
0.998853,-0.047886,-0.047941
0.998853,-0.047886,-0.047941
0.998853,-0.047886,-0.047941
0.998853,-0.047886,-0.047941
0.975858,-0.018275,-0.018728
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.985681,-0.011227,-0.011390
0.999640,-0.026839,-0.026849
0.999640,-0.026839,-0.026849
0.999640,-0.026839,-0.026849
0.999640,-0.026839,-0.026849
0.999640,-0.026839,-0.026849
0.999640,-0.026839,-0.026849
0.999640,-0.026839,-0.026849
0.995214,-0.000900,-0.000905
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.998258,-0.034780,-0.034841
0.999342,-0.036283,-0.036307
0.999342,-0.036283,-0.036307
0.999342,-0.036283,-0.036307
0.999342,-0.036283,-0.036307
0.999634,-0.020089,-0.020096
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.836834,0.024924,0.029784
0.990830,0.135112,0.136362
0.961370,0.144225,0.150020
0.990521,0.114939,0.116039
0.998523,0.054338,0.054418
0.998523,0.054338,0.054418
0.998523,0.054338,0.054418
0.506503,-0.031284,-0.061765
0.997336,-0.072951,-0.073146
0.997336,-0.072951,-0.073146
0.992229,-0.116295,-0.117206
0.992834,-0.119503,-0.120365
0.992834,-0.119503,-0.120365
0.992834,-0.119503,-0.120365
0.992834,-0.119503,-0.120365
0.992834,-0.119503,-0.120365
0.993207,-0.114055,-0.114835
0.995334,-0.096487,-0.096939
0.995334,-0.096487,-0.096939
0.995334,-0.096487,-0.096939
0.995324,-0.096482,-0.096935
0.995340,-0.096431,-0.096882
0.995340,-0.096431,-0.096882
0.995340,-0.096431,-0.096882
0.995340,-0.096431,-0.096882
0.995340,-0.096431,-0.096882
0.995340,-0.096431,-0.096882
0.995340,-0.096431,-0.096882
0.995340,-0.096431,-0.096882
0.995340,-0.096431,-0.096882
0.995340,-0.096431,-0.096882
0.995340,-0.096431,-0.096882
0.995340,-0.096431,-0.096882
0.997016,-0.060317,-0.060498
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999175,-0.040603,-0.040637
0.999930,-0.002277,-0.002277
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.996791,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
