dh,dz,slope
0.876001,-0.482310,-0.550581
0.876001,-0.482310,-0.550581
0.876001,-0.482310,-0.550581
0.876001,-0.482310,-0.550581
0.876001,-0.482310,-0.550581
0.876001,-0.482310,-0.550581
0.876001,-0.482310,-0.550581
0.853576,-0.393682,-0.461215
0.968594,0.248649,0.256711
0.968594,0.248649,0.256711
0.968594,0.248649,0.256711
0.968594,0.248649,0.256711
0.968594,0.248649,0.256711
0.968594,0.248649,0.256711
0.968594,0.248649,0.256711
0.968594,0.248649,0.256711
0.968594,0.248649,0.256711
0.968594,0.248649,0.256711
0.968594,0.248649,0.256711
0.959816,0.108933,0.113494
0.998416,-0.056262,-0.056351
0.998416,-0.056262,-0.056351
0.998416,-0.056262,-0.056351
0.998416,-0.056262,-0.056351
0.998416,-0.056262,-0.056351
0.998416,-0.056262,-0.056351
0.998416,-0.056262,-0.056351
0.998416,-0.056262,-0.056351
0.780592,0.259263,0.332136
0.868258,0.496114,0.571389
0.868258,0.496114,0.571389
0.942507,-0.065502,-0.069498
0.967355,-0.253426,-0.261978
0.967355,-0.253426,-0.261978
0.967355,-0.253426,-0.261978
0.967355,-0.253426,-0.261978
0.974220,-0.196408,-0.201605
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.996183,0.024183,0.024276
0.999209,0.039765,0.039796
0.999209,0.039765,0.039796
0.999209,0.039765,0.039796
0.999209,0.039765,0.039796
0.999209,0.039765,0.039796
0.999209,0.039765,0.039796
0.999209,0.039765,0.039796
0.999209,0.039765,0.039796
0.999209,0.039765,0.039796
0.999209,0.039765,0.039796
0.999209,0.039765,0.039796
0.972400,0.038401,0.039491
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.979738,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.994103,-0.002104,-0.002117
0.999643,-0.026725,-0.026734
0.999643,-0.026725,-0.026734
0.999643,-0.026725,-0.026734
0.999643,-0.026725,-0.026734
0.999643,-0.026725,-0.026734
0.999643,-0.026725,-0.026734
0.999643,-0.026725,-0.026734
0.999643,-0.026725,-0.026734
0.999643,-0.026725,-0.026734
0.999643,-0.026725,-0.026734
0.999643,-0.026725,-0.026734
0.999643,-0.026725,-0.026734
0.999643,-0.026725,-0.026734
0.999643,-0.026725,-0.026734
0.999643,-0.026725,-0.026734
0.999643,-0.026725,-0.026734
0.999643,-0.026725,-0.026734
0.999643,-0.026725,-0.026734
0.972682,0.112893,0.116064
0.936319,0.351151,0.375033
0.936319,0.351151,0.375033
0.936319,0.351151,0.375033
0.936319,0.351151,0.375033
0.936319,0.351151,0.375033
0.926815,-0.315881,-0.340824
0.938744,-0.344614,-0.367101
0.938744,-0.344614,-0.367101
0.938744,-0.344614,-0.367101
0.988472,-0.035775,-0.036192
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
