dh,dz,slope
4.453100,0.400000,0.089825
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.927277,-0.489289,-0.099302
4.005882,-0.410711,-0.102527
5.000000,0.000000,0.000000
4.999035,-0.085030,-0.017009
4.999027,-0.098604,-0.019725
4.999027,-0.098604,-0.019725
4.999027,-0.098604,-0.019725
4.999027,-0.098604,-0.019725
4.915677,0.048349,0.009836
4.999242,0.087050,0.017413
4.999242,0.087050,0.017413
4.999242,0.087050,0.017413
4.999242,0.087050,0.017413
4.989372,0.126538,0.025361
4.908304,0.844325,0.172020
4.996469,-0.187868,-0.037600
4.996469,-0.187868,-0.037600
4.377778,-0.055099,-0.012586
4.928063,-0.845101,-0.171487
4.928063,-0.845101,-0.171487
4.921988,-0.868471,-0.176447
4.860598,-1.099746,-0.226257
4.872318,-1.094610,-0.224659
4.949339,0.709958,0.143445
4.911686,0.630641,0.128396
4.725175,-1.634845,-0.345986
4.932930,0.315158,0.063889
4.963587,0.602329,0.121350
4.963587,0.602329,0.121350
4.963587,0.602329,0.121350
4.975242,-0.258514,-0.051960
4.993267,-0.214234,-0.042905
4.999406,-0.077078,-0.015417
4.999406,-0.077078,-0.015417
4.999406,-0.077078,-0.015417
4.999406,-0.077078,-0.015417
4.999406,-0.077078,-0.015417
4.996923,-0.073860,-0.014781
5.000000,0.000000,0.000000
4.893116,0.000000,0.000000
5.000000,0.000000,0.000000
3.766775,0.200999,0.053361
4.986307,0.369795,0.074162
4.986307,0.369795,0.074162
4.986307,0.369795,0.074162
4.866586,-0.408969,-0.084036
4.943022,-0.099822,-0.020194
4.939839,0.773298,0.156543
4.911839,-0.275151,-0.056018
4.807481,-0.299740,-0.062349
4.996536,0.014898,0.002982
4.999572,0.065401,0.013081
4.999572,0.065401,0.013081
4.999572,0.065401,0.013081
4.999572,0.065401,0.013081
4.999572,0.065401,0.013081
4.951482,0.068557,0.013846
4.999123,0.093667,0.018737
4.999123,0.093667,0.018737
4.999123,0.093667,0.018737
4.999123,0.093667,0.018737
4.999123,0.093667,0.018737
4.900991,-0.447885,-0.091387
4.997997,0.141499,0.028311
4.997997,0.141499,0.028311
4.997997,0.141499,0.028311
4.964566,-0.371545,-0.074839
4.910869,-0.427607,-0.087074
4.992372,0.276081,0.055301
4.997216,0.067668,0.013541
5.000000,0.000000,0.000000
4.996213,0.032565,0.006518
4.997078,0.170909,0.034202
4.997078,0.170909,0.034202
4.997078,0.170909,0.034202
4.997078,0.170909,0.034202
4.997078,0.170909,0.034202
4.913911,0.112889,0.022973
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.927277,0.151753,0.030799
4.996945,0.174740,0.034969
4.996945,0.174740,0.034969
4.996945,0.174740,0.034969
4.996945,0.174740,0.034969
4.687949,0.090254,0.019252
4.983550,-0.405256,-0.081319
4.983550,-0.405256,-0.081319
4.986894,-0.014175,-0.002842
4.997058,0.171483,0.034317
4.997058,0.171483,0.034317
4.997058,0.171483,0.034317
4.997058,0.171483,0.034317
4.997058,0.171483,0.034317
4.987726,-0.289844,-0.058112
4.986035,-0.373432,-0.074895
4.986035,-0.373432,-0.074895
4.986035,-0.373432,-0.074895
4.986035,-0.373432,-0.074895
4.991196,-0.190125,-0.038092
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.996111,0.028175,0.005639
4.940521,0.768925,0.155636
4.970120,-0.066757,-0.013432
4.986563,-0.366318,-0.073461
4.986563,-0.366318,-0.073461
4.986563,-0.366318,-0.073461
4.986563,-0.366318,-0.073461
4.990544,-0.251879,-0.050471
4.997503,-0.158011,-0.031618
4.997503,-0.158011,-0.031618
4.996472,-0.059212,-0.011851
4.999028,0.098580,0.019720
4.999028,0.098580,0.019720
4.999028,0.098580,0.019720
4.999028,0.098580,0.019720
4.998011,0.012674,0.002536
4.996906,-0.175865,-0.035195
4.996906,-0.175865,-0.035195
4.996906,-0.175865,-0.035195
4.996906,-0.175865,-0.035195
4.996906,-0.175865,-0.035195
4.995422,0.070125,0.014038
4.995307,0.216575,0.043356
4.995307,0.216575,0.043356
4.995307,0.216575,0.043356
4.995106,0.213273,0.042696
4.998271,-0.131455,-0.026300
4.998271,-0.131455,-0.026300
4.998271,-0.131455,-0.026300
4.986466,-0.247185,-0.049571
4.951667,-0.693538,-0.140061
4.951667,-0.693538,-0.140061
4.971883,-0.291692,-0.058668
4.997170,0.168200,0.033659
4.997170,0.168200,0.033659
4.997170,0.168200,0.033659
4.997170,0.168200,0.033659
4.997170,0.168200,0.033659
4.976524,0.412222,0.082833
4.995286,0.013246,0.002652
4.999619,-0.061724,-0.012346
4.999619,-0.061724,-0.012346
4.999619,-0.061724,-0.012346
4.999619,-0.061724,-0.012346
4.999619,-0.061724,-0.012346
4.988684,-0.247264,-0.049565
4.973731,-0.511864,-0.102913
4.309267,-0.139041,-0.032265
4.990919,0.301207,0.060351
4.921442,-0.000921,-0.000187
4.999405,-0.077140,-0.015430
4.999405,-0.077140,-0.015430
4.999405,-0.077140,-0.015430
4.999405,-0.077140,-0.015430
4.999405,-0.077140,-0.015430
4.459179,-1.052699,-0.236075
4.999992,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.996655,0.014369,0.002876
4.996100,0.197439,0.039519
4.996100,0.197439,0.039519
4.996100,0.197439,0.039519
4.996100,0.197439,0.039519
4.996062,0.194457,0.038922
4.996795,-0.178998,-0.035823
4.996795,-0.178998,-0.035823
4.996795,-0.178998,-0.035823
4.996795,-0.178998,-0.035823
4.996795,-0.178998,-0.035823
4.994048,-0.103590,-0.020743
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.999767,0.008992,0.001798
4.997549,0.156556,0.031327
4.997549,0.156556,0.031327
4.997549,0.156556,0.031327
4.999135,0.021341,0.004269
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.986138,-0.141217,-0.028322
4.967539,-0.242611,-0.048839
4.995193,0.219198,0.043882
4.995193,0.219198,0.043882
4.995193,0.219198,0.043882
4.995193,0.219198,0.043882
4.999084,-0.077650,-0.015533
4.999235,-0.087494,-0.017501
4.999235,-0.087494,-0.017501
4.999235,-0.087494,-0.017501
4.999235,-0.087494,-0.017501
4.985683,-0.065339,-0.013105
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.978412,-0.121561,-0.024418
4.988021,-0.345901,-0.069346
4.988021,-0.345901,-0.069346
4.985557,0.078681,0.015782
4.995133,0.220560,0.044155
4.995133,0.220560,0.044155
4.995133,0.220560,0.044155
4.995133,0.220560,0.044155
4.995133,0.220560,0.044155
4.901737,0.038747,0.007905
4.994631,-0.231650,-0.046380
4.764118,-0.175214,-0.036778
5.000000,0.000000,0.000000
4.891473,-0.101295,-0.020708
4.997849,-0.146661,-0.029345
4.997849,-0.146661,-0.029345
4.997849,-0.146661,-0.029345
4.997849,-0.146661,-0.029345
4.997849,-0.146661,-0.029345
4.667923,-0.123236,-0.026401
4.998910,-0.104385,-0.020881
4.998910,-0.104385,-0.020881
4.998910,-0.104385,-0.020881
4.998910,-0.104385,-0.020881
4.995536,-0.153458,-0.030719
4.997156,-0.168608,-0.033741
4.997156,-0.168608,-0.033741
4.997156,-0.168608,-0.033741
4.997156,-0.168608,-0.033741
4.997156,-0.168608,-0.033741
4.962080,-0.105474,-0.021256
4.999138,-0.092834,-0.018570
4.999138,-0.092834,-0.018570
4.999138,-0.092834,-0.018570
4.999138,-0.092834,-0.018570
4.984776,-0.020859,-0.004184
4.999537,0.068093,0.013620
4.999537,0.068093,0.013620
4.999537,0.068093,0.013620
4.999537,0.068093,0.013620
4.999537,0.068093,0.013620
4.999537,0.068093,0.013620
4.963019,0.060985,0.012288
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.999742,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.952185,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.924929,-0.018283,-0.003712
4.999470,-0.072837,-0.014569
4.999470,-0.072837,-0.014569
4.999470,-0.072837,-0.014569
4.999470,-0.072837,-0.014569
4.999470,-0.072837,-0.014569
4.999470,-0.072837,-0.014569
4.981059,-0.068634,-0.013779
4.999616,-0.061960,-0.012393
4.999616,-0.061960,-0.012393
4.999616,-0.061960,-0.012393
4.999616,-0.061960,-0.012393
4.999616,-0.061960,-0.012393
4.999616,-0.061960,-0.012393
4.999616,-0.061960,-0.012393
4.997262,0.042196,0.008444
4.992866,0.267011,0.053479
4.992866,0.267011,0.053479
4.992866,0.267011,0.053479
4.988437,-0.057464,-0.011519
4.990943,-0.300800,-0.060269
4.990943,-0.300800,-0.060269
4.990943,-0.300800,-0.060269
4.990943,-0.300800,-0.060269
4.997903,-0.024909,-0.004984
5.000000,0.000000,0.000000
4.999625,-0.042296,-0.008460
4.999668,-0.057607,-0.011522
4.999668,-0.057607,-0.011522
4.999668,-0.057607,-0.011522
4.999668,-0.057607,-0.011522
4.999668,-0.057607,-0.011522
4.999668,-0.057607,-0.011522
4.999668,-0.057607,-0.011522
4.999619,-0.050479,-0.010097
4.999471,0.072758,0.014553
4.999471,0.072758,0.014553
4.999471,0.072758,0.014553
4.999471,0.072758,0.014553
4.999471,0.072758,0.014553
4.999471,0.072758,0.014553
4.996956,0.046529,0.009311
4.999497,-0.070937,-0.014189
4.999497,-0.070937,-0.014189
4.999497,-0.070937,-0.014189
4.999497,-0.070937,-0.014189
4.999497,-0.070937,-0.014189
4.999497,-0.070937,-0.014189
4.998088,-0.071369,-0.014279
4.999450,-0.074161,-0.014834
4.999450,-0.074161,-0.014834
4.999450,-0.074161,-0.014834
4.999450,-0.074161,-0.014834
4.999450,-0.074161,-0.014834
4.999450,-0.074161,-0.014834
4.997351,-0.045093,-0.009023
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.999745,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.999221,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.992266,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.935493,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.971865,0.083862,0.016867
4.993378,0.257244,0.051517
4.993378,0.257244,0.051517
4.993378,0.257244,0.051517
4.972459,0.040786,0.008202
4.994416,-0.236235,-0.047300
4.994416,-0.236235,-0.047300
4.994416,-0.236235,-0.047300
4.993712,-0.134597,-0.026953
4.993329,0.258206,0.051710
4.993372,0.122475,0.024528
4.993938,-0.246133,-0.049286
4.993938,-0.246133,-0.049286
4.993938,-0.246133,-0.049286
4.993938,-0.246133,-0.049286
4.993938,-0.246133,-0.049286
4.957939,-0.203095,-0.040964
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.981581,0.000000,0.000000
5.000000,0.000000,0.000000
4.918656,-0.048066,-0.009772
4.996347,-0.191074,-0.038243
4.721661,-0.160860,-0.034068
2.489366,0.136350,0.054773
1.652182,0.263650,0.159577
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.970510,0.027869,0.005607
4.999707,0.054109,0.010822
4.999707,0.054109,0.010822
4.999707,0.054109,0.010822
4.999707,0.054109,0.010822
4.999707,0.054109,0.010822
4.999707,0.054109,0.010822
4.999707,0.054109,0.010822
4.999707,0.054109,0.010822
4.996909,-0.006100,-0.001221
4.997269,-0.165237,-0.033065
4.997269,-0.165237,-0.033065
4.997269,-0.165237,-0.033065
4.997269,-0.165237,-0.033065
4.997269,-0.165237,-0.033065
4.997269,-0.165237,-0.033065
4.997269,-0.165237,-0.033065
4.997269,-0.165237,-0.033065
4.935505,-0.032748,-0.006635
5.000000,0.000000,0.000000
