dh,dz,slope
4.557467,-2.056572,-0.451253
4.700722,-1.243428,-0.264518
4.755608,0.292578,0.061523
4.971721,0.107422,0.021607
4.569872,0.158775,0.034744
4.996236,0.193983,0.038826
4.706479,-0.191485,-0.040685
3.822981,-1.148950,-0.300538
4.987185,-0.357748,-0.071733
4.552947,-1.397244,-0.306888
4.742341,-1.584363,-0.334089
4.742341,-1.584363,-0.334089
3.311332,-3.064625,-0.925496
2.113005,-4.531579,-2.144613
2.113005,-4.531579,-2.144613
2.113005,-4.531579,-2.144613
2.113005,-4.531579,-2.144613
2.113005,-4.531579,-2.144613
2.113005,-4.531579,-2.144613
2.113005,-4.531579,-2.144613
2.113005,-4.531579,-2.144613
2.113005,-4.531579,-2.144613
1.412602,-2.579899,-1.826344
2.401324,4.385618,1.826333
2.401324,4.385618,1.826333
2.401324,4.385618,1.826333
2.401324,4.385618,1.826333
2.401324,4.385618,1.826333
2.401324,4.385618,1.826333
1.977061,4.008705,2.027606
4.937862,0.785823,0.159142
4.937862,0.785823,0.159142
4.937862,0.785823,0.159142
4.937862,0.785823,0.159142
4.937862,0.785823,0.159142
4.957622,0.388607,0.078386
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.606928,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.363029,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.749523,0.000000,0.000000
4.838878,0.724039,0.149629
4.415754,1.175961,0.266310
4.990628,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.995919,0.000000,0.000000
4.986100,0.000000,0.000000
4.900584,0.168956,0.034477
4.981271,0.343509,0.068960
4.900849,0.990797,0.202168
