dh,dz,slope
0.452016,0.892010,1.973398
0.452016,0.892010,1.973398
0.599062,-0.565229,-0.943521
0.652840,-0.718790,-1.101019
0.999977,0.000000,0.000000
1.000000,0.000000,0.000000
0.999814,0.000000,0.000000
0.977837,0.000000,0.000000
0.950893,0.184678,0.194215
0.932035,0.315322,0.338316
0.995570,-0.020214,-0.020304
0.940079,-0.340957,-0.362690
0.975419,-0.138828,-0.142327
0.981642,-0.096200,-0.097999
0.936888,-0.349631,-0.373183
0.919606,0.275724,0.299829
0.965267,0.170107,0.176227
0.996059,0.000000,0.000000
0.999659,0.000000,0.000000
1.000000,0.000000,0.000000
0.998474,0.000000,0.000000
0.999681,0.000000,0.000000
0.999637,0.000000,0.000000
0.999993,0.000000,0.000000
1.000000,0.000000,0.000000
0.999884,0.000000,0.000000
0.998837,0.000000,0.000000
0.999994,0.000000,0.000000
1.000000,0.000000,0.000000
0.999979,0.000000,0.000000
0.999975,0.000000,0.000000
0.999549,0.000000,0.000000
1.000000,0.000000,0.000000
0.993517,0.000000,0.000000
0.999343,0.000000,0.000000
0.998489,0.000000,0.000000
0.993445,0.000000,0.000000
0.993047,0.000000,0.000000
0.822965,0.000000,0.000000
0.877894,0.188476,0.214691
0.829464,0.311524,0.375572
0.815772,-0.270947,-0.332135
0.791607,0.117073,0.147892
0.912484,-0.088617,-0.097116
0.954569,-0.257509,-0.269764
1.000000,0.000000,0.000000
0.999993,0.000000,0.000000
1.000000,0.000000,0.000000
0.999618,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.987687,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.994760,0.000000,0.000000
0.789521,-0.430540,-0.545317
0.775620,0.374230,0.482490
0.871616,0.490189,0.562390
0.916928,-0.228988,-0.249734
0.963520,-0.204891,-0.212648
1.000000,0.000000,0.000000
0.976166,-0.139857,-0.143272
0.973611,-0.228214,-0.234400
0.360238,-0.131928,-0.366225
0.977151,0.130970,0.134032
0.965719,0.259589,0.268804
0.958620,0.109441,0.114165
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.999991,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.999475,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.998747,0.000000,0.000000
1.000000,0.000000,0.000000
0.934906,0.000000,0.000000
0.980648,0.000000,0.000000
0.955120,0.000000,0.000000
0.949164,0.136061,0.143348
0.796918,0.267514,0.335686
0.958009,-0.286739,-0.299307
0.958009,-0.286739,-0.299307
0.958009,-0.286739,-0.299307
0.992082,-0.043357,-0.043703
1.000000,0.000000,0.000000
0.998840,0.000000,0.000000
1.000000,0.000000,0.000000
0.992835,0.044312,0.044631
0.973187,0.230016,0.236353
0.973080,0.225672,0.231915
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.810064,0.000000,0.000000
0.648185,0.000000,0.000000
1.000000,0.000000,0.000000
0.997079,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.992247,-0.086388,-0.087063
0.984024,-0.178034,-0.180924
0.984024,-0.178034,-0.180924
0.968296,0.125278,0.129380
0.962822,0.270137,0.280567
0.992525,0.047041,0.047395
0.678795,-0.464209,-0.683872
0.916855,0.292200,0.318698
0.960565,0.172010,0.179071
0.749095,-0.423844,-0.565808
0.945604,-0.076156,-0.080537
0.895104,-0.315851,-0.352865
0.861987,0.122964,0.142652
0.888987,0.457933,0.515118
0.402578,-0.205194,-0.509699
0.331905,-0.192843,-0.581016
0.811955,-0.024225,-0.029835
0.983230,-0.182368,-0.185479
0.983298,-0.138940,-0.141299
0.983952,0.178436,0.181346
0.983952,0.178436,0.181346
0.988658,0.121651,0.123047
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.999921,0.000000,0.000000
1.000000,0.000000,0.000000
0.979503,0.139010,0.141919
0.967903,0.251325,0.259659
0.984312,0.109666,0.111413
1.000000,0.000000,0.000000
0.977688,-0.195779,-0.200246
0.975825,-0.218554,-0.223968
0.990502,-0.085668,-0.086489
1.000000,0.000000,0.000000
0.999998,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.996759,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.999599,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.982197,-0.063150,-0.064294
0.968902,-0.247445,-0.255387
0.868785,-0.189405,-0.218011
0.862907,0.056228,0.065161
0.984161,0.177279,0.180132
0.984161,0.177279,0.180132
0.952087,-0.068211,-0.071644
0.948460,-0.316898,-0.334118
0.993426,-0.025678,-0.025848
0.999267,0.000000,0.000000
0.970185,0.000000,0.000000
0.924905,0.133374,0.144203
0.953848,0.300290,0.314819
0.961065,-0.138278,-0.143880
0.964896,-0.262631,-0.272185
0.892752,0.378460,0.423925
0.882767,0.469811,0.532202
0.937853,-0.096818,-0.103233
0.957179,-0.279559,-0.292065
0.959345,0.282237,0.294198
0.954435,0.296788,0.310957
0.939828,0.341649,0.363523
0.911611,-0.199222,-0.218538
0.952526,-0.226102,-0.237370
0.935474,0.000000,0.000000
1.000000,0.000000,0.000000
0.999803,0.000000,0.000000
0.864559,0.000000,0.000000
0.822286,-0.447415,-0.544111
0.980079,-0.052585,-0.053654
0.943941,0.276306,0.292715
0.947367,0.132807,0.140186
0.967643,-0.252324,-0.260761
0.968846,-0.244525,-0.252387
0.972781,-0.231725,-0.238208
