dh,dz,slope
0.993972,-0.107973,-0.108628
0.960396,-0.126431,-0.131645
0.949477,-0.265595,-0.279728
0.996543,0.023224,0.023305
0.986878,0.161466,0.163613
0.990843,0.015310,0.015452
0.981234,0.038288,0.039020
0.996236,0.061712,0.061945
1.000000,0.000000,0.000000
0.991614,-0.039385,-0.039718
0.998207,-0.059849,-0.059957
0.970642,0.238101,0.245302
0.976090,-0.092859,-0.095133
0.979856,-0.164481,-0.167863
0.997989,-0.063394,-0.063522
0.997206,0.027186,0.027262
0.997788,0.065228,0.065373
0.997098,0.076133,0.076354
0.995462,-0.045668,-0.045876
0.992069,-0.041012,-0.041339
1.000000,0.000000,0.000000
0.999892,0.000000,0.000000
0.997387,-0.060205,-0.060363
0.998299,-0.039795,-0.039863
0.994723,0.000000,0.000000
1.000000,0.000000,0.000000
0.996875,0.034838,0.034947
0.996065,0.053876,0.054088
0.993195,-0.116459,-0.117257
0.973502,-0.096519,-0.099146
0.997955,-0.063926,-0.064057
0.994831,-0.061436,-0.061755
0.982135,-0.040770,-0.041511
0.998449,0.055682,0.055769
0.969520,0.034714,0.035806
1.000000,0.000000,0.000000
0.970140,0.030855,0.031805
0.998933,0.046180,0.046230
0.971592,0.048045,0.049450
0.998755,0.049890,0.049952
0.973119,-0.002315,-0.002378
0.998493,-0.054877,-0.054959
0.997370,-0.053948,-0.054091
0.998568,-0.053504,-0.053580
0.999714,-0.010327,-0.010330
1.000000,0.000000,0.000000
0.999986,0.000000,0.000000
1.000000,0.000000,0.000000
0.992993,0.046806,0.047136
0.997953,0.042438,0.042525
0.997953,-0.063951,-0.064082
0.994590,-0.059038,-0.059359
0.998441,-0.055823,-0.055910
0.998238,0.037726,0.037792
0.997331,0.062572,0.062740
0.996289,0.086065,0.086386
0.981895,-0.096796,-0.098580
0.995115,-0.032593,-0.032753
0.943564,-0.126363,-0.133920
0.992473,-0.041044,-0.041355
0.994390,0.084048,0.084522
0.995477,0.094457,0.094887
0.994757,0.021494,0.021608
0.992703,-0.039846,-0.040139
0.992929,-0.029987,-0.030201
0.981859,0.166538,0.169615
0.996685,-0.081357,-0.081627
0.976766,-0.091937,-0.094124
0.995053,-0.023412,-0.023528
0.998887,0.000000,0.000000
1.000000,0.000000,0.000000
0.992445,0.000000,0.000000
0.995307,-0.036345,-0.036516
0.991373,-0.063655,-0.064209
1.000000,0.000000,0.000000
