dh,dz,slope
0.349824,-0.936816,-2.677957
0.349824,-0.936816,-2.677957
0.349824,-0.936816,-2.677957
0.201875,0.391917,1.941371
0.166667,0.985938,5.915569
0.195675,0.980669,5.011700
0.195675,0.980669,5.011700
0.107912,-0.046954,-0.435105
0.069288,-0.997597,-14.397713
0.081260,0.020651,0.254130
0.058776,0.994280,16.916272
0.078768,0.809412,10.275787
0.079529,-0.995411,-12.516156
0.082569,-0.984114,-11.918535
0.044697,-0.984161,-22.018173
0.161655,0.881850,5.455103
0.000000,1.000000,1000000.000000
0.000000,0.341184,341184.434999
0.032113,-0.967887,-30.139113
0.309511,-0.600000,-1.938539
0.135676,-0.481891,-3.551743
0.080519,-0.718763,-8.926547
0.036485,-0.099346,-2.722869
0.193743,0.062851,0.324400
0.113810,0.237149,2.083709
0.257106,0.500000,1.944713
0.236070,0.510857,2.164002
0.494351,-0.210857,-0.426533
0.403920,0.222778,0.551540
0.367946,0.277222,0.753429
0.227828,0.327657,1.438169
0.123742,0.072343,0.584620
0.228823,0.329920,1.441810
0.275087,0.230187,0.836777
0.168436,0.139892,0.830532
0.624393,-0.100000,-0.160155
0.932905,-0.100000,-0.107192
0.974911,-0.026918,-0.027611
0.997528,-0.070277,-0.070451
0.995637,-0.074468,-0.074794
0.976359,-0.028337,-0.029023
0.984756,0.000000,0.000000
1.000000,0.000000,0.000000
0.997145,0.000000,0.000000
0.999145,0.016946,0.016960
0.997989,0.063394,0.063522
0.999376,0.019660,0.019672
0.999834,0.000000,0.000000
1.000000,0.000000,0.000000
0.997685,0.040218,0.040311
0.997684,0.059782,0.059921
1.000000,0.000000,0.000000
0.998802,0.036723,0.036767
0.997871,0.063277,0.063412
1.000000,0.000000,0.000000
0.996803,0.034295,0.034405
0.998009,0.063075,0.063201
0.997641,0.068196,0.068357
0.994001,0.099562,0.100163
0.991367,0.131116,0.132257
0.999638,0.003755,0.003757
0.997955,0.030699,0.030762
0.997821,0.065985,0.066129
0.997077,0.070467,0.070673
0.998629,0.032849,0.032894
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.999194,-0.025192,-0.025212
0.998140,-0.060970,-0.061083
0.997117,-0.013838,-0.013878
0.996651,0.000000,0.000000
1.000000,0.000000,0.000000
0.996542,-0.050480,-0.050655
0.983161,-0.049520,-0.050368
0.798574,0.000000,0.000000
0.993574,0.000000,0.000000
0.967792,0.049591,0.051241
0.879079,0.150409,0.171099
0.994932,0.000000,0.000000
0.999802,0.000000,0.000000
0.999111,0.000000,0.000000
0.998960,-0.016496,-0.016513
0.997843,-0.065648,-0.065790
0.994926,-0.017856,-0.017948
1.000000,0.000000,0.000000
0.999924,0.000000,0.000000
1.000000,0.000000,0.000000
0.994551,0.000000,0.000000
1.000000,0.000000,0.000000
0.998469,-0.036769,-0.036825
0.998356,-0.057326,-0.057421
0.999778,-0.005905,-0.005907
0.999957,0.000000,0.000000
1.000000,0.000000,0.000000
0.997838,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.998526,0.000000,0.000000
0.999972,0.000000,0.000000
1.000000,0.000000,0.000000
0.996807,0.000000,0.000000
0.999999,0.000000,0.000000
1.000000,0.000000,0.000000
0.997576,0.000000,0.000000
1.000000,0.000000,0.000000
0.999289,0.000000,0.000000
0.999439,0.000000,0.000000
1.000000,0.000000,0.000000
0.972721,0.000000,0.000000
0.990319,-0.016372,-0.016532
0.998141,-0.060949,-0.061063
0.995753,-0.022679,-0.022775
1.000000,0.000000,0.000000
0.999135,0.000000,0.000000
0.996089,0.000000,0.000000
1.000000,0.000000,0.000000
0.999334,0.000000,0.000000
0.999874,0.000000,0.000000
1.000000,0.000000,0.000000
0.996610,-0.016526,-0.016582
0.998693,-0.051109,-0.051176
0.970230,-0.032365,-0.033358
0.993981,0.000000,0.000000
1.000000,0.000000,0.000000
0.999536,0.000000,0.000000
1.000000,0.000000,0.000000
0.997912,0.000000,0.000000
0.992731,0.000000,0.000000
1.000000,0.000000,0.000000
0.985301,0.000000,0.000000
1.000000,0.000000,0.000000
0.801634,0.000000,0.000000
0.986391,0.000000,0.000000
0.214384,0.000000,0.000000
0.992937,0.000000,0.000000
0.994870,-0.092651,-0.093129
0.997983,-0.007349,-0.007363
0.999886,0.000000,0.000000
0.999714,0.000000,0.000000
0.999939,0.000000,0.000000
0.998213,-0.041246,-0.041320
0.996495,-0.058754,-0.058961
0.999998,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.994085,0.000000,0.000000
0.998218,0.000000,0.000000
0.999779,0.000000,0.000000
0.988807,-0.014301,-0.014463
0.997124,-0.075794,-0.076012
0.993762,-0.009905,-0.009967
0.938283,0.000000,0.000000
0.988380,0.000000,0.000000
0.999309,0.000000,0.000000
1.000000,0.000000,0.000000
0.998826,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.998870,-0.025166,-0.025194
0.997946,-0.064058,-0.064189
0.995911,-0.010777,-0.010821
0.982222,0.000000,0.000000
0.997446,0.000000,0.000000
0.999581,0.000000,0.000000
1.000000,0.000000,0.000000
0.997366,0.000000,0.000000
0.999992,0.000000,0.000000
1.000000,0.000000,0.000000
0.997832,0.000000,0.000000
0.998763,0.000000,0.000000
0.984504,0.024685,0.025073
0.994549,0.075315,0.075728
1.000000,0.000000,0.000000
0.999773,0.000000,0.000000
0.997143,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.999384,0.000000,0.000000
0.999753,0.000000,0.000000
1.000000,0.000000,0.000000
0.999960,0.000000,0.000000
0.999182,-0.015549,-0.015562
0.996499,-0.083604,-0.083898
0.997037,-0.071687,-0.071900
0.997988,-0.029159,-0.029218
0.999992,-0.000226,-0.000226
0.997727,-0.067387,-0.067541
0.996889,-0.069557,-0.069774
0.997024,-0.072082,-0.072297
0.997124,-0.075794,-0.076012
0.997382,-0.071365,-0.071553
0.989617,-0.123501,-0.124797
0.977609,-0.210429,-0.215248
0.996463,-0.075339,-0.075607
0.992305,-0.105549,-0.106367
0.987615,-0.139205,-0.140951
0.993746,-0.111664,-0.112367
0.994137,-0.107959,-0.108595
0.995047,-0.099409,-0.099903
0.994110,-0.104976,-0.105598
0.992945,-0.118577,-0.119419
0.992051,-0.123864,-0.124857
0.991820,-0.127317,-0.128367
0.991925,-0.126828,-0.127861
0.993460,-0.096289,-0.096923
0.998205,-0.059884,-0.059991
0.991339,-0.111869,-0.112846
0.990906,-0.113954,-0.115000
0.997855,-0.065463,-0.065604
0.997477,-0.069560,-0.069736
0.997486,-0.070177,-0.070354
0.997786,-0.066501,-0.066648
0.997002,-0.064803,-0.064998
