dh,dz,slope
0.417530,-0.908663,-2.176275
0.328608,-0.043724,-0.133058
0.223916,0.974608,4.352541
0.223916,0.974608,4.352541
0.635827,0.190785,0.300057
0.777219,-0.565184,-0.727187
0.621713,-0.783245,-1.259816
0.510705,-0.853485,-1.671186
0.466797,-0.884364,-1.894531
0.466797,-0.884364,-1.894531
0.812353,0.063742,0.078465
0.732083,0.584229,0.798035
0.457798,0.889056,1.942021
0.457798,0.889056,1.942021
0.773613,0.271015,0.350324
0.925311,-0.263793,-0.285086
0.684934,-0.728605,-1.063758
0.739976,-0.387795,-0.524063
0.881932,0.471376,0.534481
0.949496,-0.110346,-0.116215
0.930344,-0.056535,-0.060768
0.818208,0.574922,0.702659
0.845651,0.477354,0.564481
0.998141,-0.060949,-0.061063
0.998215,-0.029699,-0.029752
1.000000,0.000000,0.000000
0.991370,-0.118627,-0.119660
0.990994,-0.029397,-0.029664
0.991572,0.129559,0.130660
0.995897,-0.040804,-0.040972
0.991192,-0.117710,-0.118756
0.982279,-0.187427,-0.190808
0.996575,-0.035594,-0.035716
0.998530,0.000000,0.000000
1.000000,0.000000,0.000000
0.999738,0.000000,0.000000
0.998694,-0.015182,-0.015202
0.990101,-0.140360,-0.141763
0.994088,0.004690,0.004718
0.987063,0.129126,0.130818
0.963676,0.267075,0.277142
0.988445,0.110887,0.112183
0.931143,-0.171737,-0.184436
0.901042,-0.327321,-0.363269
0.979521,0.013962,0.014254
0.644547,0.034548,0.053600
0.756449,0.411673,0.544217
0.900160,0.134924,0.149889
0.870443,-0.474302,-0.544896
0.985211,-0.171345,-0.173917
0.995422,0.080363,0.080733
0.921632,0.171258,0.185820
0.968911,-0.098769,-0.101938
0.912108,0.308468,0.338192
0.983754,-0.110727,-0.112556
0.989592,-0.112845,-0.114032
0.992812,-0.119688,-0.120555
0.992812,-0.119688,-0.120555
0.997325,0.060018,0.060179
0.997694,0.067866,0.068023
0.997694,0.067866,0.068023
0.997694,0.067866,0.068023
0.998773,0.021192,0.021218
0.999821,-0.018937,-0.018941
0.999821,-0.018937,-0.018941
0.999821,-0.018937,-0.018941
0.999821,-0.018937,-0.018941
0.999528,-0.027258,-0.027271
0.998683,-0.051305,-0.051373
0.998683,-0.051305,-0.051373
0.998683,-0.051305,-0.051373
0.998243,-0.009220,-0.009236
0.997821,0.065985,0.066129
0.997821,0.065985,0.066129
0.998242,0.058195,0.058297
0.999108,0.042221,0.042258
0.999108,0.042221,0.042258
0.989072,0.145845,0.147456
0.988649,0.150241,0.151966
0.984945,-0.152219,-0.154546
0.967645,-0.246932,-0.255188
0.971929,-0.213548,-0.219716
0.998024,-0.062839,-0.062964
0.980961,0.137148,0.139809
0.974884,0.222711,0.228449
0.984617,-0.122074,-0.123981
0.967088,0.045147,0.046683
0.944069,0.001244,0.001318
0.966751,-0.255721,-0.264515
0.988152,0.041084,0.041576
0.994106,0.108414,0.109056
0.997236,-0.067127,-0.067313
0.989409,0.074838,0.075639
0.974249,0.095508,0.098032
0.989208,-0.062137,-0.062815
0.950127,-0.311865,-0.328234
0.991584,0.047280,0.047682
0.959056,0.251834,0.262585
0.916843,-0.044055,-0.048050
0.854628,-0.050363,-0.058930
0.868271,0.401307,0.462190
0.992404,0.101131,0.101905
0.988300,0.066867,0.067658
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.994092,-0.050203,-0.050501
0.980884,-0.194595,-0.198387
0.946830,0.104046,0.109888
0.973637,-0.080161,-0.082331
0.992107,-0.117067,-0.117998
0.993683,-0.019627,-0.019752
0.963093,0.094950,0.098588
0.772785,-0.213399,-0.276142
0.800866,-0.270902,-0.338261
0.950390,-0.013447,-0.014149
0.902452,-0.062189,-0.068911
0.868817,0.396960,0.456897
0.990516,-0.115228,-0.116331
0.987145,-0.059138,-0.059908
0.927138,-0.257415,-0.277645
0.858144,-0.173590,-0.202285
0.926718,0.132088,0.142533
0.954012,0.050365,0.052792
0.940706,0.339222,0.360603
0.987675,0.152200,0.154099
0.989150,0.146910,0.148522
0.976429,-0.194132,-0.198818
0.975583,-0.219632,-0.225128
0.865659,-0.355956,-0.411196
0.531278,-0.663961,-1.249740
0.961951,0.273222,0.284029
0.961951,0.273222,0.284029
0.961951,0.273222,0.284029
0.985017,-0.017293,-0.017556
0.885556,0.252960,0.285651
0.892128,-0.227660,-0.255187
0.856778,-0.054297,-0.063374
0.961238,0.154087,0.160300
0.973270,-0.186942,-0.192076
0.944269,-0.091067,-0.096441
0.840700,0.541501,0.644107
0.801357,0.377617,0.471222
0.856729,-0.333780,-0.389597
0.960432,-0.154713,-0.161087
0.970963,0.030608,0.031523
0.972876,0.187869,0.193106
0.989873,0.108145,0.109251
0.989106,-0.025606,-0.025888
0.993578,-0.113148,-0.113879
0.993578,-0.113148,-0.113879
0.993578,-0.113148,-0.113879
0.993693,-0.097751,-0.098372
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.998814,-0.019436,-0.019459
0.998776,-0.049465,-0.049525
0.998776,-0.049465,-0.049525
0.998776,-0.049465,-0.049525
0.996732,-0.073324,-0.073564
0.993049,-0.117702,-0.118526
0.993049,-0.117702,-0.118526
0.993049,-0.117702,-0.118526
0.993164,-0.096382,-0.097045
0.995753,0.092067,0.092459
0.995753,0.092067,0.092459
0.995753,0.092067,0.092459
0.995753,0.092067,0.092459
0.997416,0.022376,0.022434
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.965535,-0.230007,-0.238217
0.980594,-0.138336,-0.141073
0.995878,-0.090708,-0.091083
0.995878,-0.090708,-0.091083
0.995878,-0.090708,-0.091083
0.995878,-0.090708,-0.091083
0.994579,-0.101912,-0.102468
0.990550,-0.137152,-0.138460
0.990492,-0.137532,-0.138852
0.989547,-0.144210,-0.145733
0.989547,-0.144210,-0.145733
0.982827,-0.183572,-0.186779
0.982806,-0.184639,-0.187869
0.988845,0.073956,0.074790
0.990747,0.135721,0.136988
0.980894,-0.077946,-0.079465
0.974975,-0.222314,-0.228020
0.983520,-0.179450,-0.182457
0.985175,-0.170599,-0.173166
0.959257,-0.282534,-0.294533
0.968478,-0.226552,-0.233926
0.998379,-0.056913,-0.057005
0.919968,-0.083565,-0.090835
0.993799,-0.111190,-0.111884
0.993799,-0.111190,-0.111884
0.993140,-0.068385,-0.068857
0.998362,-0.057209,-0.057302
0.998362,-0.057209,-0.057302
0.995618,0.002518,0.002529
0.989592,0.143901,0.145414
0.989592,0.143901,0.145414
0.989592,0.143901,0.145414
0.975694,-0.151962,-0.155748
0.976423,-0.215867,-0.221080
0.942050,0.097610,0.103614
0.914985,0.403487,0.440976
0.931715,0.233854,0.250992
0.977256,-0.212063,-0.216998
0.964097,-0.255259,-0.264765
0.946396,-0.323008,-0.341303
0.951857,0.159853,0.167937
0.930873,-0.167904,-0.180372
0.913261,-0.288905,-0.316344
0.918639,0.395098,0.430090
0.932394,-0.058823,-0.063088
0.940964,-0.338507,-0.359744
0.928683,0.266325,0.286777
0.926538,0.376202,0.406029
0.997113,0.065159,0.065347
0.976244,-0.076625,-0.078489
0.937314,-0.348486,-0.371792
0.958914,-0.004117,-0.004293
0.979982,0.142906,0.145825
0.991371,-0.131088,-0.132229
0.969952,0.146305,0.150837
0.960424,0.278543,0.290021
0.941098,-0.268544,-0.285352
0.945420,-0.282193,-0.298484
0.991454,0.130456,0.131580
0.991782,0.015240,0.015366
0.997356,-0.056602,-0.056752
0.979715,0.200396,0.204545
0.978799,-0.015322,-0.015654
0.975454,-0.173110,-0.177466
0.972998,0.230813,0.237218
0.990498,0.117072,0.118195
0.994896,-0.018116,-0.018209
0.986554,0.055383,0.056138
0.974506,0.171261,0.175741
0.958662,-0.284546,-0.296816
0.973389,-0.218859,-0.224842
0.979625,-0.152954,-0.156135
0.983482,0.181008,0.184048
0.989917,0.128365,0.129672
0.998123,0.061234,0.061349
0.990651,0.107478,0.108492
0.991912,0.120408,0.121390
0.990999,0.133866,0.135082
0.918229,-0.252846,-0.275362
0.943847,-0.152713,-0.161798
0.997916,0.055658,0.055774
0.938107,0.233491,0.248896
0.906765,0.121689,0.134201
0.944549,-0.327259,-0.346471
0.872812,0.426909,0.489119
0.887028,0.038888,0.043841
0.928034,-0.259080,-0.279170
0.859117,-0.214586,-0.249774
0.782848,0.026427,0.033757
0.798612,-0.453647,-0.568044
0.880052,-0.053708,-0.061028
0.577772,0.760876,1.316913
0.954090,-0.131209,-0.137522
0.781909,-0.623393,-0.797270
0.923206,0.284733,0.308418
0.936692,0.199898,0.213409
0.957315,-0.289046,-0.301933
0.957057,-0.017045,-0.017810
0.970288,0.241954,0.249363
0.993289,-0.019021,-0.019150
0.984661,-0.122871,-0.124785
0.949467,-0.313868,-0.330572
0.900471,0.199955,0.222056
0.900058,0.375112,0.416764
0.996753,-0.080521,-0.080783
0.998523,-0.004680,-0.004687
0.978682,-0.174991,-0.178803
0.974932,-0.204327,-0.209581
0.895486,0.084617,0.094492
0.718424,0.542005,0.754435
0.735557,-0.447303,-0.608114
0.555253,-0.215351,-0.387843
0.567015,0.098938,0.174489
0.235313,-0.960597,-4.082197
0.237014,-0.874646,-3.690260
0.190219,0.981742,5.161075
0.190219,0.981742,5.161075
0.615164,0.660166,1.073152
0.825707,-0.302238,-0.366036
0.907383,-0.321238,-0.354027
0.936649,0.179387,0.191519
0.860652,0.242882,0.282207
0.800718,-0.599041,-0.748128
0.894005,0.081217,0.090846
0.928804,0.366612,0.394714
0.952672,-0.135129,-0.141842
0.730298,-0.181911,-0.249091
0.497230,-0.112017,-0.225280
0.634185,-0.340714,-0.537246
0.584648,0.719879,1.231302
0.951311,-0.169682,-0.178366
0.921168,0.366963,0.398367
0.789368,-0.387128,-0.490428
0.997282,-0.073683,-0.073884
0.997282,-0.073683,-0.073884
0.983134,-0.078075,-0.079414
0.800124,0.248951,0.311141
0.534829,0.612791,1.145769
0.934463,-0.356061,-0.381033
0.894149,-0.019512,-0.021821
0.929956,-0.367671,-0.395364
0.229454,0.051256,0.223382
0.588081,0.023657,0.040228
0.679605,-0.117049,-0.172231
0.479627,0.080361,0.167548
0.402450,-0.116836,-0.290311
0.154307,0.419890,2.721117
0.298921,-0.256563,-0.858295
0.613633,0.003416,0.005567
0.150306,0.131723,0.876359
0.274844,0.082558,0.300380
0.227778,-0.066207,-0.290662
0.184401,-0.176994,-0.959828
0.357749,-0.736018,-2.057353
0.745805,0.464092,0.622269
0.979348,0.059739,0.060998
0.985029,0.154147,0.156489
0.946358,-0.246896,-0.260890
0.973487,-0.177406,-0.182238
0.988755,0.031289,0.031644
0.973696,0.227716,0.233868
0.968021,0.250871,0.259158
0.990787,-0.040778,-0.041157
0.996369,-0.083239,-0.083542
0.984967,0.081092,0.082329
0.977139,0.207427,0.212279
0.982331,0.187150,0.190516
0.966709,-0.035628,-0.036855
0.956713,-0.280157,-0.292833
0.911528,-0.383089,-0.420271
0.903201,0.398814,0.441556
0.996685,0.081357,0.081627
0.939191,-0.140825,-0.149943
0.928614,0.330908,0.356346
0.942029,-0.335531,-0.356178
0.973971,-0.215678,-0.221442
0.968267,0.159022,0.164233
0.830448,-0.260474,-0.313654
0.719438,-0.572954,-0.796390
0.887012,0.442948,0.499370
0.718789,0.490110,0.681854
0.636046,0.536266,0.843124
0.951092,-0.285002,-0.299658
0.799667,-0.600444,-0.750867
0.849299,-0.401653,-0.472923
0.989010,0.147845,0.149488
0.986651,0.154744,0.156838
0.984208,0.177014,0.179854
0.984208,0.177014,0.179854
0.970456,0.240801,0.248131
