dh,dz,slope
0.943437,-0.331551,-0.351429
0.943437,-0.331551,-0.351429
0.943437,-0.331551,-0.351429
0.969881,0.067285,0.069374
0.997271,0.073822,0.074024
0.997271,0.073822,0.074024
0.997271,0.073822,0.074024
0.997271,0.073822,0.074024
0.997271,0.073822,0.074024
0.966119,0.058258,0.060301
0.975107,-0.033319,-0.034170
0.993352,-0.115118,-0.115888
0.993352,-0.115118,-0.115888
0.993352,-0.115118,-0.115888
0.993352,-0.115118,-0.115888
0.824975,0.537654,0.651721
0.641286,0.254777,0.397289
0.222837,-0.974856,-4.374725
0.614154,-0.323786,-0.527205
0.768922,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.483304,0.249595,0.516433
0.778456,0.627699,0.806337
0.777526,0.627166,0.806617
0.619212,0.495540,0.800274
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.990836,-0.134486,-0.135730
0.990910,-0.134523,-0.135757
0.990910,-0.134523,-0.135757
0.990910,-0.134523,-0.135757
0.990910,-0.134523,-0.135757
0.990910,-0.134523,-0.135757
0.990910,-0.134523,-0.135757
0.990910,-0.134523,-0.135757
0.990910,-0.134523,-0.135757
0.990910,-0.134523,-0.135757
0.990910,-0.134523,-0.135757
0.997587,-0.062110,-0.062260
0.998786,-0.049256,-0.049316
0.998786,-0.049256,-0.049316
0.998786,-0.049256,-0.049316
0.998786,-0.049256,-0.049316
0.998786,-0.049256,-0.049316
0.998786,-0.049256,-0.049316
0.998786,-0.049256,-0.049316
0.998786,-0.049256,-0.049316
0.998786,-0.049256,-0.049316
0.971636,-0.026265,-0.027032
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.999867,-0.016326,-0.016328
0.996791,-0.029829,-0.029925
0.996417,-0.084574,-0.084878
0.996417,-0.084574,-0.084878
0.996417,-0.084574,-0.084878
0.996417,-0.084574,-0.084878
0.996417,-0.084574,-0.084878
0.996417,-0.084574,-0.084878
0.996417,-0.084574,-0.084878
0.996417,-0.084574,-0.084878
0.996417,-0.084574,-0.084878
0.996417,-0.084574,-0.084878
0.996417,-0.084574,-0.084878
0.996417,-0.084574,-0.084878
0.996417,-0.084574,-0.084878
0.996417,-0.084574,-0.084878
0.996417,-0.084574,-0.084878
0.996417,-0.084574,-0.084878
0.996417,-0.084574,-0.084878
0.994541,-0.032264,-0.032441
0.999588,0.028686,0.028698
0.999588,0.028686,0.028698
0.999588,0.028686,0.028698
0.999588,0.028686,0.028698
0.999588,0.028686,0.028698
0.999588,0.028686,0.028698
0.999588,0.028686,0.028698
0.999588,0.028686,0.028698
0.999588,0.028686,0.028698
0.999588,0.028686,0.028698
0.999588,0.028686,0.028698
0.999588,0.028686,0.028698
0.999588,0.028686,0.028698
0.999588,0.028686,0.028698
0.999588,0.028686,0.028698
0.999588,0.028686,0.028698
0.999480,0.027773,0.027788
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.995629,0.062695,0.062971
0.996993,0.077493,0.077727
0.996993,0.077493,0.077727
0.996993,0.077493,0.077727
0.996993,0.077493,0.077727
0.996993,0.077493,0.077727
0.862680,0.094141,0.109126
0.992265,0.124139,0.125107
0.992265,0.124139,0.125107
0.992265,0.124139,0.125107
0.992265,0.124139,0.125107
0.992265,0.124139,0.125107
0.992265,0.124139,0.125107
0.992265,0.124139,0.125107
0.992265,0.124139,0.125107
0.992265,0.124139,0.125107
0.992265,0.124139,0.125107
0.969705,0.122429,0.126254
0.994727,0.102554,0.103098
0.994727,0.102554,0.103098
0.994727,0.102554,0.103098
0.994727,0.102554,0.103098
0.994727,0.102554,0.103098
0.994727,0.102554,0.103098
0.994727,0.102554,0.103098
0.994727,0.102554,0.103098
0.994727,0.102554,0.103098
0.983872,0.135332,0.137550
0.979304,0.202394,0.206671
0.979304,0.202394,0.206671
0.979304,0.202394,0.206671
0.979304,0.202394,0.206671
0.979304,0.202394,0.206671
0.979304,0.202394,0.206671
0.979304,0.202394,0.206671
0.979304,0.202394,0.206671
0.979304,0.202394,0.206671
0.979304,0.202394,0.206671
0.979304,0.202394,0.206671
0.754708,0.189585,0.251203
0.984541,0.175155,0.177905
0.984541,0.175155,0.177905
0.984541,0.175155,0.177905
0.984541,0.175155,0.177905
