dh,dz,slope
0.999392,0.034856,0.034877
0.999392,0.034856,0.034877
0.999392,0.034856,0.034877
0.999392,0.034856,0.034877
0.999392,0.034856,0.034877
0.999392,0.034856,0.034877
0.999392,0.034856,0.034877
0.999392,0.034856,0.034877
0.999392,0.034856,0.034877
0.999392,0.034856,0.034877
0.999392,0.034856,0.034877
0.999392,0.034856,0.034877
0.999392,0.034856,0.034877
0.999392,0.034856,0.034877
0.991001,0.063343,0.063918
0.996926,0.078343,0.078584
0.996926,0.078343,0.078584
0.996926,0.078343,0.078584
0.996926,0.078343,0.078584
0.996926,0.078343,0.078584
0.996926,0.078343,0.078584
0.996926,0.078343,0.078584
0.996926,0.078343,0.078584
0.996926,0.078343,0.078584
0.996926,0.078343,0.078584
0.996926,0.078343,0.078584
0.996926,0.078343,0.078584
0.996237,0.040026,0.040177
0.999376,0.035321,0.035343
0.999376,0.035321,0.035343
0.999376,0.035321,0.035343
0.999376,0.035321,0.035343
0.999376,0.035321,0.035343
0.999376,0.035321,0.035343
0.999376,0.035321,0.035343
0.999376,0.035321,0.035343
0.999376,0.035321,0.035343
0.999376,0.035321,0.035343
0.970049,0.089931,0.092708
0.991277,0.131793,0.132953
0.991277,0.131793,0.132953
0.991277,0.131793,0.132953
0.991277,0.131793,0.132953
0.991277,0.131793,0.132953
0.991277,0.131793,0.132953
0.991277,0.131793,0.132953
0.991277,0.131793,0.132953
0.991277,0.131793,0.132953
0.991277,0.131793,0.132953
0.991683,0.115392,0.116360
0.999077,0.042951,0.042991
0.999077,0.042951,0.042991
0.999077,0.042951,0.042991
0.999077,0.042951,0.042991
0.999077,0.042951,0.042991
0.999077,0.042951,0.042991
0.999077,0.042951,0.042991
0.999077,0.042951,0.042991
0.999077,0.042951,0.042991
0.999077,0.042951,0.042991
0.999077,0.042951,0.042991
0.996974,0.043311,0.043442
0.999049,0.043613,0.043654
0.999049,0.043613,0.043654
0.999049,0.043613,0.043654
0.999049,0.043613,0.043654
0.999049,0.043613,0.043654
0.999049,0.043613,0.043654
0.999049,0.043613,0.043654
0.999049,0.043613,0.043654
0.999049,0.043613,0.043654
0.999049,0.043613,0.043654
0.996742,0.045470,0.045618
0.997743,0.067150,0.067302
0.997743,0.067150,0.067302
0.997743,0.067150,0.067302
0.997743,0.067150,0.067302
0.997743,0.067150,0.067302
0.997743,0.067150,0.067302
0.997743,0.067150,0.067302
0.997743,0.067150,0.067302
0.997743,0.067150,0.067302
0.997743,0.067150,0.067302
0.997743,0.067150,0.067302
0.997743,0.067150,0.067302
0.997743,0.067150,0.067302
0.995075,0.072823,0.073183
0.997143,0.075540,0.075756
0.997143,0.075540,0.075756
0.997143,0.075540,0.075756
0.997143,0.075540,0.075756
0.997143,0.075540,0.075756
0.997143,0.075540,0.075756
0.997143,0.075540,0.075756
0.997143,0.075540,0.075756
0.997143,0.075540,0.075756
0.997143,0.075540,0.075756
0.997143,0.075540,0.075756
0.997143,0.075540,0.075756
0.995077,0.095679,0.096153
0.992590,0.121512,0.122419
0.992590,0.121512,0.122419
0.992590,0.121512,0.122419
0.992590,0.121512,0.122419
0.992590,0.121512,0.122419
0.992590,0.121512,0.122419
0.992590,0.121512,0.122419
0.992590,0.121512,0.122419
0.992590,0.121512,0.122419
0.992590,0.121512,0.122419
0.992590,0.121512,0.122419
0.988915,0.049980,0.050540
0.999055,0.043468,0.043509
0.999055,0.043468,0.043509
0.999055,0.043468,0.043509
0.999055,0.043468,0.043509
0.999055,0.043468,0.043509
0.999055,0.043468,0.043509
0.999055,0.043468,0.043509
0.999055,0.043468,0.043509
0.999055,0.043468,0.043509
0.999055,0.043468,0.043509
0.997222,0.063773,0.063950
0.995708,0.092546,0.092944
0.995708,0.092546,0.092944
0.995708,0.092546,0.092944
0.995708,0.092546,0.092944
0.995708,0.092546,0.092944
0.995708,0.092546,0.092944
0.995708,0.092546,0.092944
0.995708,0.092546,0.092944
0.995708,0.092546,0.092944
0.995708,0.092546,0.092944
0.987441,0.082906,0.083960
0.997054,0.076697,0.076924
0.997054,0.076697,0.076924
0.997054,0.076697,0.076924
0.997054,0.076697,0.076924
0.997054,0.076697,0.076924
0.997054,0.076697,0.076924
0.997054,0.076697,0.076924
0.997054,0.076697,0.076924
0.997054,0.076697,0.076924
0.997054,0.076697,0.076924
0.997054,0.076697,0.076924
0.998767,0.048308,0.048368
0.999022,0.044208,0.044251
0.999022,0.044208,0.044251
0.999022,0.044208,0.044251
0.999022,0.044208,0.044251
0.999022,0.044208,0.044251
0.999022,0.044208,0.044251
0.999022,0.044208,0.044251
0.999022,0.044208,0.044251
0.999022,0.044208,0.044251
0.999022,0.044208,0.044251
0.998838,0.044059,0.044110
0.999034,0.043944,0.043986
0.999034,0.043944,0.043986
0.999034,0.043944,0.043986
0.999034,0.043944,0.043986
0.999034,0.043944,0.043986
0.999034,0.043944,0.043986
0.999034,0.043944,0.043986
0.999034,0.043944,0.043986
0.999034,0.043944,0.043986
0.999034,0.043944,0.043986
0.999034,0.043773,0.043816
0.999074,0.043025,0.043065
0.999074,0.043025,0.043065
0.999074,0.043025,0.043065
0.999074,0.043025,0.043065
0.999074,0.043025,0.043065
0.999074,0.043025,0.043065
0.999074,0.043025,0.043065
0.999074,0.043025,0.043065
0.999074,0.043025,0.043065
0.999074,0.043025,0.043065
0.999074,0.043025,0.043065
