dh,dz,slope
0.929380,0.369123,0.397171
0.929380,0.369123,0.397171
0.929380,0.369123,0.397171
0.929380,0.369123,0.397171
0.929380,0.369123,0.397171
0.929380,0.369123,0.397171
0.929380,0.369123,0.397171
0.993441,-0.018523,-0.018646
0.999343,-0.036246,-0.036269
0.999343,-0.036246,-0.036269
0.999343,-0.036246,-0.036269
0.999343,-0.036246,-0.036269
0.999343,-0.036246,-0.036269
0.999343,-0.036246,-0.036269
0.999343,-0.036246,-0.036269
0.999343,-0.036246,-0.036269
0.999343,-0.036246,-0.036269
0.999343,-0.036246,-0.036269
0.998364,-0.049569,-0.049650
0.998713,-0.050720,-0.050786
0.998713,-0.050720,-0.050786
0.998713,-0.050720,-0.050786
0.998713,-0.050720,-0.050786
0.998713,-0.050720,-0.050786
0.998713,-0.050720,-0.050786
0.998713,-0.050720,-0.050786
0.998713,-0.050720,-0.050786
0.998542,-0.047552,-0.047621
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.998446,-0.040251,-0.040314
0.997402,-0.072043,-0.072230
0.997402,-0.072043,-0.072230
0.997402,-0.072043,-0.072230
0.997402,-0.072043,-0.072230
0.997320,-0.071937,-0.072130
0.998449,-0.055668,-0.055755
0.998449,-0.055668,-0.055755
0.998449,-0.055668,-0.055755
0.998449,-0.055668,-0.055755
0.998449,-0.055668,-0.055755
0.998449,-0.055668,-0.055755
0.998449,-0.055668,-0.055755
0.998449,-0.055668,-0.055755
0.998449,-0.055668,-0.055755
0.998449,-0.055668,-0.055755
0.986184,-0.064912,-0.065822
0.995366,-0.096158,-0.096606
0.995366,-0.096158,-0.096606
0.995366,-0.096158,-0.096606
0.995366,-0.096158,-0.096606
0.995366,-0.096158,-0.096606
0.995366,-0.096158,-0.096606
0.999269,0.035467,0.035493
0.999316,0.036986,0.037012
0.962812,0.020906,0.021714
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.999811,-0.019457,-0.019460
0.992337,-0.047863,-0.048232
0.998283,-0.058572,-0.058673
0.998283,-0.058572,-0.058673
0.998283,-0.058572,-0.058673
0.998283,-0.058572,-0.058673
0.998865,-0.003945,-0.003949
0.999493,0.031824,0.031841
0.999493,0.031824,0.031841
0.990002,-0.003367,-0.003401
0.999017,-0.044335,-0.044378
0.999017,-0.044335,-0.044378
0.999017,-0.044335,-0.044378
0.999017,-0.044335,-0.044378
0.999017,-0.044335,-0.044378
0.999017,-0.044335,-0.044378
0.999017,-0.044335,-0.044378
0.999017,-0.044335,-0.044378
0.999154,-0.018395,-0.018410
0.999893,0.014651,0.014653
0.999893,0.014651,0.014653
0.999893,0.014651,0.014653
0.999893,0.014651,0.014653
0.999893,0.014651,0.014653
0.999893,0.014651,0.014653
0.980960,-0.033549,-0.034201
0.997963,-0.063790,-0.063920
0.997963,-0.063790,-0.063920
0.997963,-0.063790,-0.063920
0.997963,-0.063790,-0.063920
0.997963,-0.063790,-0.063920
0.994815,-0.039439,-0.039645
0.999975,0.007022,0.007022
0.999975,0.007022,0.007022
0.999975,0.007022,0.007022
0.999975,0.007022,0.007022
0.999975,0.007022,0.007022
0.999975,0.007022,0.007022
0.999975,0.007022,0.007022
0.999975,0.007022,0.007022
0.999975,0.007022,0.007022
0.999975,0.007022,0.007022
0.999975,0.007022,0.007022
0.999975,0.007022,0.007022
0.999975,0.007022,0.007022
0.999693,0.013130,0.013134
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.997781,0.066576,0.066724
0.952510,0.185967,0.195239
0.961773,0.273847,0.284731
0.961773,0.273847,0.284731
0.961773,0.273847,0.284731
0.975680,0.163951,0.168038
0.997007,0.077313,0.077545
0.997007,0.077313,0.077545
0.997007,0.077313,0.077545
0.997007,0.077313,0.077545
0.997007,0.077313,0.077545
0.997007,0.077313,0.077545
0.997007,0.077313,0.077545
0.997007,0.077313,0.077545
0.997007,0.077313,0.077545
0.997007,0.077313,0.077545
0.997007,0.077313,0.077545
0.997007,0.077313,0.077545
0.997007,0.077313,0.077545
0.978054,0.132096,0.135060
0.970101,0.242700,0.250179
0.970101,0.242700,0.250179
0.970101,0.242700,0.250179
0.970101,0.242700,0.250179
0.970101,0.242700,0.250179
0.970101,0.242700,0.250179
0.970101,0.242700,0.250179
0.970101,0.242700,0.250179
0.970101,0.242700,0.250179
0.970101,0.242700,0.250179
0.970101,0.242700,0.250179
0.970101,0.242700,0.250179
0.970101,0.242700,0.250179
0.987407,0.141588,0.143394
0.994474,0.104981,0.105565
0.994474,0.104981,0.105565
0.994474,0.104981,0.105565
0.994474,0.104981,0.105565
0.994474,0.104981,0.105565
0.994474,0.104981,0.105565
0.993165,0.085757,0.086347
0.997952,-0.063972,-0.064104
0.997952,-0.063972,-0.064104
0.997952,-0.063972,-0.064104
0.997952,-0.063972,-0.064104
0.997952,-0.063972,-0.064104
0.997952,-0.063972,-0.064104
0.996263,0.064391,0.064633
0.996372,0.085099,0.085409
0.990336,-0.045373,-0.045816
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.985396,-0.170281,-0.172805
0.998119,-0.043761,-0.043844
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.999277,-0.038030,-0.038057
0.983833,-0.055125,-0.056030
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.995309,-0.096750,-0.097206
0.992111,-0.123425,-0.124406
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.990177,-0.139821,-0.141207
0.971017,0.169157,0.174206
0.977290,0.211905,0.216829
0.977290,0.211905,0.216829
0.977290,0.211905,0.216829
0.977290,0.211905,0.216829
0.977290,0.211905,0.216829
0.977290,0.211905,0.216829
0.742817,0.042417,0.057103
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.990908,-0.025379,-0.025612
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.998502,-0.054722,-0.054804
0.831768,-0.104373,-0.125483
0.989055,-0.147549,-0.149181
0.989055,-0.147549,-0.149181
0.989055,-0.147549,-0.149181
0.989055,-0.147549,-0.149181
0.989055,-0.147549,-0.149181
0.989055,-0.147549,-0.149181
0.989055,-0.147549,-0.149181
0.989055,-0.147549,-0.149181
0.989055,-0.147549,-0.149181
0.989055,-0.147549,-0.149181
0.996504,-0.036102,-0.036229
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.999906,0.013735,0.013737
0.998093,0.022786,0.022829
0.999561,0.029639,0.029652
0.999561,0.029639,0.029652
0.999561,0.029639,0.029652
0.999561,0.029639,0.029652
0.999561,0.029639,0.029652
0.999561,0.029639,0.029652
0.999561,0.029639,0.029652
0.999561,0.029639,0.029652
0.999561,0.029639,0.029652
0.932990,0.026667,0.028582
0.999736,0.022994,0.023000
0.999736,0.022994,0.023000
0.999736,0.022994,0.023000
0.998176,0.025203,0.025249
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.998966,0.045472,0.045519
0.996357,0.046916,0.047087
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998258,0.058998,0.059101
0.998327,0.053207,0.053297
0.999774,-0.021238,-0.021242
0.999774,-0.021238,-0.021242
0.999774,-0.021238,-0.021242
0.999774,-0.021238,-0.021242
0.999774,-0.021238,-0.021242
0.999774,-0.021238,-0.021242
0.999774,-0.021238,-0.021242
0.999774,-0.021238,-0.021242
0.999774,-0.021238,-0.021242
0.999774,-0.021238,-0.021242
0.999774,-0.021238,-0.021242
0.999774,-0.021238,-0.021242
0.999774,-0.021238,-0.021242
0.999774,-0.021238,-0.021242
0.994871,-0.098900,-0.099410
0.994649,-0.103315,-0.103870
0.993189,-0.101778,-0.102476
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997745,-0.067121,-0.067273
0.997184,-0.052677,-0.052825
0.999938,0.011094,0.011095
0.999938,0.011094,0.011095
0.999938,0.011094,0.011095
0.999938,0.011094,0.011095
0.999938,0.011094,0.011095
0.999938,0.011094,0.011095
0.999938,0.011094,0.011095
0.999938,0.011094,0.011095
0.999938,0.011094,0.011095
0.999938,0.011094,0.011095
0.999938,0.011094,0.011095
0.999938,0.011094,0.011095
0.999938,0.011094,0.011095
0.999938,0.011094,0.011095
0.999938,0.011094,0.011095
0.999938,0.011094,0.011095
0.999938,0.011094,0.011095
0.995391,0.020191,0.020284
0.997628,0.068838,0.069002
0.997628,0.068838,0.069002
0.997628,0.068838,0.069002
0.997628,0.068838,0.069002
0.997628,0.068838,0.069002
0.997628,0.068838,0.069002
0.997628,0.068838,0.069002
0.997628,0.068838,0.069002
0.997628,0.068838,0.069002
0.997628,0.068838,0.069002
0.997628,0.068838,0.069002
0.990351,0.092528,0.093429
0.993591,0.113031,0.113760
0.993591,0.113031,0.113760
0.993591,0.113031,0.113760
