dh,dz,slope
5.000000,0.000000,0.000000
4.669867,0.000000,0.000000
4.768127,0.312509,0.065541
4.725778,0.041625,0.008808
4.995430,-0.213742,-0.042787
4.995430,-0.213742,-0.042787
4.995430,-0.213742,-0.042787
4.693024,-0.346335,-0.073798
4.975456,-0.494809,-0.099450
4.842215,-0.211172,-0.043611
4.998193,0.134421,0.026894
4.998193,0.134421,0.026894
4.998193,0.134421,0.026894
4.998193,0.134421,0.026894
4.998193,0.134421,0.026894
4.998193,0.134421,0.026894
4.995831,0.136046,0.027232
4.992351,0.276458,0.055376
4.945048,0.029326,0.005930
4.997398,-0.161279,-0.032273
4.881465,-0.147668,-0.030251
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.999990,0.000000,0.000000
5.000000,0.000000,0.000000
4.982929,0.243783,0.048924
4.943126,0.156217,0.031603
4.994563,0.100111,0.020044
4.996314,0.191973,0.038423
4.996314,0.191973,0.038423
4.990882,0.164567,0.032974
4.997373,0.162085,0.032434
4.997373,0.162085,0.032434
4.997373,0.162085,0.032434
4.997373,0.162085,0.032434
4.997373,0.162085,0.032434
4.997373,0.162085,0.032434
4.997373,0.162085,0.032434
4.997373,0.162085,0.032434
4.922976,0.054699,0.011111
4.994714,-0.015934,-0.003190
4.999199,-0.089504,-0.017904
4.999199,-0.089504,-0.017904
4.999199,-0.089504,-0.017904
4.999199,-0.089504,-0.017904
4.999199,-0.089504,-0.017904
4.999199,-0.089504,-0.017904
4.999199,-0.089504,-0.017904
4.999199,-0.089504,-0.017904
4.999199,-0.089504,-0.017904
4.999199,-0.089504,-0.017904
4.999164,-0.088091,-0.017621
4.996943,0.174798,0.034981
4.996943,0.174798,0.034981
4.996943,0.174798,0.034981
4.996943,0.174798,0.034981
4.996943,0.174798,0.034981
4.996943,0.174798,0.034981
4.996943,0.174798,0.034981
4.996943,0.174798,0.034981
4.999968,0.000685,0.000137
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.976319,0.009304,0.001870
4.999839,0.040081,0.008016
4.999839,0.040081,0.008016
