dh,dz,slope
0.993548,0.113412,0.114148
0.993548,0.113412,0.114148
0.993548,0.113412,0.114148
0.993548,0.113412,0.114148
0.974951,-0.020261,-0.020782
0.993634,-0.112657,-0.113379
0.993634,-0.112657,-0.113379
0.993634,-0.112657,-0.113379
0.993634,-0.112657,-0.113379
0.993634,-0.112657,-0.113379
0.993634,-0.112657,-0.113379
0.993634,-0.112657,-0.113379
0.993634,-0.112657,-0.113379
0.960196,-0.056230,-0.058560
0.999431,-0.033716,-0.033735
0.999431,-0.033716,-0.033735
0.999431,-0.033716,-0.033735
0.999431,-0.033716,-0.033735
0.999431,-0.033716,-0.033735
0.999431,-0.033716,-0.033735
0.999431,-0.033716,-0.033735
0.999431,-0.033716,-0.033735
0.999431,-0.033716,-0.033735
0.999431,-0.033716,-0.033735
0.999431,-0.033716,-0.033735
0.997089,-0.064025,-0.064212
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.997594,-0.069331,-0.069498
0.995803,-0.054372,-0.054601
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.991659,-0.049025,-0.049437
0.998403,-0.056500,-0.056591
0.998403,-0.056500,-0.056591
0.998403,-0.056500,-0.056591
0.998403,-0.056500,-0.056591
0.998403,-0.056500,-0.056591
0.998403,-0.056500,-0.056591
0.998403,-0.056500,-0.056591
0.998403,-0.056500,-0.056591
0.998403,-0.056500,-0.056591
0.998403,-0.056500,-0.056591
0.998403,-0.056500,-0.056591
0.998403,-0.056500,-0.056591
0.998403,-0.056500,-0.056591
0.998403,-0.056500,-0.056591
0.998403,-0.056500,-0.056591
0.993059,-0.063095,-0.063536
0.997980,-0.063526,-0.063655
0.997980,-0.063526,-0.063655
