dh,dz,slope
0.942498,-0.334211,-0.354601
0.942498,-0.334211,-0.354601
0.942498,-0.334211,-0.354601
0.942498,-0.334211,-0.354601
0.942498,-0.334211,-0.354601
0.942435,-0.328945,-0.349037
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.976720,-0.184380,-0.188775
0.979074,-0.203507,-0.207856
0.979074,-0.203507,-0.207856
0.979074,-0.203507,-0.207856
0.979074,-0.203507,-0.207856
0.979229,-0.202316,-0.206607
0.997039,-0.076897,-0.077125
0.997039,-0.076897,-0.077125
0.997039,-0.076897,-0.077125
0.997039,-0.076897,-0.077125
0.997039,-0.076897,-0.077125
0.985728,-0.155513,-0.157765
0.984704,-0.174238,-0.176945
0.984704,-0.174238,-0.176945
0.984704,-0.174238,-0.176945
0.984704,-0.174238,-0.176945
0.991624,-0.073988,-0.074613
0.999835,-0.018157,-0.018160
0.999835,-0.018157,-0.018160
0.999835,-0.018157,-0.018160
0.999835,-0.018157,-0.018160
0.999787,-0.018174,-0.018178
0.999833,-0.018284,-0.018287
0.999833,-0.018284,-0.018287
0.999833,-0.018284,-0.018287
0.999833,-0.018284,-0.018287
0.999833,-0.018284,-0.018287
0.987716,-0.029944,-0.030317
0.999359,-0.035804,-0.035827
0.999359,-0.035804,-0.035827
0.999359,-0.035804,-0.035827
0.999359,-0.035804,-0.035827
0.998805,-0.034439,-0.034480
0.999826,-0.018653,-0.018656
0.999826,-0.018653,-0.018656
0.999826,-0.018653,-0.018656
0.999826,-0.018653,-0.018656
0.999826,-0.018653,-0.018656
0.998571,-0.047512,-0.047580
0.998269,-0.058815,-0.058917
0.998269,-0.058815,-0.058917
0.998269,-0.058815,-0.058917
0.998269,-0.058815,-0.058917
0.968541,-0.156043,-0.161112
0.976351,-0.216191,-0.221427
0.976351,-0.216191,-0.221427
0.976351,-0.216191,-0.221427
0.976351,-0.216191,-0.221427
0.977931,-0.201671,-0.206222
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.961408,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.983103,0.045519,0.046301
0.997114,0.075915,0.076134
0.997114,0.075915,0.076134
0.997114,0.075915,0.076134
0.997114,0.075915,0.076134
0.975891,0.112609,0.115391
0.982372,0.186934,0.190288
0.982372,0.186934,0.190288
0.982372,0.186934,0.190288
0.982372,0.186934,0.190288
0.982372,0.186934,0.190288
0.927597,0.162360,0.175033
0.991270,0.131847,0.133008
0.991270,0.131847,0.133008
0.991270,0.131847,0.133008
0.991270,0.131847,0.133008
0.991270,0.131847,0.133008
0.993122,0.081949,0.082516
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.999880,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.972163,-0.012283,-0.012635
0.999378,-0.035256,-0.035277
0.999378,-0.035256,-0.035277
0.999378,-0.035256,-0.035277
0.999378,-0.035256,-0.035277
0.999378,-0.035256,-0.035277
0.993379,-0.036446,-0.036689
0.999315,-0.037017,-0.037043
0.999315,-0.037017,-0.037043
0.999315,-0.037017,-0.037043
0.999315,-0.037017,-0.037043
0.895392,0.012716,0.014202
0.989374,0.145390,0.146951
0.989374,0.145390,0.146951
0.989374,0.145390,0.146951
0.989374,0.145390,0.146951
0.989374,0.145390,0.146951
0.873983,0.047807,0.054700
0.999825,0.018694,0.018697
0.999825,0.018694,0.018697
0.999825,0.018694,0.018697
0.999825,0.018694,0.018697
0.922721,0.003923,0.004251
0.999865,-0.016404,-0.016406
0.999865,-0.016404,-0.016406
0.999865,-0.016404,-0.016406
0.999865,-0.016404,-0.016406
0.999865,-0.016404,-0.016406
0.980748,-0.011078,-0.011295
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.988457,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.884974,-0.242510,-0.274031
0.662006,-0.749499,-1.132162
0.662006,-0.749499,-1.132162
0.662006,-0.749499,-1.132162
0.662006,-0.749499,-1.132162
0.662006,-0.749499,-1.132162
0.662006,-0.749499,-1.132162
0.662006,-0.749499,-1.132162
0.808175,-0.418765,-0.518161
0.999852,-0.017196,-0.017199
0.999852,-0.017196,-0.017199
0.999852,-0.017196,-0.017199
0.999852,-0.017196,-0.017199
0.999852,-0.017196,-0.017199
0.993920,0.025976,0.026135
0.998717,0.050648,0.050713
0.998717,0.050648,0.050713
0.998717,0.050648,0.050713
0.998717,0.050648,0.050713
0.998717,0.050648,0.050713
0.999541,0.014531,0.014537
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.983428,0.102748,0.104479
0.953167,0.302443,0.317303
0.953167,0.302443,0.317303
0.953167,0.302443,0.317303
0.953167,0.302443,0.317303
0.953167,0.302443,0.317303
0.969756,0.185037,0.190808
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.999246,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.999795,-0.014033,-0.014036
0.999847,-0.017494,-0.017497
0.999847,-0.017494,-0.017497
0.999847,-0.017494,-0.017497
0.999847,-0.017494,-0.017497
0.989796,-0.015990,-0.016154
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.998118,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.990663,0.009308,0.009396
0.998744,0.050098,0.050161
0.998744,0.050098,0.050161
0.998744,0.050098,0.050161
0.998744,0.050098,0.050161
0.998744,0.050098,0.050161
0.933541,0.047005,0.050352
0.999407,0.034442,0.034462
0.999407,0.034442,0.034462
0.999407,0.034442,0.034462
0.999407,0.034442,0.034462
0.999407,0.034442,0.034462
0.981584,0.091412,0.093127
0.983619,0.180262,0.183264
0.983619,0.180262,0.183264
0.983619,0.180262,0.183264
0.983619,0.180262,0.183264
0.983619,0.180262,0.183264
0.980795,0.186911,0.190571
0.982141,0.188148,0.191569
0.982141,0.188148,0.191569
0.982141,0.188148,0.191569
0.982141,0.188148,0.191569
0.982141,0.188148,0.191569
0.968983,0.246925,0.254828
0.968986,0.247116,0.255026
0.968986,0.247116,0.255026
0.968986,0.247116,0.255026
0.968986,0.247116,0.255026
0.969880,0.241224,0.248715
0.973347,0.229336,0.235616
0.973347,0.229336,0.235616
0.973347,0.229336,0.235616
0.973347,0.229336,0.235616
0.973347,0.229336,0.235616
0.969041,0.234211,0.241693
0.968033,0.250825,0.259108
0.968033,0.250825,0.259108
0.968033,0.250825,0.259108
0.968033,0.250825,0.259108
0.968033,0.250825,0.259108
0.968033,0.250825,0.259108
0.941756,0.325347,0.345467
0.940888,0.338717,0.359997
0.940888,0.338717,0.359997
0.940888,0.338717,0.359997
0.940888,0.338717,0.359997
0.940888,0.338717,0.359997
0.974113,0.223599,0.229541
0.976244,0.216672,0.221944
0.976244,0.216672,0.221944
0.976244,0.216672,0.221944
0.976244,0.216672,0.221944
0.980069,0.193690,0.197628
0.987131,0.159914,0.161998
0.987131,0.159914,0.161998
0.987131,0.159914,0.161998
0.987131,0.159914,0.161998
0.987131,0.159914,0.161998
0.967551,0.201068,0.207811
0.977077,0.212887,0.217882
0.977077,0.212887,0.217882
