dh,dz,slope
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.999467,-0.032660,-0.032677
0.997807,-0.057791,-0.057918
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.995133,-0.098540,-0.099022
0.998062,-0.061611,-0.061731
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.998214,-0.059737,-0.059844
0.987575,0.078579,0.079568
0.978032,0.208455,0.213137
0.978032,0.208455,0.213137
0.978032,0.208455,0.213137
0.978032,0.208455,0.213137
0.978032,0.208455,0.213137
0.978032,0.208455,0.213137
0.978032,0.208455,0.213137
0.978032,0.208455,0.213137
0.983993,0.077274,0.078531
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.992937,-0.118645,-0.119488
0.998481,-0.053149,-0.053229
0.998734,-0.050299,-0.050363
0.998734,-0.050299,-0.050363
0.998734,-0.050299,-0.050363
0.998734,-0.050299,-0.050363
0.998734,-0.050299,-0.050363
0.998734,-0.050299,-0.050363
0.998734,-0.050299,-0.050363
0.998734,-0.050299,-0.050363
0.998734,-0.050299,-0.050363
0.998734,-0.050299,-0.050363
0.998734,-0.050299,-0.050363
0.998734,-0.050299,-0.050363
0.998734,-0.050299,-0.050363
0.998734,-0.050299,-0.050363
0.998734,-0.050299,-0.050363
0.998734,-0.050299,-0.050363
0.998734,-0.050299,-0.050363
0.998734,-0.050299,-0.050363
0.997306,-0.049826,-0.049960
0.999024,-0.044165,-0.044208
0.999024,-0.044165,-0.044208
0.999024,-0.044165,-0.044208
0.999024,-0.044165,-0.044208
0.999024,-0.044165,-0.044208
0.999024,-0.044165,-0.044208
0.999024,-0.044165,-0.044208
0.999024,-0.044165,-0.044208
0.985113,-0.041561,-0.042189
0.996392,0.084870,0.085177
