dh,dz,slope
0.995956,0.089848,0.090213
0.995956,0.089848,0.090213
0.995956,0.089848,0.090213
0.995956,0.089848,0.090213
0.995956,0.089848,0.090213
0.843467,0.346050,0.410270
0.734349,0.678772,0.924317
0.801252,0.462796,0.577590
0.995093,0.098948,0.099436
0.995093,0.098948,0.099436
0.995093,0.098948,0.099436
0.995093,0.098948,0.099436
0.867944,0.067351,0.077598
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.919426,0.076818,0.083550
0.760885,0.516440,0.678735
0.981482,0.191554,0.195168
0.981482,0.191554,0.195168
0.981482,0.191554,0.195168
0.981482,0.191554,0.195168
0.981482,0.191554,0.195168
0.981482,0.191554,0.195168
0.628667,0.157416,0.250396
1.000000,0.000000,0.000000
0.133354,0.000000,0.000000
0.987075,-0.117348,-0.118884
0.990433,-0.137994,-0.139327
0.990433,-0.137994,-0.139327
0.990433,-0.137994,-0.139327
0.990433,-0.137994,-0.139327
0.990433,-0.137994,-0.139327
0.993375,-0.092682,-0.093300
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
0.990471,0.013341,0.013469
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.997545,0.070032,0.070204
0.996938,0.072943,0.073167
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.996414,0.084614,0.084918
0.993335,-0.062205,-0.062622
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.993648,-0.112537,-0.113256
0.995188,-0.080795,-0.081186
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999310,-0.037145,-0.037171
0.999635,-0.018588,-0.018594
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.000000,0.000000
