pasada,pattern_file,idx_ini,idx_fin,dur_points,reasons,vh_kmh_max,grade_percent_extreme,vz_m_per_min_extreme,max_dx_m_s,max_dy_m_s,max_dz_m_s,plot_path,gpx_path
1,1_pattern_aligned_resampled.gpx,472,474,2,DZ_HAMPEL,7.092,5.219,6.000,1.697,1.001,0.100,data\reports\plots\1_pattern_aligned_resampled.png,data\reports\gpx\1_pattern_aligned_resampled_anomalies.gpx
1,1_pattern_aligned_resampled.gpx,482,484,2,DZ_HAMPEL,6.138,6.061,6.000,1.455,0.890,0.100,data\reports\plots\1_pattern_aligned_resampled.png,data\reports\gpx\1_pattern_aligned_resampled_anomalies.gpx
1,1_pattern_aligned_resampled.gpx,505,509,4,DZ_HAMPEL,7.670,16.788,18.000,1.455,1.557,0.300,data\reports\plots\1_pattern_aligned_resampled.png,data\reports\gpx\1_pattern_aligned_resampled_anomalies.gpx
1,1_pattern_aligned_resampled.gpx,522,525,3,DZ_HAMPEL,5.542,6.855,6.000,1.535,0.111,0.100,data\reports\plots\1_pattern_aligned_resampled.png,data\reports\gpx\1_pattern_aligned_resampled_anomalies.gpx
1,1_pattern_aligned_resampled.gpx,532,534,2,DZ_HAMPEL,5.656,6.364,6.000,1.535,0.334,0.100,data\reports\plots\1_pattern_aligned_resampled.png,data\reports\gpx\1_pattern_aligned_resampled_anomalies.gpx
1,1_pattern_aligned_resampled.gpx,586,590,4,DZ_HAMPEL,6.706,11.400,12.000,1.778,0.556,0.200,data\reports\plots\1_pattern_aligned_resampled.png,data\reports\gpx\1_pattern_aligned_resampled_anomalies.gpx
1,1_pattern_aligned_resampled.gpx,623,625,2,DZ_HAMPEL,18.471,10.494,30.000,0.485,5.115,0.500,data\reports\plots\1_pattern_aligned_resampled.png,data\reports\gpx\1_pattern_aligned_resampled_anomalies.gpx
1,1_pattern_aligned_resampled.gpx,648,655,7,DZ_HAMPEL,7.794,13.850,12.000,2.020,0.778,0.200,data\reports\plots\1_pattern_aligned_resampled.png,data\reports\gpx\1_pattern_aligned_resampled_anomalies.gpx
1,1_pattern_aligned_resampled.gpx,666,670,4,DZ_HAMPEL,7.936,14.317,18.000,2.101,0.667,0.300,data\reports\plots\1_pattern_aligned_resampled.png,data\reports\gpx\1_pattern_aligned_resampled_anomalies.gpx
1,1_pattern_aligned_resampled.gpx,676,680,4,DZ_HAMPEL,5.805,19.611,18.000,1.051,1.223,0.300,data\reports\plots\1_pattern_aligned_resampled.png,data\reports\gpx\1_pattern_aligned_resampled_anomalies.gpx
1,1_pattern_aligned_resampled.gpx,696,703,7,DZ_HAMPEL,7.797,9.803,12.000,1.859,1.112,0.200,data\reports\plots\1_pattern_aligned_resampled.png,data\reports\gpx\1_pattern_aligned_resampled_anomalies.gpx
1,1_pattern_aligned_resampled.gpx,710,714,4,DZ_HAMPEL,6.721,11.438,12.000,1.697,0.778,0.200,data\reports\plots\1_pattern_aligned_resampled.png,data\reports\gpx\1_pattern_aligned_resampled_anomalies.gpx
1,1_pattern_aligned_resampled.gpx,727,736,9,DZ_HAMPEL,5.650,6.372,6.000,1.293,0.890,0.100,data\reports\plots\1_pattern_aligned_resampled.png,data\reports\gpx\1_pattern_aligned_resampled_anomalies.gpx
1,1_pattern_aligned_resampled.gpx,761,767,6,DZ_HAMPEL,7.599,9.706,12.000,1.859,1.001,0.200,data\reports\plots\1_pattern_aligned_resampled.png,data\reports\gpx\1_pattern_aligned_resampled_anomalies.gpx
1,1_pattern_aligned_resampled.gpx,803,805,2,DZ_HAMPEL,6.356,5.865,6.000,1.455,1.001,0.100,data\reports\plots\1_pattern_aligned_resampled.png,data\reports\gpx\1_pattern_aligned_resampled_anomalies.gpx
