dh,dz,slope
2.572731,0.385235,0.149738
3.761492,-0.965524,-0.256686
4.985349,-0.382485,-0.076722
1.516244,0.334515,0.220620
1.810019,-0.257280,-0.142142
4.138580,1.119591,0.270525
4.905374,-0.968146,-0.197364
4.918981,-0.621803,-0.126409
3.344575,-0.094102,-0.028136
3.541818,-0.161908,-0.045713
3.667704,0.845288,0.230468
2.755610,-0.683380,-0.247996
4.894979,-0.960000,-0.196119
5.000000,0.000000,0.000000
4.996310,0.000000,0.000000
4.816369,0.000000,0.000000
2.071500,1.440000,0.695148
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.987721,-0.021896,-0.004390
4.981401,-0.430862,-0.086494
4.992809,-0.027242,-0.005456
4.921851,-0.055742,-0.011325
4.999128,-0.093377,-0.018679
4.999128,-0.093377,-0.018679
4.999128,-0.093377,-0.018679
4.999128,-0.093377,-0.018679
4.874949,-0.050752,-0.010411
5.000000,0.000000,0.000000
4.965337,0.180472,0.036346
4.571841,0.299528,0.065516
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.997012,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.547605,0.107106,0.023552
4.992171,0.279686,0.056025
4.992171,0.279686,0.056025
4.992171,0.279686,0.056025
4.992171,0.279686,0.056025
4.990567,0.224149,0.044914
4.999699,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.937045,0.058415,0.011832
4.998755,0.111551,0.022316
4.998755,0.111551,0.022316
4.998755,0.111551,0.022316
4.797737,0.104311,0.021742
4.999380,0.078747,0.015751
4.999380,0.078747,0.015751
4.999380,0.078747,0.015751
4.999380,0.078747,0.015751
4.999380,0.078747,0.015751
4.996660,0.079127,0.015836
4.999331,0.081782,0.016359
4.999331,0.081782,0.016359
4.999331,0.081782,0.016359
4.999331,0.081782,0.016359
4.999331,0.081782,0.016359
4.996525,0.082925,0.016596
4.999256,0.086246,0.017252
4.999256,0.086246,0.017252
4.999256,0.086246,0.017252
4.999256,0.086246,0.017252
4.999256,0.086246,0.017252
4.980955,0.160650,0.032253
4.996234,0.194006,0.038830
4.996234,0.194006,0.038830
4.996234,0.194006,0.038830
4.996234,0.194006,0.038830
4.986387,-0.100490,-0.020153
4.995885,-0.202806,-0.040595
4.982323,-0.028902,-0.005801
4.993210,0.260489,0.052169
4.993210,0.260489,0.052169
4.993210,0.260489,0.052169
4.993210,0.260489,0.052169
4.993210,0.260489,0.052169
4.961734,0.291413,0.058732
4.930493,0.262639,0.053268
4.997799,0.148340,0.029681
4.997799,0.148340,0.029681
4.997799,0.148340,0.029681
4.995176,0.212261,0.042493
4.995480,0.212567,0.042552
