dh,dz,slope
4.922964,0.272113,0.055274
4.986958,-0.183328,-0.036761
4.987185,0.357751,0.071734
4.742430,0.053464,0.011273
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.950386,0.000000,0.000000
4.496620,0.000000,0.000000
5.000000,0.000000,0.000000
4.728290,0.000000,0.000000
4.978198,0.000000,0.000000
4.677878,0.000000,0.000000
5.000000,0.000000,0.000000
4.937512,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.999026,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.992885,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.814145,0.243682,0.050618
4.878231,1.096753,0.224826
4.918117,0.634288,0.128970
4.997672,0.152558,0.030526
4.997672,0.152558,0.030526
4.997672,0.152558,0.030526
4.997672,0.152558,0.030526
4.997672,0.152558,0.030526
4.997672,0.152558,0.030526
4.997672,0.152558,0.030526
4.997672,0.152558,0.030526
4.783806,0.595787,0.124543
3.967885,0.509029,0.128287
4.844951,0.000000,0.000000
4.910404,0.896022,0.182474
4.910419,0.942222,0.191882
4.910419,0.942222,0.191882
4.910419,0.942222,0.191882
4.910419,0.942222,0.191882
4.910419,0.942222,0.191882
4.910419,0.942222,0.191882
4.910419,0.942222,0.191882
4.910419,0.942222,0.191882
4.910419,0.942222,0.191882
4.910419,0.942222,0.191882
3.889716,1.470802,0.378126
2.937678,4.045992,1.377275
3.173502,-3.664931,-1.154853
3.260385,-3.790764,-1.162673
4.400326,-1.396031,-0.317256
4.923167,-0.873171,-0.177360
3.920735,-2.340380,-0.596924
4.278681,-1.540524,-0.360046
4.990855,-0.302263,-0.060563
4.990855,-0.302263,-0.060563
4.990855,-0.302263,-0.060563
4.990855,-0.302263,-0.060563
4.990855,-0.302263,-0.060563
4.928528,-0.217920,-0.044216
4.943642,-0.100097,-0.020248
4.926846,-0.852166,-0.172964
4.647767,0.045863,0.009868
4.589315,1.294891,0.282153
4.789783,1.017348,0.212400
4.762472,1.429286,0.300114
4.601459,1.686668,0.366551
4.941341,0.763637,0.154540
4.876930,0.681176,0.139673
