dh,dz,slope
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.973855,0.000000,0.000000
5.000000,0.000000,0.000000
4.787893,0.000000,0.000000
5.000000,0.000000,0.000000
4.781361,0.000000,0.000000
5.000000,0.000000,0.000000
4.945347,0.000000,0.000000
5.000000,0.000000,0.000000
4.973886,0.000000,0.000000
5.000000,0.000000,0.000000
4.615054,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.998693,0.000000,0.000000
5.000000,0.000000,0.000000
4.984467,0.000000,0.000000
5.000000,0.000000,0.000000
4.995260,0.043578,0.008724
4.999564,0.066069,0.013215
4.396631,0.078704,0.017901
4.999097,0.094992,0.019002
4.895338,0.095044,0.019415
4.999095,0.095130,0.019030
4.994162,0.095121,0.019046
4.999095,0.095099,0.019023
4.988952,0.095096,0.019061
4.999098,0.094966,0.018997
4.999098,0.094966,0.018997
4.998406,0.094955,0.018997
4.999098,0.094953,0.018994
4.966750,0.094987,0.019125
4.999097,0.095020,0.019008
4.992250,0.095028,0.019035
4.999096,0.095069,0.019017
4.999096,0.095069,0.019017
4.998847,0.095077,0.019020
4.999096,0.095078,0.019019
4.775962,0.094934,0.019877
4.999099,0.094896,0.018983
4.956871,0.094922,0.019150
4.999099,0.094936,0.018991
4.943499,0.094909,0.019199
4.999099,0.094894,0.018982
4.895876,0.094918,0.019387
4.999098,0.094966,0.018997
4.976962,0.094953,0.019079
4.999099,0.094917,0.018987
4.987031,0.094912,0.019032
4.999099,0.094898,0.018983
4.948282,0.094909,0.019180
4.999098,0.094971,0.018998
4.979247,0.094966,0.019072
4.999099,0.094898,0.018983
4.999099,0.094898,0.018983
4.999080,0.094897,0.018983
4.999099,0.094897,0.018983
4.995532,0.111102,0.022240
4.998656,0.115948,0.023196
4.985393,0.164780,0.033053
4.995373,0.215062,0.043052
4.941953,0.215090,0.043523
4.995368,0.215166,0.043073
4.995368,0.215166,0.043073
4.995352,0.215148,0.043070
4.995369,0.215148,0.043070
4.963373,0.215070,0.043331
4.995373,0.215061,0.043052
4.992817,0.215061,0.043074
4.995373,0.215062,0.043052
4.993992,0.215063,0.043064
4.995372,0.215068,0.043053
4.842365,0.215100,0.044420
4.995350,0.215577,0.043155
4.995350,0.215577,0.043155
4.980639,0.215717,0.043311
4.995344,0.215733,0.043187
4.994214,0.215748,0.043200
4.995343,0.215755,0.043191
4.532890,0.215674,0.047580
4.995349,0.215606,0.043161
4.995349,0.215606,0.043161
4.980865,0.215307,0.043227
4.995362,0.215296,0.043099
3.441460,0.215387,0.062586
4.995357,0.215430,0.043126
4.540012,0.215235,0.047408
4.995373,0.215067,0.043053
4.619989,0.215257,0.046592
4.995353,0.215519,0.043144
4.886320,0.215430,0.044088
4.995368,0.215182,0.043076
4.963154,0.215179,0.043355
4.995371,0.215095,0.043059
4.995371,0.215095,0.043059
4.984134,0.215140,0.043165
4.995369,0.215157,0.043071
4.994137,0.211755,0.042401
4.995713,0.207016,0.041439
4.992722,0.205872,0.041234
4.996446,0.188493,0.037725
4.996446,0.188493,0.037725
4.917479,0.188732,0.038380
4.996435,0.188786,0.037784
4.856332,0.188549,0.038825
4.996447,0.188458,0.037718
4.996309,0.188461,0.037720
4.996447,0.188465,0.037720
4.996447,0.188465,0.037720
4.991275,0.188377,0.037741
4.996450,0.188374,0.037702
4.986333,0.188400,0.037783
4.996449,0.188412,0.037709
4.953341,0.188478,0.038051
4.996444,0.188540,0.037735
4.873325,0.188619,0.038704
4.996431,0.188876,0.037802
4.839586,0.188795,0.039011
4.996446,0.188486,0.037724
4.990576,0.188481,0.037767
4.996450,0.188392,0.037705
4.996450,0.188392,0.037705
4.952071,0.188488,0.038062
4.996444,0.188525,0.037732
4.322641,0.188767,0.043669
4.996426,0.189030,0.037833
4.320381,0.188827,0.043706
4.996445,0.188508,0.037728
4.985553,0.188497,0.037809
4.996449,0.188410,0.037709
4.996449,0.188410,0.037709
4.979993,0.188546,0.037861
4.996443,0.188558,0.037738
4.994174,0.188519,0.037748
4.996445,0.188511,0.037729
4.996217,0.188521,0.037733
4.996445,0.188524,0.037732
4.969889,0.176348,0.035483
4.997074,0.171048,0.034230
4.910198,0.071632,0.014589
4.999909,-0.030074,-0.006015
4.997797,-0.030076,-0.006018
4.999909,-0.030079,-0.006016
4.997924,-0.030079,-0.006018
4.999909,-0.030067,-0.006014
4.999909,-0.030067,-0.006014
4.710990,-0.030122,-0.006394
4.999909,-0.030140,-0.006028
4.974201,-0.030147,-0.006061
4.999909,-0.030157,-0.006031
4.937482,-0.030161,-0.006109
4.999909,-0.030168,-0.006034
4.829100,-0.030158,-0.006245
4.999909,-0.030135,-0.006027
4.483936,-0.030130,-0.006719
4.999910,-0.030063,-0.006013
4.999910,-0.030063,-0.006013
4.995999,-0.030061,-0.006017
4.999909,-0.030061,-0.006012
