dh,dz,slope
2.731194,0.206004,0.075426
2.143543,-0.354955,-0.165592
4.102230,-0.811049,-0.197709
3.904930,0.106962,0.027391
0.585041,-0.282680,-0.483179
2.375042,0.323659,0.136275
1.268618,-0.965029,-0.760693
3.497557,0.194022,0.055473
0.962616,0.009024,0.009374
0.889222,0.941128,1.058371
4.164901,-0.689716,-0.165602
4.997864,0.146144,0.029241
4.997864,0.146144,0.029241
4.755282,-0.038016,-0.007994
4.995634,-0.208913,-0.041819
4.995634,-0.208913,-0.041819
4.995634,-0.208913,-0.041819
4.995634,-0.208913,-0.041819
4.971095,-0.015991,-0.003217
4.794188,0.017675,0.003687
4.999411,0.076771,0.015356
4.999411,0.076771,0.015356
4.999411,0.076771,0.015356
4.999411,0.076771,0.015356
4.999411,0.076771,0.015356
4.999411,0.076771,0.015356
4.996363,0.001696,0.000340
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.306817,0.906539,0.210489
4.995827,-0.204240,-0.040882
4.995827,-0.204240,-0.040882
4.995827,-0.204240,-0.040882
4.995827,-0.204240,-0.040882
4.797237,-0.132534,-0.027627
4.999414,-0.076514,-0.015305
4.999414,-0.076514,-0.015305
4.999414,-0.076514,-0.015305
4.999414,-0.076514,-0.015305
4.999414,-0.076514,-0.015305
4.996465,0.039597,0.007925
4.989326,0.326537,0.065447
4.989326,0.326537,0.065447
4.989326,0.326537,0.065447
4.989326,0.326537,0.065447
4.989326,0.326537,0.065447
4.784989,0.231155,0.048308
4.999137,0.092869,0.018577
4.999137,0.092869,0.018577
4.999137,0.092869,0.018577
4.999137,0.092869,0.018577
4.915514,0.070617,0.014366
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.975095,0.081304,0.016342
4.996677,0.182264,0.036477
4.996677,0.182264,0.036477
4.996677,0.182264,0.036477
4.996677,0.182264,0.036477
4.975586,0.169940,0.034155
4.998713,0.113414,0.022689
4.998713,0.113414,0.022689
4.998713,0.113414,0.022689
4.998713,0.113414,0.022689
4.998713,0.113414,0.022689
4.998713,0.113414,0.022689
4.998713,0.113414,0.022689
4.998713,0.113414,0.022689
4.997879,0.097931,0.019595
4.999158,0.091742,0.018351
4.999158,0.091742,0.018351
4.999158,0.091742,0.018351
4.999158,0.091742,0.018351
4.712877,0.213081,0.045213
4.988199,0.343326,0.068828
4.988199,0.343326,0.068828
4.707348,0.458600,0.097422
4.973785,0.511334,0.102806
4.987874,0.244198,0.048958
4.997013,0.172813,0.034583
4.983479,0.170816,0.034276
4.927285,0.101947,0.020690
4.995636,0.208843,0.041805
4.862410,0.089654,0.018438
4.978965,-0.400445,-0.080427
5.000000,0.000000,0.000000
1.928997,0.900639,0.466895
4.826024,-0.900639,-0.186621
4.989901,0.000000,0.000000
4.896042,0.480000,0.098038
4.972279,0.000000,0.000000
4.975359,0.462934,0.093045
4.977652,0.170121,0.034177
4.997485,0.158584,0.031733
4.997485,0.158584,0.031733
4.963536,0.009777,0.001970
4.947945,0.003810,0.000770
4.991410,0.292969,0.058695
4.991410,0.292969,0.058695
4.991410,0.292969,0.058695
4.564107,-0.402716,-0.088235
4.933551,0.149526,0.030308
4.997217,0.166785,0.033376
4.997217,0.166785,0.033376
4.997217,0.166785,0.033376
4.997217,0.166785,0.033376
4.963634,0.187112,0.037697
4.990297,0.311342,0.062389
4.990297,0.311342,0.062389
4.990297,0.311342,0.062389
4.990297,0.311342,0.062389
4.990297,0.311342,0.062389
4.990297,0.311342,0.062389
4.997056,0.156223,0.031263
4.997688,0.152043,0.030423
4.997688,0.152043,0.030423
4.997688,0.152043,0.030423
4.997688,0.152043,0.030423
4.997688,0.152043,0.030423
4.943641,0.224599,0.045432
4.993130,0.262013,0.052475
4.993130,0.262013,0.052475
4.993130,0.262013,0.052475
4.993130,0.262013,0.052475
4.991531,0.218280,0.043730
4.999262,-0.085889,-0.017180
4.999262,-0.085889,-0.017180
4.999262,-0.085889,-0.017180
4.999262,-0.085889,-0.017180
4.999262,-0.085889,-0.017180
4.941335,0.028879,0.005844
4.996504,0.186946,0.037415
4.996504,0.186946,0.037415
4.996504,0.186946,0.037415
4.996504,0.186946,0.037415
4.972403,0.164444,0.033071
4.999191,0.089948,0.017992
4.999191,0.089948,0.017992
4.999191,0.089948,0.017992
4.999191,0.089948,0.017992
4.999191,0.089948,0.017992
4.992865,0.146237,0.029289
4.997664,0.152801,0.030574
4.997664,0.152801,0.030574
4.997664,0.152801,0.030574
4.997664,0.152801,0.030574
4.997664,0.152801,0.030574
4.965964,0.059153,0.011912
4.872407,0.480000,0.098514
4.997464,0.000000,0.000000
5.000000,0.000000,0.000000
4.899269,0.000000,0.000000
4.041411,0.457471,0.113196
4.678364,-1.417471,-0.302984
4.787549,0.070158,0.014654
4.551904,0.616975,0.135542
4.931081,0.272867,0.055336
4.881772,0.127840,0.026187
4.981478,0.429969,0.086314
4.981478,0.429969,0.086314
4.981478,0.429969,0.086314
4.981478,0.429969,0.086314
3.945868,0.682197,0.172889
4.994734,0.229410,0.045930
4.994734,0.229410,0.045930
4.994734,0.229410,0.045930
4.856176,0.064182,0.013217
4.995856,-0.203525,-0.040739
4.995856,-0.203525,-0.040739
4.995856,-0.203525,-0.040739
4.995856,-0.203525,-0.040739
4.894112,-0.068226,-0.013940
5.000000,0.000000,0.000000
3.123010,0.979193,0.313541
4.996183,0.195326,0.039095
4.996183,0.195326,0.039095
4.996183,0.195326,0.039095
4.996183,0.195326,0.039095
4.922997,0.289985,0.058904
4.949121,0.711475,0.143758
2.870738,1.152116,0.401331
4.998507,0.122205,0.024448
4.998507,0.122205,0.024448
4.998507,0.122205,0.024448
1.310249,0.557342,0.425371
4.991891,0.284645,0.057021
4.991891,0.284645,0.057021
4.991891,0.284645,0.057021
2.139796,1.038037,0.485110
4.710767,1.025833,0.217763
4.996126,0.196789,0.039388
4.996126,0.196789,0.039388
2.928125,-1.181467,-0.403489
4.501158,0.963980,0.214163
3.866904,0.154156,0.039866
4.933535,0.812550,0.164699
4.974088,0.434383,0.087329
4.991937,0.283833,0.056858
4.991937,0.283833,0.056858
4.964666,0.338932,0.068269
4.977966,0.468888,0.094193
4.977966,0.468888,0.094193
4.977966,0.468888,0.094193
4.975347,0.422151,0.084849
4.994303,0.238607,0.047776
4.994303,0.238607,0.047776
4.994303,0.238607,0.047776
4.994303,0.238607,0.047776
4.994303,0.238607,0.047776
4.992759,0.229544,0.045975
4.996590,0.184635,0.036952
4.996590,0.184635,0.036952
4.996590,0.184635,0.036952
4.996590,0.184635,0.036952
4.996590,0.184635,0.036952
4.989122,0.328360,0.065815
4.988896,0.333038,0.066756
4.988896,0.333038,0.066756
4.988896,0.333038,0.066756
4.993001,0.258498,0.051772
