dh,dz,slope
3.511068,-3.559831,-1.013888
3.647206,-2.612851,-0.716398
4.992573,0.272423,0.054566
4.974277,0.024913,0.005008
4.994344,-0.237760,-0.047606
4.973686,-0.126894,-0.025513
5.000000,0.000000,0.000000
4.999562,0.000000,0.000000
5.000000,0.000000,0.000000
4.886384,0.000000,0.000000
5.000000,0.000000,0.000000
4.289928,0.000000,0.000000
4.874408,0.130333,0.026738
4.995605,0.209614,0.041960
4.992215,0.056799,0.011378
4.993702,-0.250878,-0.050239
4.472594,-0.145868,-0.032614
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.849214,0.187206,0.038606
4.993015,0.264210,0.052916
4.993015,0.264210,0.052916
4.993412,0.244373,0.048939
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.997167,0.000000,0.000000
5.000000,0.000000,0.000000
4.999955,0.000000,0.000000
5.000000,0.000000,0.000000
4.712893,0.172637,0.036631
4.984704,0.390811,0.078402
4.984704,0.390811,0.078402
4.996349,0.176738,0.035373
4.996987,0.173546,0.034730
4.855117,0.135457,0.027900
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.864204,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.884899,0.031530,0.006454
4.995758,0.205927,0.041220
4.995758,0.205927,0.041220
4.995173,0.205258,0.041091
4.995791,0.205113,0.041057
4.994003,0.106246,0.021275
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.995627,0.173998,0.034830
4.996182,0.195363,0.039102
4.989374,0.110639,0.022175
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.964092,0.151535,0.030526
4.995623,0.209157,0.041868
4.985281,0.119309,0.023932
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.997777,0.000000,0.000000
5.000000,0.000000,0.000000
4.997931,0.078538,0.015714
4.995777,0.205455,0.041126
4.995555,0.207095,0.041456
4.994182,0.241137,0.048284
4.944875,0.237250,0.047979
4.997076,0.170981,0.034216
4.997076,0.170981,0.034216
4.825967,0.183335,0.037989
4.995123,0.220780,0.044199
4.941719,0.219750,0.044468
4.995719,0.206853,0.041406
4.995719,0.206853,0.041406
4.978365,0.432444,0.086865
4.974305,0.506251,0.101773
4.986500,0.306041,0.061374
4.760768,0.239200,0.050244
4.982544,-0.417434,-0.083779
4.982544,-0.417434,-0.083779
2.047679,0.851927,0.416045
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.983829,0.017545,0.003520
4.997271,0.165167,0.033051
4.997271,0.165167,0.033051
4.930901,0.239285,0.048528
4.971228,0.535626,0.107745
4.939912,0.317211,0.064214
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.972830,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.957959,0.017348,0.003499
4.997906,0.144671,0.028946
4.997906,0.144671,0.028946
4.997906,0.144671,0.028946
4.987742,0.165586,0.033199
4.997084,0.170749,0.034170
4.997084,0.170749,0.034170
4.996406,0.153414,0.030705
4.997651,0.153255,0.030665
4.997651,0.153255,0.030665
4.992980,0.192380,0.038530
4.996046,0.198810,0.039793
4.876891,0.214650,0.044014
4.994500,0.234448,0.046941
4.955771,0.222703,0.044938
4.995801,0.204873,0.041009
4.982844,0.204373,0.041015
4.996170,0.195662,0.039162
4.996170,0.195662,0.039162
4.949425,0.078072,0.015774
5.000000,0.000000,0.000000
