dh,dz,slope
1.698852,-2.294076,-1.350368
2.265003,0.973246,0.429688
3.192310,-0.708674,-0.221994
3.984919,-0.262920,-0.065979
4.050282,-0.151140,-0.037316
2.629298,-0.201882,-0.076782
3.142226,1.291357,0.410969
1.141810,-3.929751,-3.441684
0.503485,1.198578,2.380561
2.117482,2.329065,1.099921
0.707688,4.463706,6.307440
1.510716,-3.445207,-2.280510
4.279252,-0.951255,-0.222295
4.711169,0.260491,0.055292
4.999390,0.078072,0.015616
4.980228,-0.007605,-0.001527
4.999011,-0.099438,-0.019892
4.999011,-0.099438,-0.019892
4.939608,-0.107856,-0.021835
4.994609,-0.232130,-0.046476
4.992695,-0.212662,-0.042595
4.999997,0.005892,0.001178
4.989392,0.196572,0.039398
4.931065,0.276585,0.056090
4.999959,0.020386,0.004077
4.703885,-0.033630,-0.007149
4.999252,-0.086489,-0.017300
4.999252,-0.086489,-0.017300
4.999252,-0.086489,-0.017300
4.999252,-0.086489,-0.017300
4.998592,-0.077741,-0.015553
4.999868,0.036346,0.007269
4.999868,0.036346,0.007269
4.999868,0.036346,0.007269
4.999868,0.036346,0.007269
4.928142,0.232857,0.047251
4.999532,0.068417,0.013685
4.999532,0.068417,0.013685
4.999532,0.068417,0.013685
4.992353,0.134464,0.026934
4.993493,0.248662,0.049797
4.999656,-0.058632,-0.011727
4.999656,-0.058632,-0.011727
4.999656,-0.058632,-0.011727
4.999656,-0.058632,-0.011727
4.999656,-0.058632,-0.011727
4.951452,0.167981,0.033926
4.996234,0.194033,0.038836
4.996234,0.194033,0.038836
4.644790,0.181701,0.039119
4.998366,0.127795,0.025567
4.998366,0.127795,0.025567
4.998366,0.127795,0.025567
4.998366,0.127795,0.025567
4.984235,0.061114,0.012262
4.999727,0.052229,0.010446
4.999727,0.052229,0.010446
4.999727,0.052229,0.010446
4.997408,0.056364,0.011279
4.999090,0.095393,0.019082
4.999090,0.095393,0.019082
4.999090,0.095393,0.019082
4.998915,0.100085,0.020021
4.998118,0.137168,0.027444
4.998118,0.137168,0.027444
4.998118,0.137168,0.027444
4.998118,0.137168,0.027444
4.990053,0.072260,0.014481
4.999519,0.069331,0.013868
4.999519,0.069331,0.013868
4.999519,0.069331,0.013868
4.993666,0.071051,0.014228
4.998962,0.101883,0.020381
