dh,dz,slope
4.196282,0.400000,0.095322
5.000000,0.000000,0.000000
4.916949,0.009545,0.001941
4.999053,0.097318,0.019467
4.999053,0.097318,0.019467
4.999053,0.097318,0.019467
4.999053,0.097318,0.019467
4.999053,0.097318,0.019467
4.886433,0.087848,0.017978
4.999235,0.087457,0.017494
4.999235,0.087457,0.017494
4.999235,0.087457,0.017494
4.999235,0.087457,0.017494
4.749774,0.076570,0.016121
4.999818,0.042693,0.008539
4.999818,0.042693,0.008539
4.999818,0.042693,0.008539
4.999818,0.042693,0.008539
4.999818,0.042693,0.008539
4.999818,0.042693,0.008539
4.999818,0.042693,0.008539
4.999818,0.042693,0.008539
4.999818,0.042693,0.008539
4.999818,0.042693,0.008539
4.999818,0.042693,0.008539
4.839652,0.019992,0.004131
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.931846,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.990451,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.131401,0.031928,0.007728
4.998880,0.105832,0.021171
4.998880,0.105832,0.021171
4.998880,0.105832,0.021171
4.998880,0.105832,0.021171
4.998880,0.105832,0.021171
4.998880,0.105832,0.021171
4.998880,0.105832,0.021171
4.998880,0.105832,0.021171
4.998880,0.105832,0.021171
4.998880,0.105832,0.021171
4.998880,0.105832,0.021171
4.998880,0.105832,0.021171
4.961954,0.098084,0.019767
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.995877,0.041910,0.008389
4.998649,0.116217,0.023250
4.998649,0.116217,0.023250
4.998649,0.116217,0.023250
4.955337,0.125573,0.025341
4.992344,0.276592,0.055403
4.858685,0.221512,0.045591
4.999677,0.056814,0.011363
4.999677,0.056814,0.011363
4.999677,0.056814,0.011363
4.999677,0.056814,0.011363
4.999677,0.056814,0.011363
4.999677,0.056814,0.011363
4.999677,0.056814,0.011363
4.999677,0.056814,0.011363
4.999677,0.056814,0.011363
4.999677,0.056814,0.011363
4.999677,0.056814,0.011363
4.999677,0.056814,0.011363
4.999677,0.056814,0.011363
4.999677,0.056814,0.011363
4.999677,0.056814,0.011363
4.995823,0.157452,0.031517
4.990831,0.302657,0.060643
4.990831,0.302657,0.060643
4.990831,0.302657,0.060643
4.990831,0.302657,0.060643
4.990831,0.302657,0.060643
4.990831,0.302657,0.060643
4.990831,0.302657,0.060643
4.990831,0.302657,0.060643
4.990831,0.302657,0.060643
4.990831,0.302657,0.060643
4.989584,0.281697,0.056457
4.996641,0.183242,0.036673
4.996641,0.183242,0.036673
4.996641,0.183242,0.036673
4.996641,0.183242,0.036673
4.996641,0.183242,0.036673
4.996641,0.183242,0.036673
4.996641,0.183242,0.036673
4.996641,0.183242,0.036673
4.996641,0.183242,0.036673
4.996641,0.183242,0.036673
4.857004,0.035412,0.007291
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.748224,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.964951,0.053939,0.010864
4.999369,0.079423,0.015887
4.999369,0.079423,0.015887
4.999369,0.079423,0.015887
4.999369,0.079423,0.015887
4.999369,0.079423,0.015887
4.999369,0.079423,0.015887
4.999369,0.079423,0.015887
4.999369,0.079423,0.015887
4.999369,0.079423,0.015887
4.999369,0.079423,0.015887
4.999369,0.079423,0.015887
4.998834,0.074119,0.014827
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.999963,0.019339,0.003868
4.998779,0.027326,0.005467
4.999713,0.053595,0.010720
4.999713,0.053595,0.010720
4.999713,0.053595,0.010720
4.999713,0.053595,0.010720
