dh,dz,slope
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.384857,0.000000,0.000000
5.000000,0.000000,0.000000
4.997921,0.000000,0.000000
3.781574,0.082303,0.021764
4.975221,-0.039958,-0.008031
3.418073,-0.807963,-0.236379
4.134089,-1.555479,-0.376257
4.973424,0.514835,0.103517
1.020735,0.146320,0.143348
1.350928,0.153894,0.113917
4.926285,0.306048,0.062125
5.000000,0.000000,0.000000
4.999989,0.000000,0.000000
4.993762,0.129662,0.025965
4.989703,0.320720,0.064276
4.993706,-0.000747,-0.000150
4.803359,-0.581449,-0.121050
3.853984,-3.185405,-0.826522
3.853984,-3.185405,-0.826522
4.820506,-0.925207,-0.191931
4.963499,-0.603062,-0.121499
4.928855,-0.816763,-0.165710
4.928179,-0.844421,-0.171345
4.934720,-0.693145,-0.140463
4.963101,-0.606319,-0.122165
4.970451,-0.452875,-0.091114
4.998147,-0.136104,-0.027231
4.979551,-0.153748,-0.030876
4.983490,-0.265733,-0.053323
4.999663,-0.001062,-0.000212
4.995340,-0.215826,-0.043206
4.995656,-0.205983,-0.041232
4.997723,-0.150890,-0.030192
4.995025,-0.126238,-0.025273
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.997887,-0.067376,-0.013481
4.942672,-0.641306,-0.129749
4.913160,-0.927824,-0.188845
4.899058,-0.972609,-0.198530
4.880852,-1.085027,-0.222303
4.880022,-0.948562,-0.194377
4.993308,-0.258608,-0.051791
4.993308,-0.258608,-0.051791
4.993943,-0.040081,-0.008026
4.974713,0.166415,0.033452
4.993072,0.263114,0.052696
4.986093,0.235823,0.047296
4.989792,0.161011,0.032268
4.999078,0.096024,0.019208
4.990077,0.197514,0.039581
4.960739,0.625353,0.126060
4.960739,0.625353,0.126060
4.980821,0.434939,0.087323
4.981858,0.425548,0.085420
4.946953,0.713468,0.144224
4.944024,0.731657,0.147988
4.973329,0.515755,0.103704
4.943720,0.330065,0.066764
4.999701,0.054720,0.010945
4.996921,0.023241,0.004651
4.940511,-0.459717,-0.093050
4.870567,-1.053718,-0.216344
4.965212,-0.588783,-0.118582
4.841553,-0.414625,-0.085639
4.989326,-0.326530,-0.065446
4.900642,-0.262534,-0.053571
4.993791,-0.249108,-0.049883
4.979215,-0.379343,-0.076185
4.968463,-0.560688,-0.112849
4.968463,-0.560688,-0.112849
4.979313,-0.356741,-0.071645
4.999896,-0.032323,-0.006465
4.999896,-0.032323,-0.006465
4.994910,0.097891,0.019598
4.982889,0.413300,0.082944
4.982889,0.413300,0.082944
4.977845,0.457114,0.091830
4.949079,0.711774,0.143819
4.969022,0.466748,0.093932
4.990730,0.304319,0.060977
4.998040,0.132784,0.026567
4.998429,0.125328,0.025073
4.994933,0.004940,0.000989
4.997298,-0.127808,-0.025575
4.994566,-0.208387,-0.041723
4.992993,-0.264619,-0.052998
4.990899,-0.222249,-0.044531
4.995483,-0.212485,-0.042535
4.991969,-0.279886,-0.056067
4.960011,-0.613355,-0.123660
4.989326,-0.263003,-0.052713
4.996993,-0.173397,-0.034700
4.989283,-0.085186,-0.017074
4.993722,0.133376,0.026709
4.977898,0.469607,0.094338
4.977898,0.469607,0.094338
4.978464,0.460582,0.092515
4.979051,0.457221,0.091829
4.977911,0.466962,0.093807
4.969573,0.550759,0.110826
4.969573,0.550759,0.110826
4.971791,0.520492,0.104689
4.977744,0.471240,0.094669
4.977744,0.471240,0.094669
4.990530,0.248558,0.049806
4.998719,0.113200,0.022646
4.998719,0.113200,0.022646
4.991925,0.278696,0.055829
4.995416,0.165028,0.033036
4.997589,0.078456,0.015699
4.998849,0.107254,0.021456
4.998849,0.107254,0.021456
4.997531,0.094501,0.018910
4.999457,0.073641,0.014730
4.999485,0.071734,0.014348
4.999485,0.071734,0.014348
4.996115,0.079222,0.015857
4.998926,0.103641,0.020733
4.998926,0.103641,0.020733
4.993283,0.068393,0.013697
5.000000,0.000000,0.000000
4.993265,-0.255794,-0.051228
4.993246,-0.259796,-0.052029
4.984539,-0.345498,-0.069314
4.969086,-0.555143,-0.111719
4.952655,-0.585690,-0.118258
4.957031,-0.654097,-0.131953
4.970515,-0.507524,-0.102107
4.988087,-0.344944,-0.069154
4.730839,-0.259345,-0.054820
4.997674,-0.152499,-0.030514
4.883128,-0.158774,-0.032515
4.997255,-0.165639,-0.033146
4.996905,-0.169843,-0.033990
4.994582,-0.232709,-0.046592
4.994582,-0.232709,-0.046592
4.976769,-0.422581,-0.084911
4.960819,-0.624723,-0.125931
4.960819,-0.624723,-0.125931
4.972063,-0.526438,-0.105879
4.973068,-0.518264,-0.104214
4.972178,-0.508344,-0.102238
4.979201,-0.420196,-0.084390
4.998421,-0.125652,-0.025138
4.998421,-0.125652,-0.025138
4.996202,-0.155575,-0.031139
4.997361,-0.162431,-0.032503
4.992695,-0.164717,-0.032992
4.996550,-0.183035,-0.036632
