dh,dz,slope
4.652269,0.160703,0.034543
4.999750,-0.049976,-0.009996
4.981748,-0.021148,-0.004245
4.999982,-0.013268,-0.002654
4.999982,-0.013268,-0.002654
4.999982,-0.013268,-0.002654
4.999982,-0.013268,-0.002654
4.999982,-0.013268,-0.002654
4.999982,-0.013268,-0.002654
4.907586,-0.002552,-0.000520
4.999911,0.029833,0.005967
4.999911,0.029833,0.005967
4.999911,0.029833,0.005967
4.999911,0.029833,0.005967
4.999911,0.029833,0.005967
4.999911,0.029833,0.005967
4.999911,0.029833,0.005967
4.999911,0.029833,0.005967
4.999911,0.029833,0.005967
4.999911,0.029833,0.005967
4.999911,0.029833,0.005967
4.999911,0.029833,0.005967
4.999911,0.029833,0.005967
4.999911,0.029833,0.005967
4.999911,0.029833,0.005967
4.999911,0.029833,0.005967
4.930171,0.001921,0.000390
4.999926,-0.027263,-0.005453
4.999926,-0.027263,-0.005453
4.999926,-0.027263,-0.005453
4.999926,-0.027263,-0.005453
4.999926,-0.027263,-0.005453
4.999926,-0.027263,-0.005453
4.999926,-0.027263,-0.005453
4.999926,-0.027263,-0.005453
4.999926,-0.027263,-0.005453
4.999926,-0.027263,-0.005453
4.815249,-0.037360,-0.007759
4.999769,-0.048084,-0.009617
4.999769,-0.048084,-0.009617
4.999769,-0.048084,-0.009617
4.999769,-0.048084,-0.009617
4.999769,-0.048084,-0.009617
4.999769,-0.048084,-0.009617
4.999769,-0.048084,-0.009617
4.999769,-0.048084,-0.009617
4.999769,-0.048084,-0.009617
4.999769,-0.048084,-0.009617
4.999769,-0.048084,-0.009617
4.999769,-0.048084,-0.009617
4.999769,-0.048084,-0.009617
4.999769,-0.048084,-0.009617
4.999958,-0.003512,-0.000702
5.000000,0.000000,0.000000
4.495099,0.013235,0.002944
4.999933,0.025863,0.005173
4.999933,0.025863,0.005173
4.999933,0.025863,0.005173
4.936487,-0.032172,-0.006517
4.999589,-0.064075,-0.012816
4.999589,-0.064075,-0.012816
4.999589,-0.064075,-0.012816
4.999589,-0.064075,-0.012816
4.999589,-0.064075,-0.012816
4.999589,-0.064075,-0.012816
4.999589,-0.064075,-0.012816
4.999589,-0.064075,-0.012816
4.999589,-0.064075,-0.012816
4.999589,-0.064075,-0.012816
4.999589,-0.064075,-0.012816
4.999589,-0.064075,-0.012816
4.999589,-0.064075,-0.012816
4.999589,-0.064075,-0.012816
4.999265,-0.069335,-0.013869
4.995978,-0.200501,-0.040133
4.995978,-0.200501,-0.040133
4.995978,-0.200501,-0.040133
4.995978,-0.200501,-0.040133
4.995978,-0.200501,-0.040133
4.995978,-0.200501,-0.040133
4.995978,-0.200501,-0.040133
4.995978,-0.200501,-0.040133
4.995978,-0.200501,-0.040133
4.995978,-0.200501,-0.040133
4.998146,-0.092523,-0.018512
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.999991,-0.009326,-0.001865
4.997124,-0.012576,-0.002517
4.999866,-0.036705,-0.007341
4.999866,-0.036705,-0.007341
4.999866,-0.036705,-0.007341
4.999866,-0.036705,-0.007341
4.999866,-0.036705,-0.007341
4.999866,-0.036705,-0.007341
4.999866,-0.036705,-0.007341
4.999866,-0.036705,-0.007341
