dh,dz,slope
4.515035,2.148131,0.475773
3.570074,2.122036,0.594395
4.990548,-0.307288,-0.061574
4.962133,-0.085414,-0.017213
4.997282,0.164835,0.032985
4.997282,0.164835,0.032985
4.924888,0.092866,0.018856
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.514354,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.982063,0.000000,0.000000
4.363864,-0.030539,-0.006998
4.999262,-0.085875,-0.017177
4.999262,-0.085875,-0.017177
4.999262,-0.085875,-0.017177
4.999262,-0.085875,-0.017177
4.999262,-0.085875,-0.017177
4.959381,-0.040089,-0.008083
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.995248,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.262839,-0.328902,-0.077156
4.970898,-0.538676,-0.108366
4.970898,-0.538676,-0.108366
4.970898,-0.538676,-0.108366
4.970898,-0.538676,-0.108366
4.964428,-0.416393,-0.083875
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.995848,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.916416,0.033383,0.006790
4.999350,0.080646,0.016131
4.999350,0.080646,0.016131
4.999350,0.080646,0.016131
4.999350,0.080646,0.016131
4.999350,0.080646,0.016131
4.825112,0.063387,0.013137
4.996419,-0.069858,-0.013982
4.997114,-0.169861,-0.033992
4.997114,-0.169861,-0.033992
4.967251,-0.036146,-0.007277
4.998653,0.116046,0.023216
4.998653,0.116046,0.023216
4.998653,0.116046,0.023216
4.903958,0.097587,0.019900
5.000000,0.000000,0.000000
4.999947,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.844374,0.000000,0.000000
5.000000,0.000000,0.000000
4.983912,0.058411,0.011720
4.999200,0.089450,0.017893
4.999200,0.089450,0.017893
4.999200,0.089450,0.017893
4.999200,0.089450,0.017893
4.979479,0.083788,0.016827
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.989644,0.000000,0.000000
4.935283,-0.318326,-0.064500
4.649916,-0.115907,-0.024927
4.998648,0.116279,0.023262
4.998648,0.116279,0.023262
4.998648,0.116279,0.023262
4.998648,0.116279,0.023262
4.998648,0.116279,0.023262
4.998648,0.116279,0.023262
4.998648,0.116279,0.023262
4.998648,0.116279,0.023262
4.995341,0.139965,0.028019
4.998017,0.140809,0.028173
4.998017,0.140809,0.028173
4.998017,0.140809,0.028173
4.998017,0.140809,0.028173
4.998017,0.140809,0.028173
4.998331,0.128032,0.025615
4.998595,0.118548,0.023716
4.998595,0.118548,0.023716
4.998595,0.118548,0.023716
4.693274,-0.423682,-0.090274
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.832633,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.999253,-0.051260,-0.010254
4.999708,-0.054031,-0.010807
4.999708,-0.054031,-0.010807
4.999708,-0.054031,-0.010807
4.999708,-0.054031,-0.010807
4.999708,-0.054031,-0.010807
4.999708,-0.054031,-0.010807
4.996842,-0.125265,-0.025069
4.996591,-0.184598,-0.036945
4.996591,-0.184598,-0.036945
4.996591,-0.184598,-0.036945
4.996591,-0.184598,-0.036945
4.987244,-0.170516,-0.034191
4.999439,-0.074919,-0.014985
4.999439,-0.074919,-0.014985
4.999439,-0.074919,-0.014985
4.999439,-0.074919,-0.014985
4.999439,-0.074919,-0.014985
4.999439,-0.074919,-0.014985
4.993715,-0.123555,-0.024742
4.996689,-0.181934,-0.036411
4.996689,-0.181934,-0.036411
4.996689,-0.181934,-0.036411
4.996689,-0.181934,-0.036411
4.996689,-0.181934,-0.036411
4.996689,-0.181934,-0.036411
