dh,dz,slope
4.762654,1.106909,0.232414
4.998825,0.108396,0.021684
4.949347,0.067640,0.013667
4.999392,-0.077997,-0.015601
4.999392,-0.077997,-0.015601
4.999392,-0.077997,-0.015601
4.999392,-0.077997,-0.015601
4.661670,-0.070959,-0.015222
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.936973,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.997138,0.000000,0.000000
4.994371,-0.048837,-0.009778
4.999749,-0.050056,-0.010012
4.999749,-0.050056,-0.010012
4.999749,-0.050056,-0.010012
4.999248,-0.055071,-0.011016
4.999696,-0.055173,-0.011035
4.999696,-0.055173,-0.011035
4.804608,-0.035579,-0.007405
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.880629,-0.036333,-0.007444
4.979558,-0.451674,-0.090706
4.979558,-0.451674,-0.090706
4.979558,-0.451674,-0.090706
4.979558,-0.451674,-0.090706
4.979558,-0.451674,-0.090706
4.979558,-0.451674,-0.090706
4.979558,-0.451674,-0.090706
4.994882,-0.112522,-0.022527
4.999981,-0.013654,-0.002731
4.999981,-0.013654,-0.002731
4.999981,-0.013654,-0.002731
4.999981,-0.013654,-0.002731
4.999981,-0.013654,-0.002731
4.999981,-0.013654,-0.002731
4.991714,0.002812,0.000563
4.999948,0.022918,0.004584
4.999948,0.022918,0.004584
4.999948,0.022918,0.004584
4.968134,0.025758,0.005185
4.999691,0.055603,0.011121
4.622517,0.013441,0.002908
4.999179,-0.090575,-0.018118
4.999179,-0.090575,-0.018118
4.999179,-0.090575,-0.018118
4.999270,-0.002150,-0.000430
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.999691,0.009698,0.001940
4.999974,0.016128,0.003226
4.999974,0.016128,0.003226
4.999974,0.016128,0.003226
4.999974,0.016128,0.003226
4.999974,0.016128,0.003226
4.947091,-0.004110,-0.000831
4.999882,-0.034354,-0.006871
4.999882,-0.034354,-0.006871
4.764535,-0.041154,-0.008638
4.999767,-0.048230,-0.009646
4.999767,-0.048230,-0.009646
4.999767,-0.048230,-0.009646
4.999767,-0.048230,-0.009646
4.999767,-0.048230,-0.009646
4.988762,-0.079981,-0.016032
4.997247,-0.165900,-0.033198
4.997247,-0.165900,-0.033198
4.982442,-0.060693,-0.012181
4.999812,-0.043386,-0.008678
4.999812,-0.043386,-0.008678
4.999812,-0.043386,-0.008678
4.862150,-0.032585,-0.006702
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.991709,0.107442,0.021524
4.998696,0.114175,0.022841
4.998696,0.114175,0.022841
4.998696,0.114175,0.022841
4.998696,0.114175,0.022841
4.998696,0.114175,0.022841
4.783148,0.007223,0.001510
4.999968,-0.017851,-0.003570
4.999968,-0.017851,-0.003570
4.999968,-0.017851,-0.003570
4.999968,-0.017851,-0.003570
4.577271,-0.030651,-0.006696
4.999371,-0.079318,-0.015866
4.999371,-0.079318,-0.015866
4.999371,-0.079318,-0.015866
4.999371,-0.079318,-0.015866
4.999371,-0.079318,-0.015866
4.999371,-0.079318,-0.015866
4.999371,-0.079318,-0.015866
4.999371,-0.079318,-0.015866
4.999371,-0.079318,-0.015866
4.999402,-0.076947,-0.015391
4.999641,-0.059923,-0.011986
4.999641,-0.059923,-0.011986
4.999641,-0.059923,-0.011986
4.999641,-0.059923,-0.011986
4.999641,-0.059923,-0.011986
4.999641,-0.059923,-0.011986
4.998198,-0.063673,-0.012739
4.999534,-0.068311,-0.013663
4.999534,-0.068311,-0.013663
4.999534,-0.068311,-0.013663
4.999534,-0.068311,-0.013663
4.999534,-0.068311,-0.013663
4.999534,-0.068311,-0.013663
4.999534,-0.068311,-0.013663
4.999534,-0.068311,-0.013663
4.996976,-0.060880,-0.012183
4.999674,-0.057116,-0.011424
4.999674,-0.057116,-0.011424
4.999674,-0.057116,-0.011424
4.999674,-0.057116,-0.011424
4.999674,-0.057116,-0.011424
4.999674,-0.057116,-0.011424
4.999674,-0.057116,-0.011424
4.999674,-0.057116,-0.011424
4.998489,-0.115984,-0.023204
