dh,dz,slope
4.875249,-0.076970,-0.015788
4.699970,-0.197227,-0.041964
4.999783,0.046602,0.009321
4.999783,0.046602,0.009321
4.999783,0.046602,0.009321
4.883939,0.023050,0.004720
4.999813,-0.043276,-0.008655
4.999813,-0.043276,-0.008655
4.886851,-0.024962,-0.005108
4.999942,-0.024024,-0.004805
4.999942,-0.024024,-0.004805
4.999942,-0.024024,-0.004805
4.659057,-0.005076,-0.001089
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.948622,-0.057207,-0.011560
4.997199,-0.167344,-0.033488
4.997199,-0.167344,-0.033488
4.997199,-0.167344,-0.033488
4.990858,-0.182929,-0.036653
4.973490,0.140661,0.028282
4.961988,0.459977,0.092700
4.998303,-0.130251,-0.026059
4.992067,-0.130969,-0.026236
4.996892,-0.176260,-0.035274
4.996892,-0.176260,-0.035274
4.930179,-0.218155,-0.044249
4.983125,-0.410444,-0.082367
4.983125,-0.410444,-0.082367
4.983125,-0.410444,-0.082367
4.983125,-0.410444,-0.082367
4.983125,-0.410444,-0.082367
4.983125,-0.410444,-0.082367
4.978512,-0.143612,-0.028846
4.999886,0.033790,0.006758
4.999886,0.033790,0.006758
4.999886,0.033790,0.006758
4.999886,0.033790,0.006758
4.999886,0.033790,0.006758
4.989294,-0.030412,-0.006096
4.999636,-0.060377,-0.012076
4.999636,-0.060377,-0.012076
4.807093,0.025847,0.005377
4.997062,0.121982,0.024411
4.999567,-0.065845,-0.013170
4.999567,-0.065845,-0.013170
4.901867,-0.073729,-0.015041
4.998779,-0.110500,-0.022105
4.914074,-0.037899,-0.007712
4.999234,0.087547,0.017512
4.999234,0.087547,0.017512
4.999234,0.087547,0.017512
4.999234,0.087547,0.017512
4.999234,0.087547,0.017512
4.999234,0.087547,0.017512
4.999287,0.011612,0.002323
4.999635,-0.060443,-0.012090
4.985617,-0.055961,-0.011224
4.993688,-0.049809,-0.009974
4.999664,0.057991,0.011599
4.736826,0.000484,0.000102
4.998564,-0.119820,-0.023971
4.997194,-0.041428,-0.008290
4.993735,-0.094286,-0.018881
4.999095,-0.095079,-0.019019
4.912656,0.067193,0.013678
4.999232,0.087631,0.017529
4.999232,0.087631,0.017529
4.976313,-0.274247,-0.055110
4.934432,0.118524,0.024020
4.999961,-0.019690,-0.003938
4.999961,-0.019690,-0.003938
4.999961,-0.019690,-0.003938
4.999961,-0.019690,-0.003938
4.985435,-0.019478,-0.003907
4.999975,-0.015840,-0.003168
4.999975,-0.015840,-0.003168
4.999975,-0.015840,-0.003168
4.999975,-0.015840,-0.003168
4.999975,-0.015840,-0.003168
4.999975,-0.015840,-0.003168
4.997106,0.116191,0.023252
4.790683,0.251122,0.052419
4.988611,0.337280,0.067610
4.888678,0.291321,0.059591
5.000000,0.000000,0.000000
4.995731,0.033093,0.006624
4.999887,0.033665,0.006733
4.999887,0.033665,0.006733
4.999887,0.033665,0.006733
4.999887,0.033665,0.006733
4.925784,0.016884,0.003428
4.986660,-0.364992,-0.073194
4.913370,-0.179180,-0.036468
4.998968,0.101610,0.020326
4.998968,0.101610,0.020326
4.995863,0.027754,0.005555
4.999589,-0.064079,-0.012817
4.999589,-0.064079,-0.012817
4.999589,-0.064079,-0.012817
4.999589,-0.064079,-0.012817
4.993652,-0.047366,-0.009485
4.999822,-0.042205,-0.008441
4.999822,-0.042205,-0.008441
4.999822,-0.042205,-0.008441
4.999192,-0.041136,-0.008229
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.995068,-0.177382,-0.035511
4.995265,-0.217554,-0.043552
4.995265,-0.217554,-0.043552
4.995265,-0.217554,-0.043552
4.909234,0.361287,0.073593
4.996346,-0.191121,-0.038252
4.996346,-0.191121,-0.038252
4.996346,-0.191121,-0.038252
4.996346,-0.191121,-0.038252
4.996346,-0.191121,-0.038252
4.996414,-0.163265,-0.032677
4.997669,0.152655,0.030545
4.997669,0.152655,0.030545
4.997669,0.152655,0.030545
4.997242,0.095443,0.019099
4.994833,-0.227266,-0.045500
4.994833,-0.227266,-0.045500
4.994833,-0.227266,-0.045500
4.994378,-0.172745,-0.034588
4.999652,0.058971,0.011795
4.999652,0.058971,0.011795
4.999652,0.058971,0.011795
4.999652,0.058971,0.011795
4.996998,0.038938,0.007792
4.998174,-0.135114,-0.027033
4.998174,-0.135114,-0.027033
4.998174,-0.135114,-0.027033
4.998174,-0.135114,-0.027033
4.978934,-0.045598,-0.009158
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.936602,-0.070646,-0.014311
4.986453,-0.367821,-0.073764
4.986453,-0.367821,-0.073764
4.934006,0.078443,0.015898
4.994660,0.231011,0.046252
4.994660,0.231011,0.046252
4.995921,0.152238,0.030472
4.999768,-0.048148,-0.009630
4.999768,-0.048148,-0.009630
4.999768,-0.048148,-0.009630
4.988803,-0.021579,-0.004325
4.997473,0.158930,0.031802
4.842313,0.113792,0.023500
4.999918,-0.028611,-0.005722
4.999918,-0.028611,-0.005722
4.999918,-0.028611,-0.005722
4.674028,-0.059270,-0.012681
4.999514,-0.069735,-0.013948
4.999514,-0.069735,-0.013948
4.999514,-0.069735,-0.013948
4.999514,-0.069735,-0.013948
4.997889,-0.071768,-0.014360
4.991925,-0.284058,-0.056903
4.657384,-0.468194,-0.100527
4.499649,-0.091246,-0.020278
4.999491,0.071339,0.014269
4.999491,0.071339,0.014269
4.999491,0.071339,0.014269
4.949279,0.032177,0.006501
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.997941,0.003213,0.000643
4.999940,0.024403,0.004881
4.999940,0.024403,0.004881
4.999940,0.024403,0.004881
4.999140,0.023579,0.004717
