dh,dz,slope
4.851245,0.320080,0.065979
4.960616,0.626330,0.126260
4.888840,0.453967,0.092858
4.942004,-0.172366,-0.034878
4.987587,-0.352105,-0.070596
4.987587,-0.352105,-0.070596
4.992514,0.200957,0.040252
4.994186,0.241052,0.048266
4.994186,0.241052,0.048266
4.994186,0.241052,0.048266
4.994186,0.241052,0.048266
4.994186,0.241052,0.048266
4.994186,0.241052,0.048266
4.956659,0.253460,0.051135
4.919363,0.495259,0.100675
4.938599,0.781180,0.158178
4.927563,0.599032,0.121568
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.997549,-0.029949,-0.005993
4.999906,-0.030688,-0.006138
4.999906,-0.030688,-0.006138
4.999906,-0.030688,-0.006138
4.999906,-0.030688,-0.006138
4.999906,-0.030688,-0.006138
4.999906,-0.030688,-0.006138
4.999906,-0.030688,-0.006138
4.999906,-0.030688,-0.006138
4.999906,-0.030688,-0.006138
4.999906,-0.030688,-0.006138
4.999906,-0.030688,-0.006138
4.999906,-0.030688,-0.006138
4.645452,1.166012,0.251001
1.001866,1.029030,1.027112
4.947200,0.724718,0.146490
0.513748,0.921158,1.793012
4.869275,1.135855,0.233270
4.869275,1.135855,0.233270
4.869275,1.135855,0.233270
4.869275,1.135855,0.233270
4.869275,1.135855,0.233270
1.069333,0.578017,0.540540
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
1.625854,0.109390,0.067281
4.990349,0.310501,0.062220
4.990349,0.310501,0.062220
4.990349,0.310501,0.062220
4.990349,0.310501,0.062220
4.990349,0.310501,0.062220
4.882498,0.314648,0.064444
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.989211,0.328291,0.065800
4.983755,-0.062996,-0.012640
4.996957,-0.174405,-0.034902
4.996957,-0.174405,-0.034902
4.956074,-0.622528,-0.125609
4.972150,-0.313783,-0.063108
4.996276,0.192949,0.038618
4.996276,0.192949,0.038618
4.996276,0.192949,0.038618
4.996276,0.192949,0.038618
4.996276,0.192949,0.038618
4.996276,0.192949,0.038618
4.996276,0.192949,0.038618
4.996276,0.192949,0.038618
4.996276,0.192949,0.038618
4.905194,0.243947,0.049732
4.991954,0.283547,0.056801
4.845714,0.056842,0.011730
4.805921,0.000000,0.000000
4.907156,-0.475837,-0.096968
4.724513,-1.391284,-0.294482
4.574293,-1.940404,-0.424197
4.521877,-2.133689,-0.471859
4.521877,-2.133689,-0.471859
2.629657,4.189750,1.593268
4.513622,-0.291990,-0.064691
4.734484,-1.184491,-0.250184
4.785126,-1.450024,-0.303027
4.790641,-0.012777,-0.002667
4.852608,-0.716829,-0.147720
4.894568,0.841263,0.171877
5.000000,0.000000,0.000000
4.618417,-1.371328,-0.296926
4.999015,0.099226,0.019849
4.999015,0.099226,0.019849
4.999015,0.099226,0.019849
4.999015,0.099226,0.019849
4.999015,0.099226,0.019849
4.999015,0.099226,0.019849
4.999015,0.099226,0.019849
4.999015,0.099226,0.019849
4.999015,0.099226,0.019849
4.999015,0.099226,0.019849
4.999015,0.099226,0.019849
4.999015,0.099226,0.019849
4.999015,0.099226,0.019849
4.999015,0.099226,0.019849
4.999015,0.099226,0.019849
4.999015,0.099226,0.019849
4.999015,0.099226,0.019849
4.999015,0.099226,0.019849
3.601082,0.096746,0.026866
4.999334,0.081598,0.016322
4.999334,0.081598,0.016322
4.999334,0.081598,0.016322
4.999334,0.081598,0.016322
4.999334,0.081598,0.016322
4.999334,0.081598,0.016322
4.999334,0.081598,0.016322
4.999334,0.081598,0.016322
4.999334,0.081598,0.016322
4.999334,0.081598,0.016322
4.960920,0.010260,0.002068
4.968387,-0.561364,-0.112987
4.968387,-0.561364,-0.112987
2.411837,-0.729328,-0.302395
4.903110,-0.966377,-0.197095
4.877889,-1.091420,-0.223748
4.725077,-0.648168,-0.137176
4.875921,-0.179694,-0.036853
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.874259,-0.412762,-0.084682
4.921144,-0.884502,-0.179735
4.921144,-0.884502,-0.179735
4.921144,-0.884502,-0.179735
4.925708,-0.666867,-0.135385
4.984590,0.392258,0.078694
4.984590,0.392258,0.078694
4.770299,-0.117739,-0.024682
4.981575,-0.428838,-0.086085
4.981575,-0.428838,-0.086085
4.944557,-0.423022,-0.085553
4.985412,-0.381668,-0.076557
4.985412,-0.381668,-0.076557
4.907599,-0.189606,-0.038635
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.211770,0.375944,0.089260
4.969541,0.551055,0.110886
4.969541,0.551055,0.110886
4.969739,0.496179,0.099840
4.948124,-0.441905,-0.089308
4.842456,0.967673,0.199831
5.000000,0.000000,0.000000
4.990050,0.071777,0.014384
4.996559,0.185466,0.037119
4.988957,0.091291,0.018299
4.995003,-0.223486,-0.044742
4.997204,-0.125048,-0.025024
5.000000,0.000000,0.000000
4.995485,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.969217,0.341579,0.068739
4.983633,0.058421,0.011722
4.770009,0.315060,0.066050
4.819794,0.073094,0.015165
4.929330,-0.527332,-0.106979
4.955291,-0.667148,-0.134633
4.955291,-0.667148,-0.134633
4.955291,-0.667148,-0.134633
4.955291,-0.667148,-0.134633
4.955291,-0.667148,-0.134633
4.955291,-0.667148,-0.134633
4.955291,-0.667148,-0.134633
4.955291,-0.667148,-0.134633
4.982468,-0.259543,-0.052091
4.999709,-0.054009,-0.010802
4.999709,-0.054009,-0.010802
4.999709,-0.054009,-0.010802
4.999709,-0.054009,-0.010802
4.999709,-0.054009,-0.010802
4.999709,-0.054009,-0.010802
4.999709,-0.054009,-0.010802
4.999709,-0.054009,-0.010802
4.785118,-0.032021,-0.006692
4.905794,-0.531608,-0.108363
4.999116,-0.093993,-0.018802
4.999116,-0.093993,-0.018802
4.999116,-0.093993,-0.018802
4.999116,-0.093993,-0.018802
4.999044,-0.093055,-0.018615
4.999856,-0.037985,-0.007597
4.999856,-0.037985,-0.007597
4.999856,-0.037985,-0.007597
4.999856,-0.037985,-0.007597
4.999856,-0.037985,-0.007597
4.999856,-0.037985,-0.007597
4.999856,-0.037985,-0.007597
4.999856,-0.037985,-0.007597
4.999856,-0.037985,-0.007597
4.999856,-0.037985,-0.007597
4.999856,-0.037985,-0.007597
4.999856,-0.037985,-0.007597
4.999856,-0.037985,-0.007597
4.999407,-0.005561,-0.001112
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.999884,-0.018796,-0.003759
4.999620,-0.061611,-0.012323
4.999620,-0.061611,-0.012323
4.999620,-0.061611,-0.012323
4.999620,-0.061611,-0.012323
4.999620,-0.061611,-0.012323
4.999620,-0.061611,-0.012323
4.114109,-0.192531,-0.046798
4.995038,-0.222694,-0.044583
4.724834,0.121849,0.025789
4.867889,0.913907,0.187742
4.953399,0.681058,0.137493
4.974769,0.461065,0.092681
4.994524,0.125810,0.025190
4.799415,-0.463965,-0.096671
4.699919,0.366555,0.077992
4.701913,-0.402590,-0.085623
5.000000,0.000000,0.000000
4.947899,-0.124981,-0.025259
4.993971,-0.245466,-0.049152
4.869386,0.365089,0.074976
4.973999,0.493327,0.099181
4.991293,0.012030,0.002410
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.999439,0.000000,0.000000
4.964389,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.964504,0.268232,0.054030
4.989735,0.320229,0.064178
4.989735,0.320229,0.064178
4.989735,0.320229,0.064178
4.983374,0.371899,0.074628
4.984081,0.238933,0.047939
4.996125,-0.196818,-0.039394
4.996125,-0.196818,-0.039394
4.996125,-0.196818,-0.039394
4.996125,-0.196818,-0.039394
4.996125,-0.196818,-0.039394
4.996125,-0.196818,-0.039394
4.996125,-0.196818,-0.039394
4.996125,-0.196818,-0.039394
4.996125,-0.196818,-0.039394
4.993811,0.069410,0.013899
4.995539,0.211169,0.042272
4.821794,0.731383,0.151683
4.610508,1.355386,0.293977
4.998972,0.101387,0.020282
4.998972,0.101387,0.020282
4.998972,0.101387,0.020282
4.998972,0.101387,0.020282
4.984328,0.225085,0.045158
4.984349,0.395298,0.079308
4.984349,0.395298,0.079308
4.984349,0.395298,0.079308
4.985449,-0.056961,-0.011425
4.998582,-0.119077,-0.023822
4.998582,-0.119077,-0.023822
4.998582,-0.119077,-0.023822
4.976350,-0.251193,-0.050477
4.990176,-0.313283,-0.062780
4.990176,-0.313283,-0.062780
4.990176,-0.313283,-0.062780
4.990176,-0.313283,-0.062780
4.990176,-0.313283,-0.062780
4.990176,-0.313283,-0.062780
4.990176,-0.313283,-0.062780
4.990176,-0.313283,-0.062780
4.991680,-0.275258,-0.055143
4.995003,-0.223492,-0.044743
4.977919,-0.439526,-0.088295
4.968043,-0.564397,-0.113606
4.939214,0.211761,0.042873
4.982502,0.210298,0.042207
4.756907,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.996963,-0.149386,-0.029895
4.997088,-0.170609,-0.034142
4.997088,-0.170609,-0.034142
4.980289,-0.009397,-0.001887
4.925226,0.444532,0.090256
4.996729,0.055468,0.011101
4.915391,-0.114037,-0.023200
4.971757,-0.530693,-0.106742
4.971757,-0.530693,-0.106742
4.873122,-0.410251,-0.084186
4.995132,-0.220587,-0.044160
4.926889,-0.506822,-0.102869
4.957619,-0.586916,-0.118387
4.921679,-0.087393,-0.017757
4.996766,-0.179809,-0.035985
4.996766,-0.179809,-0.035985
4.996766,-0.179809,-0.035985
4.996766,-0.179809,-0.035985
4.996766,-0.179809,-0.035985
4.994338,0.187342,0.037511
4.995276,0.217294,0.043500
4.955991,0.081801,0.016506
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.984556,0.000000,0.000000
4.982591,0.032944,0.006612
4.995818,0.204461,0.040926
4.995818,0.204461,0.040926
4.995818,0.204461,0.040926
4.995818,0.204461,0.040926
4.991998,0.149213,0.029890
4.970941,0.407123,0.081901
4.603808,0.092877,0.020174
4.568850,0.000000,0.000000
4.954821,0.109279,0.022055
4.998139,0.136391,0.027288
4.998139,0.136391,0.027288
4.961456,-0.437796,-0.088239
4.972387,-0.524756,-0.105534
4.972387,-0.524756,-0.105534
4.972387,-0.524756,-0.105534
4.931017,-0.369998,-0.075035
4.954635,-0.028793,-0.005811
4.995924,-0.201834,-0.040400
4.990037,-0.169373,-0.033942
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.758928,0.000000,0.000000
4.984626,0.256185,0.051395
4.904337,0.143815,0.029324
4.897542,0.862648,0.176139
4.906075,0.964585,0.196610
4.956603,-0.022516,-0.004543
4.994338,-0.237891,-0.047632
4.994338,-0.237891,-0.047632
4.994338,-0.237891,-0.047632
4.994338,-0.237891,-0.047632
4.994338,-0.237891,-0.047632
4.994338,-0.237891,-0.047632
4.994338,-0.237891,-0.047632
4.994338,-0.237891,-0.047632
4.994338,-0.237891,-0.047632
4.995605,-0.207068,-0.041450
4.996165,-0.195797,-0.039189
4.996165,-0.195797,-0.039189
4.996165,-0.195797,-0.039189
4.996165,-0.195797,-0.039189
4.996165,-0.195797,-0.039189
4.996165,-0.195797,-0.039189
4.887984,-0.021603,-0.004420
4.432852,1.204235,0.271661
4.988747,-0.335261,-0.067203
4.988747,-0.335261,-0.067203
4.988747,-0.335261,-0.067203
4.988747,-0.335261,-0.067203
4.988747,-0.335261,-0.067203
4.988747,-0.335261,-0.067203
4.990261,-0.295581,-0.059232
4.996981,-0.173719,-0.034765
4.996981,-0.173719,-0.034765
4.996981,-0.173719,-0.034765
4.996981,-0.173719,-0.034765
4.996981,-0.173719,-0.034765
4.996981,-0.173719,-0.034765
4.996981,-0.173719,-0.034765
4.996981,-0.173719,-0.034765
4.997285,-0.139613,-0.027938
4.998610,-0.117897,-0.023586
4.998610,-0.117897,-0.023586
4.998610,-0.117897,-0.023586
4.998610,-0.117897,-0.023586
4.998610,-0.117897,-0.023586
4.998610,-0.117897,-0.023586
4.998610,-0.117897,-0.023586
4.900305,-0.969027,-0.197748
4.901233,-0.988896,-0.201765
4.927666,-0.606964,-0.123175
4.998082,-0.138489,-0.027708
4.998082,-0.138489,-0.027708
4.983671,-0.257465,-0.051662
4.989350,-0.303361,-0.060802
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.991528,-0.162383,-0.032532
4.948682,0.004749,0.000960
4.904025,0.974960,0.198808
4.939894,0.687784,0.139230
4.993171,0.261232,0.052318
4.841266,0.895064,0.184882
4.750700,1.559119,0.328187
4.972335,0.079476,0.015984
