dh,dz,slope
4.520538,1.737158,0.384281
1.231809,-0.920622,-0.747373
3.600080,3.030056,0.841664
4.968810,-0.381099,-0.076698
4.982312,-0.420198,-0.084338
4.982312,-0.420198,-0.084338
4.982312,-0.420198,-0.084338
4.982312,-0.420198,-0.084338
3.512548,-0.179697,-0.051159
4.791264,-0.052124,-0.010879
4.999921,-0.028136,-0.005627
4.999921,-0.028136,-0.005627
4.999921,-0.028136,-0.005627
4.999921,-0.028136,-0.005627
4.999921,-0.028136,-0.005627
4.999921,-0.028136,-0.005627
4.405336,-0.131537,-0.029859
4.997780,-0.148982,-0.029810
4.997780,-0.148982,-0.029810
4.321440,-0.208950,-0.048352
4.994842,-0.227064,-0.045460
4.951665,-0.196555,-0.039695
4.997837,0.147055,0.029424
4.997837,0.147055,0.029424
4.997837,0.147055,0.029424
4.999221,-0.002282,-0.000457
4.999991,-0.009572,-0.001914
4.999991,-0.009572,-0.001914
4.972936,-0.408944,-0.082234
4.975236,-0.497018,-0.099898
4.975236,-0.497018,-0.099898
4.975236,-0.497018,-0.099898
4.975236,-0.497018,-0.099898
4.975236,-0.497018,-0.099898
4.970729,-0.431170,-0.086742
4.982918,-0.412955,-0.082874
4.982918,-0.412955,-0.082874
4.982918,-0.412955,-0.082874
4.982918,-0.412955,-0.082874
4.982918,-0.412955,-0.082874
4.982918,-0.412955,-0.082874
4.782595,1.002876,0.209693
4.565768,2.038078,0.446382
4.778230,0.244628,0.051196
4.922414,-0.836609,-0.169959
4.999936,-0.025374,-0.005075
4.999936,-0.025374,-0.005075
4.999936,-0.025374,-0.005075
4.999936,-0.025374,-0.005075
4.999936,-0.025374,-0.005075
4.987936,-0.047412,-0.009505
4.999767,-0.048222,-0.009645
4.999767,-0.048222,-0.009645
4.999767,-0.048222,-0.009645
4.999767,-0.048222,-0.009645
4.983161,-0.011566,-0.002321
4.999975,0.015766,0.003153
4.999975,0.015766,0.003153
4.999975,0.015766,0.003153
4.999975,0.015766,0.003153
4.999975,0.015766,0.003153
4.999975,0.015766,0.003153
4.743532,-0.003726,-0.000786
4.999971,-0.016945,-0.003389
4.999971,-0.016945,-0.003389
4.999971,-0.016945,-0.003389
4.999971,-0.016945,-0.003389
4.919538,-0.016475,-0.003349
4.975852,-0.051658,-0.010382
4.765073,-0.143628,-0.030142
4.881057,-0.073974,-0.015155
4.999865,-0.036732,-0.007347
4.999865,-0.036732,-0.007347
4.999865,-0.036732,-0.007347
4.965531,-0.016191,-0.003261
4.996002,0.024057,0.004815
4.999932,0.025989,0.005198
4.999932,0.025989,0.005198
4.999932,0.025989,0.005198
4.999932,0.025989,0.005198
4.999932,0.025989,0.005198
4.972350,0.032529,0.006542
4.985197,0.034413,0.006903
4.978146,0.037609,0.007555
4.920740,0.104257,0.021187
4.976637,0.103583,0.020814
4.999035,0.098227,0.019649
4.999035,0.098227,0.019649
4.973564,0.097947,0.019694
4.999473,0.072633,0.014528
4.999473,0.072633,0.014528
4.999473,0.072633,0.014528
4.999473,0.072633,0.014528
4.999473,0.072633,0.014528
4.958635,0.028590,0.005766
4.999773,-0.047672,-0.009535
4.999773,-0.047672,-0.009535
4.999773,-0.047672,-0.009535
4.999773,-0.047672,-0.009535
4.999773,-0.047672,-0.009535
4.999773,-0.047568,-0.009514
4.999786,-0.046247,-0.009250
4.999786,-0.046247,-0.009250
4.999786,-0.046247,-0.009250
4.999786,-0.046247,-0.009250
4.999786,-0.046247,-0.009250
4.999786,-0.046247,-0.009250
4.999442,-0.068104,-0.013622
4.998890,-0.105317,-0.021068
4.998890,-0.105317,-0.021068
4.998691,-0.101784,-0.020362
4.999912,-0.029689,-0.005938
4.999912,-0.029689,-0.005938
4.999912,-0.029689,-0.005938
4.999119,-0.030035,-0.006008
4.998977,-0.101162,-0.020237
4.998977,-0.101162,-0.020237
4.998977,-0.101162,-0.020237
4.998977,-0.101162,-0.020237
4.998977,-0.101162,-0.020237
4.998977,-0.101162,-0.020237
4.998977,-0.101162,-0.020237
4.998977,-0.101162,-0.020237
4.999496,-0.062957,-0.012593
4.999605,-0.062876,-0.012576
4.999605,-0.062876,-0.012576
4.999605,-0.062876,-0.012576
4.999605,-0.062876,-0.012576
4.999605,-0.062876,-0.012576
4.999605,-0.062876,-0.012576
4.997859,-0.046490,-0.009302
4.999901,-0.031533,-0.006307
4.999901,-0.031533,-0.006307
4.999901,-0.031533,-0.006307
4.999901,-0.031533,-0.006307
4.999901,-0.031533,-0.006307
4.999901,-0.031533,-0.006307
4.965879,-0.031183,-0.006280
4.999910,-0.030006,-0.006001
4.999910,-0.030006,-0.006001
4.999910,-0.030006,-0.006001
4.999910,-0.030006,-0.006001
4.999910,-0.030006,-0.006001
4.999910,-0.030006,-0.006001
4.999910,-0.030006,-0.006001
4.878459,-0.043448,-0.008906
4.999219,-0.088355,-0.017674
4.999219,-0.088355,-0.017674
4.999219,-0.088355,-0.017674
4.999219,-0.088355,-0.017674
4.254648,0.000605,0.000142
4.999610,0.062419,0.012485
4.999610,0.062419,0.012485
4.999610,0.062419,0.012485
4.990257,0.019995,0.004007
4.999990,-0.010124,-0.002025
4.999990,-0.010124,-0.002025
4.745178,-0.020233,-0.004264
4.999930,-0.026389,-0.005278
4.999930,-0.026389,-0.005278
4.919916,-0.029921,-0.006082
4.999814,-0.043122,-0.008625
4.999814,-0.043122,-0.008625
4.999814,-0.043122,-0.008625
4.999814,-0.043122,-0.008625
4.999814,-0.043122,-0.008625
4.999814,-0.043122,-0.008625
4.999814,-0.043122,-0.008625
4.976314,-0.126090,-0.025338
4.577890,-0.076476,-0.016706
4.999630,-0.060804,-0.012162
4.999630,-0.060804,-0.012162
4.999630,-0.060804,-0.012162
4.992973,-0.055985,-0.011213
4.999812,-0.043301,-0.008661
4.999812,-0.043301,-0.008661
4.999812,-0.043301,-0.008661
4.999812,-0.043301,-0.008661
4.999812,-0.043301,-0.008661
4.999144,-0.024887,-0.004978
4.999967,-0.018168,-0.003634
4.999967,-0.018168,-0.003634
4.999967,-0.018168,-0.003634
4.999967,-0.018168,-0.003634
4.995082,-0.007251,-0.001452
4.999912,0.029595,0.005919
4.999912,0.029595,0.005919
4.999912,0.029595,0.005919
4.999912,0.029595,0.005919
4.999912,0.029595,0.005919
4.996719,0.021412,0.004285
4.999984,0.012700,0.002540
4.999984,0.012700,0.002540
4.999984,0.012700,0.002540
4.999984,0.012700,0.002540
4.999984,0.012700,0.002540
4.999459,0.017826,0.003566
4.999968,0.017970,0.003594
4.999968,0.017970,0.003594
4.999968,0.017970,0.003594
4.999968,0.017970,0.003594
4.986382,0.024132,0.004840
4.961028,0.082729,0.016676
4.966480,0.091197,0.018362
4.999719,0.053029,0.010606
4.999719,0.053029,0.010606
4.999719,0.053029,0.010606
4.999719,0.053029,0.010606
4.999719,0.053029,0.010606
4.999719,0.053029,0.010606
4.977234,0.049334,0.009912
4.999819,0.042506,0.008502
4.999819,0.042506,0.008502
4.999819,0.042506,0.008502
4.999819,0.042506,0.008502
4.999819,0.042506,0.008502
4.999819,0.042506,0.008502
4.993363,0.025430,0.005093
4.999990,0.010199,0.002040
4.999990,0.010199,0.002040
4.999990,0.010199,0.002040
4.999990,0.010199,0.002040
4.999990,0.010199,0.002040
4.999990,0.010199,0.002040
4.999990,0.010199,0.002040
4.649826,0.044014,0.009466
4.999645,0.059568,0.011915
4.999645,0.059568,0.011915
4.999645,0.059568,0.011915
4.999645,0.059568,0.011915
4.668965,0.037742,0.008084
4.999175,-0.090865,-0.018176
4.999175,-0.090865,-0.018176
4.999175,-0.090865,-0.018176
4.999175,-0.090865,-0.018176
4.720493,-0.081987,-0.017368
4.999519,-0.069357,-0.013873
4.999519,-0.069357,-0.013873
4.999519,-0.069357,-0.013873
4.999519,-0.069357,-0.013873
4.999519,-0.069357,-0.013873
4.999519,-0.069357,-0.013873
4.989807,-0.099372,-0.019915
4.998642,-0.116528,-0.023312
4.998642,-0.116528,-0.023312
4.998642,-0.116528,-0.023312
4.998642,-0.116528,-0.023312
4.998642,-0.116528,-0.023312
4.963729,-0.066705,-0.013438
4.999705,-0.054310,-0.010863
4.999705,-0.054310,-0.010863
4.999705,-0.054310,-0.010863
4.999705,-0.054310,-0.010863
4.999705,-0.054310,-0.010863
4.999705,-0.054310,-0.010863
4.999705,-0.054310,-0.010863
4.950134,-0.049923,-0.010085
4.999832,-0.041055,-0.008211
4.999832,-0.041055,-0.008211
4.999832,-0.041055,-0.008211
4.999832,-0.041055,-0.008211
4.999832,-0.041055,-0.008211
4.950474,-0.032522,-0.006570
4.999997,-0.005725,-0.001145
4.999997,-0.005725,-0.001145
4.999997,-0.005725,-0.001145
4.999997,-0.005725,-0.001145
4.999997,-0.005725,-0.001145
4.999997,-0.005725,-0.001145
4.965544,-0.001531,-0.000308
4.999989,0.010738,0.002148
4.999989,0.010738,0.002148
4.999989,0.010738,0.002148
4.999989,0.010738,0.002148
4.999989,0.010738,0.002148
4.999989,0.010738,0.002148
4.999989,0.010738,0.002148
4.925549,-0.016499,-0.003350
4.999947,-0.023105,-0.004621
4.999947,-0.023105,-0.004621
4.999947,-0.023105,-0.004621
4.999947,-0.023105,-0.004621
4.999947,-0.023105,-0.004621
4.999947,-0.023105,-0.004621
4.999947,-0.023105,-0.004621
4.999947,-0.023105,-0.004621
4.989638,0.003320,0.000665
4.999981,0.013812,0.002762
4.999981,0.013812,0.002762
4.999981,0.013812,0.002762
4.999981,0.013812,0.002762
4.999981,0.013812,0.002762
4.999981,0.013812,0.002762
4.999981,0.013812,0.002762
4.999981,0.013812,0.002762
4.998635,0.005439,0.001088
4.999981,-0.013786,-0.002757
4.999981,-0.013786,-0.002757
4.999981,-0.013786,-0.002757
4.999981,-0.013786,-0.002757
4.999981,-0.013786,-0.002757
4.999981,-0.013786,-0.002757
4.999981,-0.013786,-0.002757
4.994897,-0.013791,-0.002761
4.999981,-0.013803,-0.002761
4.999981,-0.013803,-0.002761
4.999981,-0.013803,-0.002761
4.999981,-0.013803,-0.002761
4.999981,-0.013803,-0.002761
4.999981,-0.013803,-0.002761
4.999981,-0.013803,-0.002761
4.999676,-0.009338,-0.001868
5.000000,-0.001210,-0.000242
5.000000,-0.001210,-0.000242
5.000000,-0.001210,-0.000242
5.000000,-0.001210,-0.000242
5.000000,-0.001210,-0.000242
5.000000,-0.001210,-0.000242
5.000000,-0.001210,-0.000242
4.999881,-0.001939,-0.000388
4.999991,-0.009452,-0.001890
4.999991,-0.009452,-0.001890
4.999991,-0.009452,-0.001890
4.999991,-0.009452,-0.001890
4.999991,-0.009452,-0.001890
4.999991,-0.009452,-0.001890
4.999991,-0.009452,-0.001890
4.999991,-0.009452,-0.001890
4.999904,-0.025315,-0.005063
4.999879,-0.034850,-0.006970
4.999879,-0.034850,-0.006970
4.999879,-0.034850,-0.006970
4.999879,-0.034850,-0.006970
4.999879,-0.034850,-0.006970
4.999879,-0.034850,-0.006970
4.996393,-0.025172,-0.005038
4.999942,0.024142,0.004828
4.999942,0.024142,0.004828
4.999942,0.024142,0.004828
4.999942,0.024142,0.004828
4.999942,0.024142,0.004828
4.999942,0.024142,0.004828
4.998632,-0.015104,-0.003022
4.999970,-0.017133,-0.003427
4.999970,-0.017133,-0.003427
4.999970,-0.017133,-0.003427
4.999970,-0.017133,-0.003427
4.999970,-0.017133,-0.003427
4.999970,-0.017133,-0.003427
4.999509,-0.009903,-0.001981
5.000000,0.002776,0.000555
5.000000,0.002776,0.000555
5.000000,0.002776,0.000555
5.000000,0.002776,0.000555
5.000000,0.002776,0.000555
5.000000,0.002776,0.000555
4.985795,0.008966,0.001798
4.999823,0.042056,0.008412
4.999823,0.042056,0.008412
4.999823,0.042056,0.008412
4.999823,0.042056,0.008412
4.999823,0.042056,0.008412
4.999823,0.042056,0.008412
4.809165,0.014204,0.002953
4.999981,-0.013664,-0.002733
4.999981,-0.013664,-0.002733
4.999981,-0.013664,-0.002733
4.999981,-0.013664,-0.002733
4.997785,-0.010069,-0.002015
4.999998,-0.004127,-0.000825
4.999998,-0.004127,-0.000825
4.999998,-0.004127,-0.000825
4.999998,-0.004127,-0.000825
4.999998,-0.004127,-0.000825
4.999998,-0.004127,-0.000825
4.961398,-0.013899,-0.002801
4.999102,-0.094742,-0.018952
4.999102,-0.094742,-0.018952
4.999102,-0.094742,-0.018952
4.999102,-0.094742,-0.018952
4.998956,-0.094486,-0.018901
4.999216,-0.088554,-0.017714
4.999216,-0.088554,-0.017714
4.999216,-0.088554,-0.017714
4.999216,-0.088554,-0.017714
4.959130,-0.016245,-0.003276
4.999869,-0.036164,-0.007233
4.999869,-0.036164,-0.007233
4.876880,-0.023539,-0.004827
4.902585,-0.046312,-0.009446
4.985845,-0.013688,-0.002745
4.993790,0.000000,0.000000
4.998600,-0.003507,-0.000702
4.936571,0.004070,0.000824
4.999964,0.019028,0.003806
4.999964,0.019028,0.003806
4.999964,0.019028,0.003806
4.999964,0.019028,0.003806
4.999964,0.019028,0.003806
4.999964,0.019028,0.003806
4.998719,-0.017829,-0.003567
4.999898,-0.031941,-0.006388
4.999898,-0.031941,-0.006388
4.999898,-0.031941,-0.006388
4.999898,-0.031941,-0.006388
4.999898,-0.031941,-0.006388
4.999898,-0.031941,-0.006388
4.999898,-0.031941,-0.006388
4.999898,-0.031941,-0.006388
4.913704,-0.033391,-0.006796
4.999883,-0.034193,-0.006839
4.999883,-0.034193,-0.006839
4.999883,-0.034193,-0.006839
4.999883,-0.034193,-0.006839
4.999883,-0.034193,-0.006839
4.999883,-0.034193,-0.006839
3.528547,-0.061724,-0.017493
4.999388,-0.078248,-0.015652
4.999388,-0.078248,-0.015652
4.999388,-0.078248,-0.015652
4.878228,-0.055184,-0.011312
4.999876,-0.035168,-0.007034
4.999876,-0.035168,-0.007034
4.999876,-0.035168,-0.007034
4.999876,-0.035168,-0.007034
4.999876,-0.035168,-0.007034
4.999876,-0.035168,-0.007034
4.999876,-0.035168,-0.007034
4.999876,-0.035168,-0.007034
4.951611,0.003156,0.000637
4.999968,0.018018,0.003604
4.999968,0.018018,0.003604
4.999968,0.018018,0.003604
4.999968,0.018018,0.003604
4.999968,0.018018,0.003604
4.999968,0.018018,0.003604
4.999968,0.018018,0.003604
4.999968,0.018018,0.003604
4.955219,0.128118,0.025855
4.997780,0.148980,0.029809
4.997780,0.148980,0.029809
4.997780,0.148980,0.029809
4.997780,0.148980,0.029809
4.997780,0.148980,0.029809
4.718895,0.138605,0.029372
4.998396,0.126621,0.025332
4.998396,0.126621,0.025332
4.998396,0.126621,0.025332
4.998396,0.126621,0.025332
4.998396,0.126621,0.025332
4.998396,0.126621,0.025332
4.998396,0.126621,0.025332
4.998396,0.126621,0.025332
4.998840,0.089172,0.017839
4.999794,0.045354,0.009071
4.999794,0.045354,0.009071
4.999794,0.045354,0.009071
4.999794,0.045354,0.009071
4.999794,0.045354,0.009071
4.999794,0.045354,0.009071
4.999794,0.045354,0.009071
4.999794,0.045354,0.009071
4.999663,-0.027915,-0.005583
4.999843,-0.039674,-0.007935
4.999843,-0.039674,-0.007935
4.999843,-0.039674,-0.007935
4.999843,-0.039674,-0.007935
4.999843,-0.039674,-0.007935
4.999843,-0.039674,-0.007935
4.999843,-0.039674,-0.007935
4.990432,-0.050817,-0.010183
4.999638,-0.060164,-0.012034
4.999638,-0.060164,-0.012034
4.999638,-0.060164,-0.012034
4.999638,-0.060164,-0.012034
4.999638,-0.060164,-0.012034
4.999638,-0.060164,-0.012034
4.999638,-0.060164,-0.012034
4.980487,-0.042693,-0.008572
4.999978,0.014750,0.002950
4.999978,0.014750,0.002950
4.999978,0.014750,0.002950
4.999978,0.014750,0.002950
4.999978,0.014750,0.002950
4.999978,0.014750,0.002950
4.999978,0.014750,0.002950
4.999696,0.023295,0.004659
4.998957,0.102109,0.020426
4.998957,0.102109,0.020426
4.998957,0.102109,0.020426
4.998957,0.102109,0.020426
4.998957,0.102109,0.020426
4.994397,0.122988,0.024625
4.997196,0.167424,0.033504
4.997196,0.167424,0.033504
4.997196,0.167424,0.033504
4.997196,0.167424,0.033504
4.997196,0.167424,0.033504
4.997196,0.167424,0.033504
4.982471,0.190432,0.038220
4.994879,0.226244,0.045295
4.994879,0.226244,0.045295
4.994879,0.226244,0.045295
4.994879,0.226244,0.045295
4.994879,0.226244,0.045295
4.994879,0.226244,0.045295
4.750646,0.270074,0.056850
4.867476,0.441755,0.090757
4.956576,0.657537,0.132660
4.956576,0.657537,0.132660
4.956576,0.657537,0.132660
3.656516,0.419874,0.114829
4.985010,0.131801,0.026439
4.997508,0.157829,0.031581
4.997508,0.157829,0.031581
4.997508,0.157829,0.031581
4.997508,0.157829,0.031581
4.997508,0.157829,0.031581
4.997069,0.163392,0.032697
4.997319,0.163719,0.032761
4.997319,0.163719,0.032761
4.997319,0.163719,0.032761
4.997319,0.163719,0.032761
4.997836,0.129754,0.025962
4.999999,-0.003741,-0.000748
4.999999,-0.003741,-0.000748
4.999999,-0.003741,-0.000748
4.999999,-0.003741,-0.000748
4.999999,-0.003741,-0.000748
4.999999,-0.003741,-0.000748
4.999999,-0.003741,-0.000748
4.999864,-0.009956,-0.001991
4.999859,-0.037526,-0.007505
4.999859,-0.037526,-0.007505
4.999859,-0.037526,-0.007505
4.999859,-0.037526,-0.007505
4.999859,-0.037526,-0.007505
4.999859,-0.037526,-0.007505
4.999859,-0.037526,-0.007505
4.992847,-0.189678,-0.037990
4.991105,-0.176120,-0.035287
4.999807,-0.043873,-0.008775
4.999807,-0.043873,-0.008775
4.999807,-0.043873,-0.008775
4.999807,-0.043873,-0.008775
4.999807,-0.043873,-0.008775
4.999807,-0.043873,-0.008775
4.999807,-0.043873,-0.008775
4.998538,-0.010925,-0.002186
4.999988,0.010946,0.002189
4.999988,0.010946,0.002189
4.999988,0.010946,0.002189
4.999988,0.010946,0.002189
4.999988,0.010946,0.002189
4.999988,0.010946,0.002189
4.999988,0.010946,0.002189
4.999988,0.010946,0.002189
4.998931,0.073386,0.014680
4.997891,0.145209,0.029054
4.997891,0.145209,0.029054
4.997891,0.145209,0.029054
4.997891,0.145209,0.029054
4.997891,0.145209,0.029054
4.985610,0.189022,0.037914
4.994347,0.237698,0.047593
4.994347,0.237698,0.047593
4.994347,0.237698,0.047593
4.994347,0.237698,0.047593
4.994347,0.237698,0.047593
4.994347,0.237698,0.047593
4.994347,0.237698,0.047593
4.874782,0.250611,0.051410
4.992206,0.279072,0.055901
4.992206,0.279072,0.055901
4.992206,0.279072,0.055901
4.992206,0.279072,0.055901
4.992206,0.279072,0.055901
4.966995,0.228433,0.045990
4.997678,0.152360,0.030486
4.997678,0.152360,0.030486
4.997678,0.152360,0.030486
4.997678,0.152360,0.030486
4.997678,0.152360,0.030486
4.997678,0.152360,0.030486
4.996395,0.158097,0.031642
4.997464,0.159220,0.031860
4.997464,0.159220,0.031860
4.997464,0.159220,0.031860
4.997464,0.159220,0.031860
4.997464,0.159220,0.031860
4.989293,0.127361,0.025527
4.998962,0.101882,0.020381
4.998962,0.101882,0.020381
4.998962,0.101882,0.020381
4.998962,0.101882,0.020381
4.998962,0.101882,0.020381
4.998962,0.101882,0.020381
4.959723,0.146053,0.029448
4.996302,0.192283,0.038485
4.996302,0.192283,0.038485
4.996302,0.192283,0.038485
4.996302,0.192283,0.038485
4.992044,0.266835,0.053452
4.991531,0.290896,0.058278
4.991531,0.290896,0.058278
4.991531,0.290896,0.058278
4.991174,0.296232,0.059351
4.987244,0.356931,0.071569
4.987244,0.356931,0.071569
4.987244,0.356931,0.071569
4.987244,0.356931,0.071569
4.986077,0.343031,0.068798
4.994098,0.242864,0.048630
4.994098,0.242864,0.048630
4.994098,0.242864,0.048630
4.994098,0.242864,0.048630
4.994098,0.242864,0.048630
4.994098,0.242864,0.048630
4.994098,0.242864,0.048630
4.993421,0.234468,0.046955
4.994659,0.231044,0.046258
4.994659,0.231044,0.046258
4.994659,0.231044,0.046258
4.994659,0.231044,0.046258
4.994659,0.231044,0.046258
4.992183,0.201440,0.040351
4.996810,0.178582,0.035739
4.996810,0.178582,0.035739
4.996810,0.178582,0.035739
4.996810,0.178582,0.035739
4.996810,0.178582,0.035739
4.996810,0.178582,0.035739
4.996810,0.178582,0.035739
4.998912,0.045384,0.009079
4.999997,-0.005201,-0.001040
4.999997,-0.005201,-0.001040
4.999997,-0.005201,-0.001040
4.999997,-0.005201,-0.001040
4.999997,-0.005201,-0.001040
4.999997,-0.005201,-0.001040
4.999997,-0.005201,-0.001040
4.999997,-0.005201,-0.001040
4.999762,-0.000688,-0.000138
4.999875,0.035393,0.007079
4.999875,0.035393,0.007079
4.999875,0.035393,0.007079
4.999875,0.035393,0.007079
4.999875,0.035393,0.007079
4.999875,0.035393,0.007079
4.999875,0.035393,0.007079
4.999875,0.035393,0.007079
4.999875,0.035393,0.007079
4.891173,0.142147,0.029062
4.993902,0.246872,0.049435
4.993902,0.246872,0.049435
4.993902,0.246872,0.049435
4.993902,0.246872,0.049435
4.993902,0.246872,0.049435
4.993902,0.246872,0.049435
4.986388,0.272845,0.054718
4.986403,0.368492,0.073899
4.986403,0.368492,0.073899
4.986403,0.368492,0.073899
4.986403,0.368492,0.073899
4.986403,0.368492,0.073899
4.839046,0.287114,0.059333
4.997173,0.168108,0.033641
4.997173,0.168108,0.033641
4.997173,0.168108,0.033641
4.997173,0.168108,0.033641
4.997173,0.168108,0.033641
4.997173,0.168108,0.033641
4.997173,0.168108,0.033641
4.966378,-0.119247,-0.024011
4.998361,-0.128014,-0.025611
4.998361,-0.128014,-0.025611
4.998361,-0.128014,-0.025611
4.998361,-0.128014,-0.025611
4.998361,-0.128014,-0.025611
4.998361,-0.128014,-0.025611
4.995943,-0.193488,-0.038729
4.995837,-0.203988,-0.040832
4.995837,-0.203988,-0.040832
4.995837,-0.203988,-0.040832
4.995837,-0.203988,-0.040832
4.995837,-0.203988,-0.040832
4.995837,-0.203988,-0.040832
4.995837,-0.203988,-0.040832
4.995784,-0.193803,-0.038793
4.998336,-0.128986,-0.025806
4.998336,-0.128986,-0.025806
4.998336,-0.128986,-0.025806
4.998336,-0.128986,-0.025806
4.998336,-0.128986,-0.025806
4.998336,-0.128986,-0.025806
4.998336,-0.128986,-0.025806
4.995900,-0.044989,-0.009005
4.999994,0.007461,0.001492
4.999994,0.007461,0.001492
4.999994,0.007461,0.001492
4.999994,0.007461,0.001492
4.999994,0.007461,0.001492
4.999994,0.007461,0.001492
4.901382,-0.086715,-0.017692
4.999087,-0.095542,-0.019112
4.999087,-0.095542,-0.019112
4.999087,-0.095542,-0.019112
4.999087,-0.095542,-0.019112
4.999087,-0.095542,-0.019112
4.999087,-0.095542,-0.019112
4.967002,-0.149996,-0.030198
