dh,dz,slope
2.949837,-1.989855,-0.674564
1.136783,1.248423,1.098207
4.422413,0.535052,0.120986
4.750395,-0.022886,-0.004818
4.997886,-0.145382,-0.029089
4.997886,-0.145382,-0.029089
4.997886,-0.145382,-0.029089
4.998592,-0.102612,-0.020528
4.999814,-0.043102,-0.008621
3.814597,-0.044291,-0.011611
4.999795,-0.045217,-0.009044
4.999795,-0.045217,-0.009044
4.999795,-0.045217,-0.009044
4.969720,-0.032777,-0.006595
4.999989,-0.010674,-0.002135
4.999989,-0.010674,-0.002135
4.999989,-0.010674,-0.002135
4.999989,-0.010674,-0.002135
4.972097,-0.025999,-0.005229
4.999888,-0.033344,-0.006669
4.999888,-0.033344,-0.006669
4.995846,0.117484,0.023516
4.998941,-0.102869,-0.020578
4.998941,-0.102869,-0.020578
4.991972,-0.097508,-0.019533
4.999052,-0.097374,-0.019478
4.645128,0.024818,0.005343
4.990058,-0.315149,-0.063155
4.990058,-0.315149,-0.063155
4.990058,-0.315149,-0.063155
4.990058,-0.315149,-0.063155
4.990058,-0.315149,-0.063155
4.990058,-0.315149,-0.063155
4.992318,-0.261064,-0.052293
4.996481,-0.187556,-0.037538
4.996481,-0.187556,-0.037538
4.996481,-0.187556,-0.037538
4.963813,-0.125348,-0.025252
4.999047,-0.097616,-0.019527
4.965555,-0.009811,-0.001976
4.998941,0.102877,0.020580
4.998941,0.102877,0.020580
4.969586,0.110066,0.022148
4.950326,-0.112597,-0.022745
4.954637,-0.166534,-0.033612
4.947212,-0.112705,-0.022781
4.999995,-0.006758,-0.001352
4.999995,-0.006758,-0.001352
4.999995,-0.006758,-0.001352
4.999995,-0.006758,-0.001352
4.999981,-0.005133,-0.001027
4.999998,-0.004447,-0.000889
4.451825,0.030418,0.006833
4.999477,0.072315,0.014464
4.925081,0.060945,0.012374
4.999936,0.025265,0.005053
4.867043,-0.057023,-0.011716
4.999006,-0.099710,-0.019946
4.999006,-0.099710,-0.019946
4.999006,-0.099710,-0.019946
4.938865,-0.002807,-0.000568
4.963433,0.159315,0.032098
4.889856,-0.008868,-0.001813
4.999805,-0.044118,-0.008824
4.981942,-0.047725,-0.009580
4.893920,-0.052689,-0.010766
4.999930,-0.026428,-0.005286
4.999930,-0.026428,-0.005286
4.999930,-0.026428,-0.005286
4.999930,-0.026428,-0.005286
4.999930,-0.026428,-0.005286
4.759424,-0.041729,-0.008768
4.999566,-0.065909,-0.013183
3.937067,0.048464,0.012310
4.520899,0.273873,0.060579
4.497666,-0.005674,-0.001261
4.997546,-0.156623,-0.031340
4.997546,-0.156623,-0.031340
4.979791,0.114724,0.023038
4.999133,0.082937,0.016590
4.999821,0.042276,0.008456
4.999821,0.042276,0.008456
4.999821,0.042276,0.008456
4.999821,0.042276,0.008456
4.996741,0.040734,0.008152
4.999949,-0.022434,-0.004487
4.999949,-0.022434,-0.004487
4.999949,-0.022434,-0.004487
4.999949,-0.022434,-0.004487
4.950872,0.021265,0.004295
4.988436,0.339872,0.068132
4.969794,0.280430,0.056427
4.999995,0.007249,0.001450
4.842556,0.089536,0.018489
4.998785,0.110204,0.022046
4.998785,0.110204,0.022046
4.998785,0.110204,0.022046
4.415881,-0.010210,-0.002312
4.999321,-0.082404,-0.016483
