dh,dz,slope
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.998752,0.000000,0.000000
5.000000,0.000000,0.000000
4.688290,0.000000,0.000000
5.000000,0.000000,0.000000
4.327840,0.000000,0.000000
5.000000,0.000000,0.000000
4.970330,0.000000,0.000000
5.000000,0.000000,0.000000
4.999624,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.950668,0.000000,0.000000
5.000000,0.000000,0.000000
4.954579,0.000000,0.000000
5.000000,0.000000,0.000000
4.999997,0.000000,0.000000
5.000000,0.000000,0.000000
4.934454,-0.022429,-0.004545
4.999744,-0.050613,-0.010123
4.898848,-0.056653,-0.011565
4.999568,-0.065691,-0.013139
4.994295,-0.065691,-0.013153
4.999568,-0.065691,-0.013139
4.999568,-0.065691,-0.013139
4.999237,-0.065692,-0.013140
4.999569,-0.065692,-0.013140
4.970155,-0.065673,-0.013213
4.999569,-0.065668,-0.013135
4.998405,-0.065673,-0.013139
4.999569,-0.065675,-0.013136
4.987311,-0.065657,-0.013165
4.999569,-0.065651,-0.013131
4.944500,-0.065674,-0.013282
4.999568,-0.065689,-0.013139
4.955750,-0.065679,-0.013253
4.999569,-0.065651,-0.013131
4.999404,-0.065652,-0.013132
4.999569,-0.065655,-0.013132
4.999569,-0.065655,-0.013132
4.999497,-0.065648,-0.013131
4.999569,-0.065648,-0.013131
4.992641,-0.065632,-0.013146
4.999569,-0.065625,-0.013126
4.928945,-0.065650,-0.013319
4.999568,-0.065681,-0.013137
4.941972,-0.065683,-0.013291
4.999568,-0.065689,-0.013139
4.999347,-0.065689,-0.013139
4.999568,-0.065687,-0.013139
4.987545,-0.065684,-0.013170
4.999568,-0.065667,-0.013134
4.998628,-0.065666,-0.013137
4.999569,-0.065657,-0.013132
4.999569,-0.065657,-0.013132
4.808290,-0.065657,-0.013655
4.999569,-0.065657,-0.013132
4.999326,-0.056217,-0.011245
4.999727,-0.052272,-0.010455
4.782015,-0.002445,-0.000511
4.999951,0.022070,0.004414
4.996992,0.022068,0.004416
4.999951,0.022065,0.004413
4.777896,0.022078,0.004621
4.999951,0.022117,0.004423
4.993824,0.022118,0.004429
4.999951,0.022124,0.004425
4.999951,0.022124,0.004425
4.994341,0.022127,0.004430
4.999951,0.022128,0.004426
4.895244,0.022113,0.004517
4.999951,0.022105,0.004421
4.909221,0.022087,0.004499
4.999951,0.022075,0.004415
4.999944,0.022075,0.004415
4.999951,0.022075,0.004415
4.999951,0.022075,0.004415
4.999765,0.022073,0.004415
4.999951,0.022072,0.004415
4.996207,0.022069,0.004417
4.999951,0.022067,0.004413
4.949194,0.022061,0.004457
4.999951,0.022054,0.004411
4.969595,0.022057,0.004438
4.999951,0.022065,0.004413
4.999951,0.022065,0.004413
4.994223,0.022100,0.004425
4.999951,0.022101,0.004420
4.975757,0.022112,0.004444
4.999951,0.022116,0.004423
4.588151,0.022116,0.004820
4.999951,0.022116,0.004423
4.947845,0.022107,0.004468
4.999951,0.022095,0.004419
4.999227,0.022096,0.004420
4.999951,0.022098,0.004420
4.959806,0.022103,0.004456
4.999951,0.022118,0.004424
4.999836,0.020789,0.004158
4.999955,-0.021250,-0.004250
4.999955,-0.021250,-0.004250
4.971337,-0.022495,-0.004525
4.999947,-0.023067,-0.004613
4.999941,-0.023067,-0.004613
4.999947,-0.023066,-0.004613
4.995044,-0.023063,-0.004617
4.999947,-0.023059,-0.004612
4.973995,-0.023066,-0.004637
4.999947,-0.023076,-0.004615
4.998798,-0.023075,-0.004616
4.999947,-0.023071,-0.004614
4.995935,-0.023070,-0.004618
4.999947,-0.023059,-0.004612
4.999947,-0.023059,-0.004612
4.999807,-0.023062,-0.004613
4.999947,-0.023062,-0.004612
4.998885,-0.023065,-0.004614
4.999947,-0.023066,-0.004613
4.996290,-0.023071,-0.004618
4.999947,-0.023073,-0.004615
4.947753,-0.023082,-0.004665
4.999947,-0.023091,-0.004618
4.971116,-0.023088,-0.004644
4.999947,-0.023073,-0.004615
4.993292,-0.023074,-0.004621
4.999947,-0.023087,-0.004617
4.995381,-0.023086,-0.004621
4.999947,-0.023075,-0.004615
4.999947,-0.023075,-0.004615
4.999772,-0.023072,-0.004615
4.999947,-0.023072,-0.004614
4.998065,-0.023075,-0.004617
4.999947,-0.023076,-0.004615
4.999943,-0.023077,-0.004615
4.999947,-0.023077,-0.004615
4.998544,-0.023077,-0.004617
4.999947,-0.023081,-0.004616
4.999563,-0.019689,-0.003938
4.999999,0.003854,0.000771
4.999999,0.003854,0.000771
4.927052,0.018195,0.003693
4.999919,0.028360,0.005672
4.998895,0.028362,0.005674
4.999919,0.028366,0.005673
4.999919,0.028366,0.005673
4.995940,0.028374,0.005679
4.999919,0.028376,0.005675
4.996796,0.028382,0.005680
4.999919,0.028384,0.005677
4.999088,0.028382,0.005677
4.999919,0.028380,0.005676
