dh,dz,slope
5.000000,0.000000,0.000000
4.997382,0.000000,0.000000
5.000000,0.000000,0.000000
4.712004,0.000000,0.000000
5.000000,0.000000,0.000000
4.315338,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
3.412826,-0.102080,-0.029911
4.998525,-0.121435,-0.024294
4.998525,-0.121435,-0.024294
4.998525,-0.121435,-0.024294
4.963872,-0.013614,-0.002743
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.999979,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.848317,-0.201604,-0.041582
4.935619,-0.799792,-0.162045
4.935619,-0.799792,-0.162045
4.945858,-0.267873,-0.054161
4.996934,-0.175067,-0.035035
4.802751,-0.155873,-0.032455
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.930573,0.125961,0.025547
4.950522,0.701661,0.141735
4.639678,0.621795,0.134017
4.999452,0.074005,0.014803
4.999452,0.074005,0.014803
4.999452,0.074005,0.014803
4.999452,0.074005,0.014803
4.999452,0.074005,0.014803
4.999452,0.074005,0.014803
4.997821,0.072315,0.014469
4.999491,0.071370,0.014275
4.999491,0.071370,0.014275
4.999491,0.071370,0.014275
4.999491,0.071370,0.014275
4.999491,0.071370,0.014275
4.999491,0.071370,0.014275
4.992537,0.123332,0.024703
4.998358,0.128118,0.025632
4.998358,0.128118,0.025632
4.997916,0.126841,0.025379
4.998546,0.120565,0.024120
4.998546,0.120565,0.024120
4.998546,0.120565,0.024120
4.983696,0.122228,0.024526
4.998139,0.136415,0.027293
4.998139,0.136415,0.027293
4.998139,0.136415,0.027293
4.998169,0.056443,0.011293
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.991693,0.055019,0.011022
4.998094,0.138050,0.027620
4.998094,0.138050,0.027620
4.998094,0.138050,0.027620
4.983103,0.010832,0.002174
5.000000,0.000000,0.000000
4.985600,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.983468,0.109231,0.021919
4.997882,0.145497,0.029112
4.997882,0.145497,0.029112
4.963470,0.079776,0.016073
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.998684,0.088105,0.017626
4.998173,0.135165,0.027043
4.998173,0.135165,0.027043
4.997952,0.103264,0.020661
4.996690,-0.181898,-0.036404
4.996690,-0.181898,-0.036404
4.822101,0.063589,0.013187
4.987755,0.349718,0.070115
4.987755,0.349718,0.070115
4.860939,0.242597,0.049907
4.995988,0.200255,0.040083
4.933543,0.136222,0.027611
5.000000,0.000000,0.000000
4.881412,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.999790,0.000000,0.000000
5.000000,0.000000,0.000000
4.973431,0.000000,0.000000
