dh,dz,slope
0.230576,4.994681,21.661673
0.230576,4.994681,21.661673
0.230576,4.994681,21.661673
0.230576,4.994681,21.661673
1.245497,1.621277,1.301710
4.483936,-0.340299,-0.075893
2.407220,1.245162,0.517261
3.861371,-1.995721,-0.516842
3.982909,1.590858,0.399421
4.357499,-0.847582,-0.194511
4.787720,-0.368803,-0.077031
4.348926,0.930185,0.213888
4.202997,-0.713800,-0.169831
4.258986,0.424042,0.099564
4.551888,-1.766591,-0.388101
2.794799,1.342548,0.480374
3.714911,-0.110844,-0.029838
1.621307,0.497719,0.306986
3.417339,-0.273777,-0.080114
3.983352,0.589156,0.147904
4.557878,-0.281847,-0.061837
4.882760,-0.820407,-0.168021
4.918928,-0.324581,-0.065986
4.940432,0.697510,0.141184
4.716537,-0.327766,-0.069493
4.242084,0.854837,0.201513
5.000000,0.000000,0.000000
4.539017,-1.314457,-0.289591
4.884800,-0.163280,-0.033426
4.552051,1.061432,0.233177
4.768279,-0.454432,-0.095303
3.898762,-0.529264,-0.135752
3.620684,0.596570,0.164767
4.656379,-0.371318,-0.079744
3.409218,0.238817,0.070050
4.146174,-0.264162,-0.063712
4.202726,-0.137132,-0.032629
4.632433,-0.416971,-0.090011
3.700770,-0.412321,-0.111415
2.012391,1.370932,0.681245
3.961225,-1.001251,-0.252763
3.087258,1.270542,0.411544
4.631328,-0.247061,-0.053346
4.642306,-1.081930,-0.233059
3.936526,0.761047,0.193330
4.627761,-1.240453,-0.268046
4.177722,-0.515381,-0.123364
4.378207,-0.949928,-0.216967
4.371729,0.010966,0.002508
4.188315,-1.711056,-0.408531
3.753926,2.940933,0.783428
4.138919,-1.311308,-0.316824
4.604804,-1.293832,-0.280974
3.423464,2.678407,0.782367
4.053847,-1.738431,-0.428835
4.021660,-0.086910,-0.021611
4.157633,0.731227,0.175876
3.994474,-1.219995,-0.305421
4.146817,0.566941,0.136717
3.939244,0.018854,0.004786
3.683540,0.156942,0.042606
4.229108,-0.103795,-0.024543
4.202766,-0.378211,-0.089991
3.738193,0.739269,0.197761
3.731261,0.000000,0.000000
4.553656,-0.451239,-0.099094
3.908710,-0.068298,-0.017473
3.814563,0.930399,0.243907
4.730524,0.089138,0.018843
2.611581,-0.682349,-0.261278
2.564666,0.281418,0.109729
3.315321,-0.307694,-0.092810
